SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2016ffh 
IAUC: 2016ffh
RA:   227.956147 deg
DECL:    46.251002 deg 
RA_HOST:   227.951600
DEC_HOST:    46.253860
MWEBV: 0.024000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.018195 +- 7.74727e-06 
REDSHIFT_CMB: 0.0185139 +- 7.74727e-06 
VPEC: -41.1108 +- 250.0
HOSTGAL_LOGMASS: 10.2036 +- 0.002
FILTERS: ABCDEFGHIJKLMNOP
SEARCH_PEAKMJD: 57630.2
NOBS: 25
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 57633.2 M NULL 37914 768.243 16.053 0.022
OBS: 57637.2 M NULL 31622.8 640.764 16.25 0.022
OBS: 57668.1 M NULL 2598.96 110.112 18.963 0.046
OBS: 57813.5 M NULL 457.509 110.402 20.849 0.262
OBS: 57827.6 M NULL 263.269 78.321 21.449 0.323
OBS: 57630.2 N NULL 44177.4 610.333 15.887 0.015
OBS: 57637.2 N NULL 41840.8 462.442 15.946 0.012
OBS: 57647.2 N NULL 22532 892.368 16.618 0.043
OBS: 57650.2 N NULL 19177.9 353.269 16.793 0.02
OBS: 57668.1 N NULL 6619.12 158.507 17.948 0.026
OBS: 57827.6 N NULL 387.972 71.1097 21.028 0.199
OBS: 57626.2 O NULL 39627.8 620.475 16.005 0.017
OBS: 57630.2 O NULL 48708 942.096 15.781 0.021
OBS: 57637.2 O NULL 44014.9 648.628 15.891 0.016
OBS: 57647.2 O NULL 24660.4 840.383 16.52 0.037
OBS: 57650.2 O NULL 24344.5 515.708 16.534 0.023
OBS: 57668.1 O NULL 11428.8 210.526 17.355 0.02
OBS: 57813.5 O NULL 277.204 75.3178 21.393 0.295
OBS: 57827.6 O NULL 179.473 73.0631 21.865 0.442
OBS: 57626.2 P NULL 35350.9 683.746 16.129 0.021
OBS: 57630.2 P NULL 35416 1174.3 16.127 0.036
OBS: 57637.2 P NULL 27694.9 612.191 16.394 0.024
OBS: 57647.2 P NULL 19787.9 2077.69 16.759 0.114
OBS: 57650.2 P NULL 22677.8 522.175 16.611 0.025
OBS: 57668.1 P NULL 11705.8 420.475 17.329 0.039
END:
