SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2016hvl 
IAUC: 2016hvl
RA:   101.009015 deg
DECL:    12.396646 deg 
RA_HOST:   101.002527
DEC_HOST:    12.401987
MWEBV: 0.377000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.013082 +- 5e-06 
REDSHIFT_CMB: 0.0135264 +- 5e-06 
VPEC: -49.8841 +- 250.0
HOSTGAL_LOGMASS: -9.0000 +- -9.000
FILTERS: ABCDEFGHIJKLMNOP
SEARCH_PEAKMJD: 57705.6
NOBS: 231
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 57697.6 E NULL 11814.1 1033.71 17.319 0.095
OBS: 57699.6 E NULL 17997 1326.07 16.862 0.08
OBS: 57700.6 E NULL 23227.4 513.437 16.585 0.024
OBS: 57701.6 E NULL 27264.7 502.233 16.411 0.02
OBS: 57702.4 M NULL 29268.5 350.444 16.334 0.013
OBS: 57702.6 E NULL 29977.8 414.159 16.308 0.015
OBS: 57704.6 E NULL 36643.8 573.753 16.09 0.017
OBS: 57705.6 E NULL 39228.3 867.135 16.016 0.024
OBS: 57706.4 E NULL 39700.9 841.015 16.003 0.023
OBS: 57710.4 M NULL 40850.7 978.248 15.972 0.026
OBS: 57714.5 E NULL 39156.2 577.026 16.018 0.016
OBS: 57716.6 E NULL 33978.2 500.721 16.172 0.016
OBS: 57717.5 E NULL 33358 553.029 16.192 0.018
OBS: 57721.5 E NULL 24188 490.115 16.541 0.022
OBS: 57722.5 E NULL 21637.1 378.642 16.662 0.019
OBS: 57724.5 M NULL 15747.1 232.058 17.007 0.016
OBS: 57724.5 E NULL 17426.1 529.651 16.897 0.033
OBS: 57725.5 E NULL 16966.8 828.231 16.926 0.053
OBS: 57726.5 E NULL 14494.4 360.445 17.097 0.027
OBS: 57726.5 M NULL 12682.4 245.299 17.242 0.021
OBS: 57727.5 E NULL 13001.7 443.075 17.215 0.037
OBS: 57728.5 E NULL 12067 377.881 17.296 0.034
OBS: 57733.5 E NULL 8356.03 1131.34 17.695 0.147
OBS: 57740.5 E NULL 5888.44 395.912 18.075 0.073
OBS: 57741.4 E NULL 5435.01 290.338 18.162 0.058
OBS: 57742.5 E NULL 5551.37 363.023 18.139 0.071
OBS: 57744.4 M NULL 3840.61 123.807 18.539 0.035
OBS: 57744.5 E NULL 5048.94 334.818 18.242 0.072
OBS: 57748.4 E NULL 3819.44 812.62 18.545 0.231
OBS: 57749.4 E NULL 3908.41 860.347 18.52 0.239
OBS: 57750.4 E NULL 3627.44 437.67 18.601 0.131
OBS: 57751.4 E NULL 3760.11 249.349 18.562 0.072
OBS: 57769.4 E NULL 3093.14 529.894 18.774 0.186
OBS: 57770.4 E NULL 3194.48 532.542 18.739 0.181
OBS: 57780.2 M NULL 1856.95 104.329 19.328 0.061
OBS: 57780.3 E NULL 2376.84 332.751 19.06 0.152
OBS: 57781.3 E NULL 2135.99 271.491 19.176 0.138
OBS: 57782.3 E NULL 2259.44 353.773 19.115 0.17
OBS: 57783.3 E NULL 2299.32 396.02 19.096 0.187
OBS: 57785.2 M NULL 1606.94 322.65 19.485 0.218
OBS: 57799.3 M NULL 1665.71 197.909 19.446 0.129
OBS: 57809.2 E NULL 1574.71 430.757 19.507 0.297
OBS: 57813.2 E NULL 1310.99 255.983 19.706 0.212
OBS: 57813.3 M NULL 1138.68 48.2429 19.859 0.046
OBS: 57814.2 E NULL 1661.12 414.615 19.449 0.271
OBS: 57815.2 E NULL 1453.45 350.733 19.594 0.262
OBS: 57816.2 E NULL 1461.5 355.369 19.588 0.264
OBS: 57821.2 M NULL 1140.78 167.06 19.857 0.159
OBS: 57825.2 E NULL 1488.68 514.17 19.568 0.375
OBS: 57827.2 M NULL 1086.43 63.04 19.91 0.063
OBS: 57829.2 E NULL 1353.94 299.286 19.671 0.24
OBS: 57829.2 M NULL 943.626 52.1467 20.063 0.06
OBS: 57838.2 M NULL 842.558 66.7381 20.186 0.086
OBS: 57841.2 E NULL 1448.1 430.802 19.598 0.323
OBS: 57843.3 M NULL 769.13 155.139 20.285 0.219
OBS: 57872.2 M NULL 674.217 148.414 20.428 0.239
OBS: 57697.6 F NULL 14709.6 961.909 17.081 0.071
OBS: 57699.6 F NULL 24705.9 1251.52 16.518 0.055
