SURVEY:   PS1_HST_COMBINED(HST)                 
SNID: Ferguson 
IAUC: UNKNOWN
RA:   189.104583 deg
DECL:    62.256622 deg
MWEBV:    0.010  MW E(B-V)
REDSHIFT_HELIO: 1.02 +- 0.005 
REDSHIFT_CMB: 1.0208046 +- 0.005 
VPEC: -11.7205 +- 250.0 
HOSTGAL_LOGMASS: 9.02 +- 0.04
SEARCH_PEAKMJD:  53462.102
FILTERS:    abcdefghijklmnopqrstuvwxyzABCDEFGHIJKL  # 0123456 -> vwxyzAB             


# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  10
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS:     53427.699     B     NULL     -0.34734644733     0.405547099824     30.5205     2.000
OBS:     53486.398     v     NULL     16.3919539308     0.73791782675     24.4634     0.050
OBS:     53491.199     v     NULL     14.4072094312     0.773541445972     24.6034     0.060
OBS:     53486.801     z     NULL     10.7875885517     0.951434528553     24.9179     0.100
OBS:     53472.602     B     NULL     23.2059622922     0.631538995146     24.0855     0.030
OBS:     53486.801     B     NULL     13.9310072459     0.501516260851     24.6395     0.040
OBS:     53493.801     B     NULL     12.2035623474     0.65630523025     24.7835     0.060
OBS:     53504.301     B     NULL     6.36492242167     0.451983790644     25.4905     0.080
OBS:     53513.199     B     NULL     5.05850351994     0.359110409004     25.7395     0.080
OBS:     53527.301     B     NULL     2.3404092173     0.340535732677     26.5775     0.170
END: 
