SURVEY:  PS1_HST_COMBINED(CANDELS)
SNID: camille 
IAUC: UNKNOWN
SNTYPE: 0
FILTERS: abcdefghijklmnopqrstuvwxyzABCDEFGHIJKL  # BGVRXIZSTUCWYMJNHLOPQ -> abcdefghijklmnopqrstu
RA:   189.280700 deg
DECL:    62.174123 deg
MAGREF:  AB
MWEBV:   0.0000    MW E(B-V)
REDSHIFT_HELIO: 1.222 +- 0.002 
REDSHIFT_CMB: 1.2228871 +- 0.002 
VPEC: -10.3484 +- 250.0 
HOSTGAL_LOGMASS: 9.8 +- 0.06
REDSHIFT_STATUS: OK
SEARCH_PEAKMJD: 56369.600
SEARCH_PEAKMJDERR: 5.0


NOBS: 22
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 56356.28        f   camille    5.791    0.456      25.593    0.085   25.947
OBS: 56391.79        f   camille    0.558    0.353      28.133    0.688   25.947
OBS: 56356.43        f   camille    8.852    1.719      25.132    0.211   23.778
OBS: 56236.854 o NULL 3.77916e-18 0.118577 71.0565 3.1376647e+16
OBS: 56296.624 o NULL 0.507484 0.208404 28.2364 0.41066096
OBS: 56346.757 o NULL 4.80768 0.302327 25.7952 0.062884123
OBS: 56369.646 o NULL 6.46123 0.320436 25.4742 0.049593602
OBS: 56382.019 o NULL 5.11837 0.298426 25.7272 0.058304797
OBS: 56406.455 o NULL 2.89785 0.246775 26.3448 0.085158010
OBS: 56425.556 o NULL 1.33364 0.284487 27.1874 0.21331548
OBS: 56459.362 o NULL 0.603809 0.233740 28.0478 0.38710936
OBS: 56514.194 o NULL 0.745868 0.262919 27.8183 0.35250007
OBS: 56356.545 p NULL 6.40062 0.524104 25.4844 0.081883389
OBS: 56236.861 q NULL 0.243444 0.286365 29.0340 1.1763078
OBS: 56296.633 q NULL 0.436706 0.324319 28.3995 0.74264857
OBS: 56346.764 q NULL 4.36655 0.417432 25.8997 0.095597862
OBS: 56369.638 q NULL 4.73394 0.389828 25.8119 0.082347478
OBS: 56382.011 q NULL 3.09683 0.370960 26.2727 0.11978701
OBS: 56406.462 q NULL 2.32262 0.336042 26.5851 0.14468272
OBS: 56425.548 q NULL 2.29454 0.370259 26.5983 0.16136543
OBS: 56459.369 q NULL 1.08223 0.358925 27.4142 0.33165400
OBS: 56514.201 q NULL 0.415835 0.306985 28.4527 0.73823759
END:
