SURVEY:  PS1_HST_COMBINED(CANDELS)
NICKNAME: geta
SNID: geta 
IAUC: UNKNOWN
SNTYPE: 0
FILTERS: abcdefghijklmnopqrstuvwxyzABCDEFGHIJKL  # BGVRXIZSTUCWYMJNHLOPQ -> abcdefghijklmnopqrstu
RA:   322.349552 deg
DECL:     0.140211 deg
MAGREF:  AB
MWEBV:   0.012    MW E(B-V)
REDSHIFT_HELIO: 1.7 +- 0.04 
REDSHIFT_CMB: 1.697016 +- 0.04 
VPEC: -5.0291 +- 250.0 
HOSTGAL_LOGMASS: 10.0 +- 99.0
REDSHIFT_STATUS: OK
SEARCH_PEAKMJD: 56145.300
SEARCH_PEAKMJDERR: 5.0
PIXSIZE:  0.2  # arcSeconds


NOBS: 20
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 56048.121 o NULL -0.0726851 0.575004 -99.0 -7.9108984
OBS: 56078.249 o NULL 0.252607 0.937811 28.9939 3.7125363
OBS: 56105.648 o NULL 3.51587 1.10396 26.1349 0.31399250
OBS: 56117.553 o NULL 6.74076 1.12438 25.4282 0.16680327
OBS: 56131.585 o NULL 10.3626 1.23403 24.9613 0.11908482
OBS: 56138.833 o NULL 10.6237 1.15298 24.9343 0.10852890
OBS: 56146.219 o NULL 12.1511 1.22474 24.7885 0.10079318
OBS: 56164.368 o NULL 8.26333 1.21500 25.2071 0.14703492
OBS: 56184.516 o NULL 4.32082 1.07122 25.9111 0.24792140
OBS: 56197.283 o NULL 3.60062 1.18579 26.1091 0.32932882
OBS: 56048.129 q NULL 1.05795 1.65041 27.4388 1.5600097
OBS: 56078.257 q NULL 0.898783 1.58808 27.6159 1.7669258
OBS: 56105.656 q NULL 2.49852 0.936657 26.5058 0.37488439
OBS: 56117.561 q NULL 6.28401 1.07682 25.5044 0.17135904
OBS: 56131.591 q NULL 9.99469 1.23818 25.0006 0.12388371
OBS: 56138.839 q NULL 10.7027 1.29062 24.9263 0.12058877
OBS: 56146.227 q NULL 8.41127 1.25346 25.1878 0.14902091
OBS: 56164.376 q NULL 6.15642 1.26548 25.5267 0.20555508
OBS: 56184.524 q NULL 4.13451 1.02013 25.9589 0.24673461
OBS: 56197.291 q NULL 5.66304 1.27775 25.6174 0.22562990
END:
