SURVEY:  PS1_LOWZ_COMBINED(CFA4p1)
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID: 2007cb 
IAUC: 2007cb
RA:   209.571670 deg
DECL:   -23.372420 deg 
RA_HOST:   209.571500
DEC_HOST:   -23.371640
MWEBV: 0.071900000 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.036592 +- 0.000103 
REDSHIFT_CMB: 0.0375233 +- 0.000103 
VPEC: 254.5715 +- 250.0
HOSTGAL_LOGMASS: 10.2860 +- 4.303
PRIVATE(COSMO): 1
FILTERS: abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> klmno
SEARCH_PEAKMJD: 54214.781
NOBS: 26
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54226.3     l      md      10327.6    457.513    17.4650    0.0443000
OBS:      54227.2     l      md      9629.42    245.550    17.5410    0.0255000
OBS:      54232.3     l      md      6003.43    185.506    18.0540    0.0309000
OBS:      54236.3     l      md      4032.74    220.591    18.4860    0.0547000
OBS:      54237.3     l      md      3614.10    181.789    18.6050    0.0503000
OBS:      54240.3     l      md      2594.18    207.275    18.9650    0.0799000
OBS:      54226.3     m      md      13545.7    472.744    17.1705    0.0349000
OBS:      54227.2     m      md      12676.5    297.898    17.2425    0.0235000
OBS:      54232.3     m      md      9696.16    237.556    17.5335    0.0245000
OBS:      54234.3     m      md      9136.93    615.829    17.5980    0.0674000
OBS:      54236.3     m      md      8248.98    216.123    17.7090    0.0262000
OBS:      54237.3     m      md      7512.77    213.363    17.8105    0.0284000
OBS:      54240.3     m      md      6637.43    225.009    17.9450    0.0339000
OBS:      54226.3     n      md      12189.9    403.486    17.2850    0.0331000
OBS:      54227.2     n      md      11722.0    234.439    17.3275    0.0200000
OBS:      54232.3     n      md      9598.42    233.242    17.5445    0.0243000
OBS:      54236.2     n      md      8961.90    242.868    17.6190    0.0271000
OBS:      54237.3     n      md      8986.70    254.324    17.6160    0.0283000
OBS:      54240.3     n      md      8538.87    222.011    17.6715    0.0260000
OBS:      54226.3     o      md      6103.80    341.203    18.0360    0.0559000
OBS:      54227.2     o      md      6376.76    401.736    17.9885    0.0630000
OBS:      54232.3     o      md      5009.57    376.720    18.2505    0.0752000
OBS:      54234.3     o      md      5216.75    384.996    18.2065    0.0738000
OBS:      54236.3     o      md      5831.76    362.152    18.0855    0.0621000
OBS:      54237.2     o      md      5885.72    381.395    18.0755    0.0648000
OBS:      54240.3     o      md      6214.41    356.086    18.0165    0.0573000
END: 
