SURVEY:  PS1_LOWZ_COMBINED(CFA4p1)
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID: 2007cf 
IAUC: 2007cf
RA:   230.781920 deg
DECL:     8.529310 deg 
RA_HOST:   230.780870
DEC_HOST:     8.528390
MWEBV: 0.034300000 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.032933 +- 6e-05 
REDSHIFT_CMB: 0.0334787 +- 6e-05 
VPEC: 407.5755 +- 250.0
HOSTGAL_LOGMASS: 10.6360 +- 0.557
PRIVATE(COSMO): 1
FILTERS: abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> klmno
SEARCH_PEAKMJD: 54226.102
NOBS: 46
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54231.3     l      md      1133.97    152.632    19.8635    0.134600
OBS:      54232.3     l      md      1157.18    197.183    19.8415    0.170400
OBS:      54234.4     l      md      753.355    173.724    20.3075    0.230600
OBS:      54236.4     l      md      668.960    139.411    20.4365    0.208400
OBS:      54237.4     l      md      552.331    119.911    20.6445    0.217100
OBS:      54231.3     m      md      3948.21    239.656    18.5090    0.0607000
OBS:      54232.3     m      md      3413.50    238.262    18.6670    0.0698000
OBS:      54234.4     m      md      2666.86    228.817    18.9350    0.0858000
OBS:      54235.4     m      md      2620.59    372.124    18.9540    0.142000
OBS:      54236.4     m      md      2236.66    205.326    19.1260    0.0918000
OBS:      54237.4     m      md      1986.10    202.780    19.2550    0.102100
OBS:      54239.4     m      md      1931.97    196.095    19.2850    0.101500
OBS:      54240.4     m      md      1430.87    198.605    19.6110    0.138800
OBS:      54244.4     m      md      1000.00    185.300    20.0000    0.185300
OBS:      54253.3     m      md      1164.66    206.262    19.8345    0.177100
OBS:      54254.4     m      md      1177.61    224.687    19.8225    0.190800
OBS:      54256.3     m      md      764.892    223.425    20.2910    0.292100
OBS:      54259.3     m      md      577.032    140.623    20.5970    0.243700
OBS:      54231.3     n      md      5088.62    239.674    18.2335    0.0471000
OBS:      54232.3     n      md      5037.33    202.501    18.2445    0.0402000
OBS:      54234.4     n      md      4201.46    168.899    18.4415    0.0402000
OBS:      54235.4     n      md      3851.24    369.719    18.5360    0.0960000
OBS:      54236.4     n      md      3544.87    132.224    18.6260    0.0373000
OBS:      54237.3     n      md      3256.87    145.256    18.7180    0.0446000
OBS:      54239.4     n      md      2868.14    132.508    18.8560    0.0462000
OBS:      54240.4     n      md      2553.88    136.122    18.9820    0.0533000
OBS:      54244.4     n      md      1788.13    193.297    19.3690    0.108100
OBS:      54252.4     n      md      1285.88    199.826    19.7270    0.155400
OBS:      54253.4     n      md      1108.66    338.697    19.8880    0.305500
OBS:      54254.4     n      md      926.403    198.065    20.0830    0.213800
OBS:      54256.3     n      md      870.163    184.300    20.1510    0.211800
OBS:      54259.3     n      md      787.046    142.849    20.2600    0.181500
OBS:      54231.2     o      md      4766.50    328.889    18.3045    0.0690000
OBS:      54232.3     o      md      4205.33    240.545    18.4405    0.0572000
OBS:      54234.4     o      md      3955.49    263.831    18.5070    0.0667000
OBS:      54235.4     o      md      3383.76    405.713    18.6765    0.119900
OBS:      54236.4     o      md      3635.80    223.238    18.5985    0.0614000
OBS:      54237.3     o      md      3312.84    377.995    18.6995    0.114100
OBS:      54239.4     o      md      3057.73    177.654    18.7865    0.0581000
OBS:      54240.4     o      md      2940.35    198.768    18.8290    0.0676000
OBS:      54244.4     o      md      1945.36    165.745    19.2775    0.0852000
OBS:      54252.4     o      md      1519.15    179.867    19.5460    0.118400
OBS:      54253.3     o      md      1034.67    200.001    19.9630    0.193300
OBS:      54254.4     o      md      1173.82    195.088    19.8260    0.166200
OBS:      54256.3     o      md      1129.80    158.284    19.8675    0.140100
OBS:      54259.3     o      md      1024.71    189.878    19.9735    0.185300
END: 
