SURVEY:  PS1_LOWZ_COMBINED(CFA4p1)
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID: 2007kg 
IAUC: 2007kg
RA:   359.655960 deg
DECL:    60.985190 deg
MWEBV: 0.99770000 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.0067 +- 0.005 
REDSHIFT_CMB: 0.005983 +- 0.005 
VPEC: -276.2481 +- 250.0
HOSTGAL_LOGMASS: 8.11800 +- 5.195
PRIVATE(COSMO): 1
FILTERS: abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> klmno
SEARCH_PEAKMJD: 54376.449
NOBS: 29
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54369.3     l      md      2830.09    281.877    18.8705    0.0996000
OBS:      54370.4     l      md      3410.36    278.627    18.6680    0.0817000
OBS:      54372.4     l      md      3562.87    334.910    18.6205    0.0940000
OBS:      54379.3     l      md      3172.49    556.137    18.7465    0.175300
OBS:      54401.3     l      md      1798.04    360.507    19.3630    0.200500
OBS:      54402.2     l      md      2401.04    438.191    19.0490    0.182500
OBS:      54404.2     l      md      1491.42    271.438    19.5660    0.182000
OBS:      54369.2     m      md      8637.74    297.138    17.6590    0.0344000
OBS:      54370.4     m      md      8158.30    302.673    17.7210    0.0371000
OBS:      54372.4     m      md      7748.19    378.886    17.7770    0.0489000
OBS:      54379.3     m      md      6829.68    289.578    17.9140    0.0424000
OBS:      54400.4     m      md      4579.31    277.048    18.3480    0.0605000
OBS:      54401.3     m      md      4558.27    234.751    18.3530    0.0515000
OBS:      54402.2     m      md      4812.82    250.748    18.2940    0.0521000
OBS:      54404.2     m      md      4140.00    227.700    18.4575    0.0550000
OBS:      54369.2     n      md      12659.0    364.580    17.2440    0.0288000
OBS:      54370.4     n      md      12139.5    352.045    17.2895    0.0290000
OBS:      54372.4     n      md      11582.4    501.520    17.3405    0.0433000
OBS:      54379.3     n      md      9885.52    451.768    17.5125    0.0457000
OBS:      54401.3     n      md      5883.01    314.153    18.0760    0.0534000
OBS:      54402.2     n      md      5680.68    340.841    18.1140    0.0600000
OBS:      54404.2     n      md      5644.17    229.153    18.1210    0.0406000
OBS:      54369.2     o      md      16390.8    437.635    16.9635    0.0267000
OBS:      54370.4     o      md      16474.0    434.915    16.9580    0.0264000
OBS:      54372.4     o      md      16278.0    602.284    16.9710    0.0370000
OBS:      54379.3     o      md      12942.0    416.732    17.2200    0.0322000
OBS:      54401.3     o      md      7723.25    369.944    17.7805    0.0479000
OBS:      54402.2     o      md      7709.04    410.892    17.7825    0.0533000
OBS:      54404.2     o      md      7254.38    338.054    17.8485    0.0466000
END: 
