SURVEY:  PS1_LOWZ_COMBINED(CFA4p1)
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID: 2008ac 
IAUC: 2008ac
RA:   178.438250 deg
DECL:    48.422640 deg 
RA_HOST:   178.438420
DEC_HOST:    48.422500
MWEBV: 0.019000000 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.052808 +- 9.4e-05 
REDSHIFT_CMB: 0.0535308 +- 9.4e-05 
VPEC: -29.3933 +- 250.0
HOSTGAL_LOGMASS: 9.84000 +- 0.08
PRIVATE(COSMO): 1
FILTERS: abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> klmno
SEARCH_PEAKMJD: 54503.715
NOBS: 27
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54509.4     l      md      6112.23    267.105    18.0345    0.0437000
OBS:      54520.4     l      md      2422.15    298.408    19.0395    0.123200
OBS:      54524.4     l      md      1499.69    155.217    19.5600    0.103500
OBS:      54567.3     l      md      356.616    95.0024    21.1195    0.266400
OBS:      54569.2     l      md      429.932    124.766    20.9165    0.290200
OBS:      54570.2     l      md      364.754    130.546    21.0950    0.357900
OBS:      54509.4     m      md      6950.24    242.563    17.8950    0.0349000
OBS:      54516.4     m      md      4959.07    285.642    18.2615    0.0576000
OBS:      54520.4     m      md      3551.40    237.234    18.6240    0.0668000
OBS:      54524.4     m      md      3182.73    155.317    18.7430    0.0488000
OBS:      54567.3     m      md      758.578    114.469    20.3000    0.150900
OBS:      54569.2     m      md      800.203    154.679    20.2420    0.193300
OBS:      54570.2     m      md      669.267    180.970    20.4360    0.270400
OBS:      54509.4     n      md      7089.24    197.790    17.8735    0.0279000
OBS:      54516.4     n      md      5171.31    249.774    18.2160    0.0483000
OBS:      54520.4     n      md      3981.07    204.627    18.5000    0.0514000
OBS:      54524.4     n      md      3901.22    184.138    18.5220    0.0472000
OBS:      54567.3     n      md      916.221    112.329    20.0950    0.122600
OBS:      54569.2     n      md      760.676    198.460    20.2970    0.260900
OBS:      54570.2     n      md      921.297    142.893    20.0890    0.155100
OBS:      54509.4     o      md      3942.76    227.103    18.5105    0.0576000
OBS:      54516.4     o      md      2397.73    177.432    19.0505    0.0740000
OBS:      54520.4     o      md      2288.76    177.150    19.1010    0.0774000
OBS:      54524.4     o      md      2633.91    179.106    18.9485    0.0680000
OBS:      54567.3     o      md      642.984    108.664    20.4795    0.169000
OBS:      54569.2     o      md      886.339    173.102    20.1310    0.195300
OBS:      54570.2     o      md      767.715    162.909    20.2870    0.212200
END: 
