SURVEY:  PS1_LOWZ_COMBINED(CFA4p1)
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID: 2008cm 
IAUC: 2008cm
RA:   109.161460 deg
DECL:   -62.314690 deg 
RA_HOST:   109.157210
DEC_HOST:   -62.343720
MWEBV: 0.11390000 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.011078 +- 0.00015 
REDSHIFT_CMB: 0.0115114 +- 0.00015 
VPEC: -32.3717 +- 250.0
HOSTGAL_LOGMASS: 11.1320 +- 2.418
PRIVATE(COSMO): 1
FILTERS: abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> klmno
SEARCH_PEAKMJD: 54612.637
NOBS: 74
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54608.4     l      md      32658.8    996.093    16.2150    0.0305000
OBS:      54613.1     l      md      36914.7    657.082    16.0820    0.0178000
OBS:      54615.3     l      md      34946.2    643.010    16.1415    0.0184000
OBS:      54617.3     l      md      31131.5    607.064    16.2670    0.0195000
OBS:      54618.3     l      md      29484.9    504.192    16.3260    0.0171000
OBS:      54619.2     l      md      27377.9    544.820    16.4065    0.0199000
OBS:      54620.3     l      md      24934.5    453.808    16.5080    0.0182000
OBS:      54622.3     l      md      20577.9    674.954    16.7165    0.0328000
OBS:      54624.3     l      md      16248.0    407.825    16.9730    0.0251000
OBS:      54625.2     l      md      14243.0    517.019    17.1160    0.0363000
OBS:      54629.2     l      md      8661.64    433.948    17.6560    0.0501000
OBS:      54634.2     l      md      4119.08    1150.87    18.4630    0.279400
OBS:      54636.2     l      md      4442.22    919.095    18.3810    0.206900
OBS:      54639.2     l      md      3445.09    442.005    18.6570    0.128300
OBS:      54648.2     l      md      2329.16    208.460    19.0820    0.0895000
OBS:      54672.2     l      md      970.062    170.440    20.0330    0.175700
OBS:      54676.2     l      md      1321.30    310.108    19.6975    0.234700
OBS:      54608.4     m      md      29187.7    817.256    16.3370    0.0280000
OBS:      54613.1     m      md      36358.0    567.185    16.0985    0.0156000
OBS:      54615.3     m      md      35399.7    545.156    16.1275    0.0154000
OBS:      54617.3     m      md      33388.7    527.542    16.1910    0.0158000
OBS:      54618.3     m      md      32613.7    495.729    16.2165    0.0152000
OBS:      54619.2     m      md      31017.0    542.798    16.2710    0.0175000
OBS:      54620.3     m      md      29174.3    463.871    16.3375    0.0159000
OBS:      54622.3     m      md      25917.9    422.462    16.4660    0.0163000
OBS:      54624.3     m      md      22233.1    360.176    16.6325    0.0162000
OBS:      54625.2     m      md      20835.3    366.702    16.7030    0.0176000
OBS:      54629.2     m      md      15988.2    290.986    16.9905    0.0182000
OBS:      54631.2     m      md      13639.5    309.618    17.1630    0.0227000
OBS:      54636.2     m      md      10568.2    486.136    17.4400    0.0460000
OBS:      54639.2     m      md      7766.05    323.068    17.7745    0.0416000
OBS:      54643.2     m      md      6321.21    819.229    17.9980    0.129600
OBS:      54648.2     m      md      4733.69    258.933    18.3120    0.0547000
OBS:      54672.2     m      md      2467.17    170.728    19.0195    0.0692000
OBS:      54676.2     m      md      2128.14    204.088    19.1800    0.0959000
OBS:      54608.4     n      md      30789.3    671.208    16.2790    0.0218000
OBS:      54613.1     n      md      34881.9    603.457    16.1435    0.0173000
OBS:      54615.3     n      md      34103.6    583.172    16.1680    0.0171000
OBS:      54617.3     n      md      32151.4    520.853    16.2320    0.0162000
OBS:      54618.3     n      md      30535.1    467.188    16.2880    0.0153000
OBS:      54619.2     n      md      28628.6    429.429    16.3580    0.0150000
OBS:      54620.2     n      md      26314.8    428.932    16.4495    0.0163000
OBS:      54621.3     n      md      23988.4    916.355    16.5500    0.0382000
