SURVEY:  PS1_LOWZ_COMBINED(CFA4p1)
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID: 2008gb 
IAUC: 2008gb
RA:    44.488040 deg
DECL:    46.865720 deg 
RA_HOST:    44.486370
DEC_HOST:    46.867640
MWEBV: 0.19830000 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.037 +- 9e-05 
REDSHIFT_CMB: 0.0364096 +- 9e-05 
VPEC: -447.1936 +- 250.0
HOSTGAL_LOGMASS: 10.2680 +- 4.495
PRIVATE(COSMO): 1
FILTERS: abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> klmno
SEARCH_PEAKMJD: 54747.047
NOBS: 58
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54747.4     l      md      7498.94    215.970    17.8125    0.0288000
OBS:      54748.5     l      md      7783.95    252.200    17.7720    0.0324000
OBS:      54749.5     l      md      7530.08    253.011    17.8080    0.0336000
OBS:      54752.4     l      md      7069.69    410.042    17.8765    0.0580000
OBS:      54759.4     l      md      3977.41    266.884    18.5010    0.0671000
OBS:      54760.2     l      md      3451.44    223.308    18.6550    0.0647000
OBS:      54763.4     l      md      2513.04    183.452    18.9995    0.0730000
OBS:      54771.4     l      md      1094.96    161.288    19.9015    0.147300
OBS:      54772.4     l      md      1051.48    173.704    19.9455    0.165200
OBS:      54775.4     l      md      1009.72    164.685    19.9895    0.163100
OBS:      54778.3     l      md      874.581    193.895    20.1455    0.221700
OBS:      54781.3     l      md      844.112    231.962    20.1840    0.274800
OBS:      54857.2     l      md      432.514    147.141    20.9100    0.340200
OBS:      54861.2     l      md      637.382    211.356    20.4890    0.331600
OBS:      54747.3     m      md      9392.90    359.748    17.5680    0.0383000
OBS:      54748.5     m      md      9506.05    294.687    17.5550    0.0310000
OBS:      54749.5     m      md      8879.74    344.534    17.6290    0.0388000
OBS:      54752.4     m      md      8519.23    471.965    17.6740    0.0554000
OBS:      54759.4     m      md      6031.15    324.476    18.0490    0.0538000
OBS:      54760.2     m      md      5896.58    234.094    18.0735    0.0397000
OBS:      54763.4     m      md      4929.47    254.361    18.2680    0.0516000
OBS:      54771.4     m      md      3042.29    247.642    18.7920    0.0814000
OBS:      54772.4     m      md      2916.09    205.292    18.8380    0.0704000
OBS:      54775.4     m      md      2486.57    277.749    19.0110    0.111700
OBS:      54778.3     m      md      2004.47    230.915    19.2450    0.115200
OBS:      54781.3     m      md      2167.71    509.194    19.1600    0.234900
OBS:      54831.2     m      md      436.115    136.722    20.9010    0.313500
OBS:      54861.2     m      md      443.405    166.898    20.8830    0.376400
OBS:      54882.1     m      md      353.834    119.702    21.1280    0.338300
OBS:      54747.3     n      md      10120.5    436.192    17.4870    0.0431000
OBS:      54748.5     n      md      10237.6    299.963    17.4745    0.0293000
OBS:      54749.5     n      md      9871.88    293.195    17.5140    0.0297000
OBS:      54752.4     n      md      9367.00    436.502    17.5710    0.0466000
OBS:      54759.4     n      md      6362.10    314.288    17.9910    0.0494000
OBS:      54760.2     n      md      6058.99    242.965    18.0440    0.0401000
OBS:      54763.4     n      md      5528.41    233.852    18.1435    0.0423000
OBS:      54771.4     n      md      4677.35    254.916    18.3250    0.0545000
OBS:      54772.4     n      md      4319.16    201.705    18.4115    0.0467000
OBS:      54775.4     n      md      4130.48    320.938    18.4600    0.0777000
OBS:      54778.3     n      md      3472.16    218.052    18.6485    0.0628000
OBS:      54781.3     n      md      3176.87    257.009    18.7450    0.0809000
OBS:      54831.2     n      md      410.393    134.773    20.9670    0.328400
OBS:      54857.2     n      md      323.296    121.430    21.2260    0.375600
OBS:      54747.3     o      md      6717.39    336.541    17.9320    0.0501000
OBS:      54748.5     o      md      6594.78    304.019    17.9520    0.0461000
OBS:      54749.5     o      md      6959.86    265.171    17.8935    0.0381000
OBS:      54752.4     o      md      5786.29    359.907    18.0940    0.0622000
OBS:      54759.4     o      md      3317.42    266.057    18.6980    0.0802000
OBS:      54760.2     o      md      3280.96    239.182    18.7100    0.0729000
OBS:      54763.4     o      md      3329.66    226.417    18.6940    0.0680000
OBS:      54771.4     o      md      3817.69    259.603    18.5455    0.0680000
OBS:      54772.4     o      md      3865.45    208.734    18.5320    0.0540000
OBS:      54775.4     o      md      3773.98    307.580    18.5580    0.0815000
OBS:      54778.3     o      md      3592.53    317.220    18.6115    0.0883000
OBS:      54781.3     o      md      2989.51    246.335    18.8110    0.0824000
OBS:      54831.2     o      md      530.885    171.370    20.6875    0.322800
OBS:      54857.2     o      md      416.486    135.774    20.9510    0.326000
OBS:      54882.1     o      md      415.336    154.339    20.9540    0.371600
END: 
