SURVEY:  PS1_LOWZ_COMBINED(CFA4p2)
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID: 2010A 
IAUC: 2010A
RA:    38.164420 deg
DECL:     0.619500 deg 
RA_HOST:    38.163710
DEC_HOST:     0.617330
MWEBV: 0.029100000 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.020755 +- 1.8e-05 
REDSHIFT_CMB: 0.0199561 +- 1.8e-05 
VPEC: -6.6815 +- 250.0
HOSTGAL_LOGMASS: 10.4910 +- 0.105
PRIVATE(COSMO): 1
FILTERS: abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # BVri -> pqrs
SEARCH_PEAKMJD: 55212.473
NOBS: 29
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      55203.1     p      md      23120.6    1241.58    16.5900    0.0537000
OBS:      55205.2     p      md      30789.3    2395.41    16.2790    0.0778000
OBS:      55208.1     p      md      38797.2    6025.20    16.0280    0.155300
OBS:      55210.1     p      md      42033.9    1933.56    15.9410    0.0460000
OBS:      55212.1     p      md      42736.6    1987.25    15.9230    0.0465000
OBS:      55242.1     p      md      4122.87    1465.68    18.4620    0.355500
OBS:      55244.1     p      md      3962.78    89.1626    18.5050    0.0225000
OBS:      55203.1     q      md      26157.7    957.373    16.4560    0.0366000
OBS:      55205.2     q      md      34229.5    684.590    16.1640    0.0200000
OBS:      55206.1     q      md      36982.8    632.407    16.0800    0.0171000
OBS:      55208.1     q      md      42579.4    740.882    15.9270    0.0174000
OBS:      55210.1     q      md      46216.8    993.662    15.8380    0.0215000
OBS:      55212.1     q      md      48217.0    843.798    15.7920    0.0175000
OBS:      55242.1     q      md      14791.1    397.880    17.0750    0.0269000
OBS:      55244.1     q      md      13403.0    467.763    17.1820    0.0349000
OBS:      55203.1     r      md      23313.1    1438.42    16.5810    0.0617000
OBS:      55205.2     r      md      33759.8    3720.33    16.1790    0.110200
OBS:      55208.1     r      md      41266.7    5467.84    15.9610    0.132500
OBS:      55210.1     r      md      44792.0    8241.73    15.8720    0.184000
OBS:      55212.1     r      md      46730.5    5626.35    15.8260    0.120400
OBS:      55242.1     r      md      19879.3    399.573    16.7540    0.0201000
OBS:      55244.1     r      md      18163.5    365.087    16.8520    0.0201000
OBS:      55203.1     s      md      22059.7    392.663    16.6410    0.0178000
OBS:      55205.2     s      md      28157.9    1931.63    16.3760    0.0686000
OBS:      55206.1     s      md      29840.1    471.473    16.3130    0.0158000
OBS:      55208.1     s      md      32359.3    575.996    16.2250    0.0178000
OBS:      55210.1     s      md      32151.4    755.558    16.2320    0.0235000
OBS:      55212.1     s      md      30732.6    636.166    16.2810    0.0207000
OBS:      55242.1     s      md      17171.2    786.440    16.9130    0.0458000
END: 
