SURVEY:   PS1_LOWZ_COMBINED(CFA1)                
SNID: 1996C 
IAUC: 1996C
RA:   207.702500 deg
DECL:    49.318639 deg 
RA_HOST:   207.703460
DEC_HOST:    49.315140
MWEBV: 0.013 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.028235 +- 2.5e-05 
REDSHIFT_CMB: 0.0287478 +- 2.5e-05 
VPEC: -112.4555 +- 250.0
HOSTGAL_LOGMASS: 10.11 +- 0.19
PRIVATE(COSMO): 1
SEARCH_PEAKMJD:  50128.441
FILTERS:    abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVRI -> BCDEF
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  64
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 50130.941  D  NULL    24729.      1024.9      16.517   0.045
OBS: 50131.898  C  NULL    19885.      494.49      16.754   0.027
OBS: 50131.898  D  NULL    24333.      1053.4      16.535   0.047
OBS: 50131.898  E  NULL    27869.      1488.8      16.387   0.058
OBS: 50131.898  F  NULL    17775.      458.39      16.875   0.028
OBS: 50132.859  C  NULL    18823.      450.74      16.813   0.026
OBS: 50132.859  D  NULL    22233.      880.53      16.633   0.043
OBS: 50132.859  E  NULL    26556.      1540.9      16.440   0.063
OBS: 50132.859  F  NULL    17080.      440.47      16.919   0.028
OBS: 50133.949  C  NULL    17789.      524.31      16.875   0.032
OBS: 50133.949  D  NULL    22907.      907.20      16.600   0.043
OBS: 50133.949  E  NULL    26119.      1395.3      16.458   0.058
OBS: 50133.949  F  NULL    16697.      430.60      16.943   0.028
OBS: 50135.879  D  NULL    21677.      818.58      16.660   0.041
OBS: 50135.879  E  NULL    24110.      1176.9      16.544   0.053
OBS: 50135.879  F  NULL    15030.      332.24      17.058   0.024
OBS: 50136.980  C  NULL    15760.      333.86      17.006   0.023
OBS: 50136.980  D  NULL    20035.      867.31      16.745   0.047
OBS: 50136.980  E  NULL    21914.      1311.9      16.648   0.065
OBS: 50141.969  C  NULL    11622.      278.31      17.337   0.026
OBS: 50141.969  D  NULL    15840.      758.65      17.001   0.052
OBS: 50141.969  E  NULL    15802.      887.82      17.003   0.061
OBS: 50141.969  F  NULL    10498.      270.74      17.447   0.028
OBS: 50142.949  C  NULL    10186.      253.30      17.480   0.027
OBS: 50142.949  D  NULL    14723.      474.62      17.080   0.035
OBS: 50142.949  E  NULL    14445.      771.66      17.101   0.058
OBS: 50142.949  F  NULL    9915.6      273.98      17.509   0.030
OBS: 50148.898  D  NULL    10965.      454.45      17.400   0.045
OBS: 50150.930  C  NULL    4717.6      95.591      18.316   0.022
OBS: 50150.930  D  NULL    10311.      398.85      17.467   0.042
OBS: 50150.930  E  NULL    12695.      678.18      17.241   0.058
OBS: 50150.930  F  NULL    11372.      293.27      17.360   0.028
OBS: 50151.750  C  NULL    3986.2      99.129      18.499   0.027
OBS: 50151.750  D  NULL    9404.2      303.15      17.567   0.035
OBS: 50151.750  E  NULL    13003.      526.95      17.215   0.044
OBS: 50151.750  F  NULL    10851.      369.79      17.411   0.037
OBS: 50154.012  C  NULL    3443.5      72.946      18.657   0.023
OBS: 50154.012  D  NULL    8760.3      419.57      17.644   0.052
OBS: 50154.012  E  NULL    12346.      670.88      17.271   0.059
OBS: 50154.012  F  NULL    11768.      303.50      17.323   0.028
OBS: 50159.859  C  NULL    2236.9      49.446      19.126   0.024
OBS: 50159.859  D  NULL    6394.4      276.80      17.985   0.047
OBS: 50159.859  E  NULL    10491.      570.07      17.448   0.059
OBS: 50159.859  F  NULL    12169.      325.02      17.287   0.029
OBS: 50165.910  C  NULL    1548.4      35.653      19.525   0.025
OBS: 50165.910  D  NULL    4353.5      180.44      18.403   0.045
OBS: 50165.910  E  NULL    6885.2      399.52      17.905   0.063
OBS: 50165.910  F  NULL    8323.8      206.99      17.699   0.027
OBS: 50172.852  C  NULL    1377.1      30.440      19.653   0.024
OBS: 50172.852  D  NULL    3701.0      167.03      18.579   0.049
OBS: 50172.852  E  NULL    5459.1      296.65      18.157   0.059
OBS: 50172.852  F  NULL    5964.3      181.28      18.061   0.033
OBS: 50182.828  C  NULL    1234.0      22.731      19.772   0.020
OBS: 50182.828  D  NULL    2766.7      127.41      18.895   0.050
OBS: 50182.828  E  NULL    3815.6      186.26      18.546   0.053
OBS: 50182.828  F  NULL    3822.6      70.415      18.544   0.020
OBS: 50202.840  C  NULL    966.50      17.804      20.037   0.020
OBS: 50202.840  D  NULL    1679.6      69.613      19.437   0.045
OBS: 50202.840  E  NULL    2127.2      121.47      19.180   0.062
OBS: 50202.840  F  NULL    1637.7      42.235      19.464   0.028
OBS: 50216.750  C  NULL    720.78      13.277      20.355   0.020
OBS: 50216.750  D  NULL    1372.1      59.398      19.657   0.047
OBS: 50216.750  E  NULL    1465.1      79.617      19.585   0.059
OBS: 50216.750  F  NULL    1208.2      22.255      19.795   0.020
END: 
