SURVEY:  PS1_LOWZ_COMBINED(CFA2)
SNID: 1997br 
IAUC: 1997br
RA:   200.176670 deg
DECL:   -22.036700 deg 
RA_HOST:   200.182290
DEC_HOST:   -22.051110
MWEBV: 0.113 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.006988 +- 0.00015 
REDSHIFT_CMB: 0.0080105 +- 0.00015 
VPEC: 405.5718 +- 250.0
HOSTGAL_LOGMASS: 8.46 +- 5.00
PRIVATE(COSMO): 1
SEARCH_PEAKMJD:  50559.219
FILTERS:    abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVRI -> GHIJK
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 175
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 50550.500  H  NULL   0.13305E+06  12254.      14.690   0.100
OBS: 50550.500  I  NULL   0.17701E+06  6521.3      14.380   0.040
OBS: 50551.500  H  NULL   0.15417E+06  14200.      14.530   0.100
OBS: 50551.500  I  NULL   0.20137E+06  7418.8      14.240   0.040
OBS: 50551.840  G  NULL   0.32719E+06  13561.      13.713   0.045
OBS: 50551.840  H  NULL   0.17426E+06  2568.0      14.397   0.016
OBS: 50551.840  I  NULL   0.21797E+06  1606.1      14.154   0.008
OBS: 50551.840  J  NULL   0.25515E+06  2585.0      13.983   0.011
OBS: 50551.840  K  NULL   0.26990E+06  2734.4      13.922   0.011
OBS: 50552.500  H  NULL   0.15560E+06  14331.      14.520   0.100
OBS: 50552.500  I  NULL   0.22699E+06  8362.5      14.110   0.040
OBS: 50552.828  G  NULL   0.33266E+06  16239.      13.695   0.053
OBS: 50552.828  H  NULL   0.18759E+06  4837.6      14.317   0.028
OBS: 50552.828  I  NULL   0.23378E+06  3445.1      14.078   0.016
OBS: 50552.828  J  NULL   0.28920E+06  6126.4      13.847   0.023
OBS: 50552.828  K  NULL   0.29895E+06  5782.2      13.811   0.021
OBS: 50553.500  H  NULL   0.17701E+06  16303.      14.380   0.100
OBS: 50553.500  I  NULL   0.23335E+06  8596.8      14.080   0.040
OBS: 50554.500  H  NULL   0.19953E+06  18377.      14.250   0.100
OBS: 50554.500  I  NULL   0.25119E+06  9254.1      14.000   0.040
OBS: 50555.500  H  NULL   0.21281E+06  19601.      14.180   0.100
OBS: 50555.500  I  NULL   0.26062E+06  9601.4      13.960   0.040
OBS: 50555.750  G  NULL   0.36983E+06  10219.      13.580   0.030
OBS: 50555.750  H  NULL   0.21281E+06  5880.3      14.180   0.030
OBS: 50555.750  I  NULL   0.26792E+06  7402.8      13.930   0.030
OBS: 50555.750  J  NULL   0.31915E+06  8818.5      13.740   0.030
OBS: 50555.750  K  NULL   0.34674E+06  9580.7      13.650   0.030
OBS: 50556.500  I  NULL   0.27290E+06  10054.      13.910   0.040
OBS: 50557.660  G  NULL   0.34995E+06  9669.3      13.640   0.030
OBS: 50557.660  H  NULL   0.22284E+06  6157.4      14.130   0.030
OBS: 50557.660  I  NULL   0.28314E+06  7823.4      13.870   0.030
OBS: 50557.660  J  NULL   0.33113E+06  9149.5      13.700   0.030
OBS: 50557.660  K  NULL   0.35645E+06  9849.1      13.620   0.030
OBS: 50558.500  I  NULL   0.28576E+06  10528.      13.860   0.040
OBS: 50564.500  H  NULL   0.20324E+06  18719.      14.230   0.100
OBS: 50564.500  I  NULL   0.30200E+06  11126.      13.800   0.040
OBS: 50564.898  H  NULL   0.19770E+06  18209.      14.260   0.100
OBS: 50564.898  I  NULL   0.31046E+06  11438.      13.770   0.040
OBS: 50564.898  K  NULL   0.33113E+06  12199.      13.700   0.040
OBS: 50567.398  H  NULL   0.16596E+06  15285.      14.450   0.100
OBS: 50567.398  I  NULL   0.29923E+06  11024.      13.810   0.040
OBS: 50567.789  G  NULL   0.19445E+06  7700.9      14.278   0.043
OBS: 50567.789  H  NULL   0.17848E+06  2465.9      14.371   0.015
OBS: 50567.789  I  NULL   0.30200E+06  2503.3      13.800   0.009
OBS: 50567.789  J  NULL   0.35091E+06  4201.6      13.637   0.013
OBS: 50567.789  K  NULL   0.31362E+06  3466.2      13.759   0.012
OBS: 50568.500  H  NULL   0.16444E+06  15145.      14.460   0.100
OBS: 50568.500  I  NULL   0.29648E+06  10923.      13.820   0.040
OBS: 50568.801  H  NULL   0.14859E+06  13686.      14.570   0.100
OBS: 50568.801  I  NULL   0.29376E+06  10823.      13.830   0.040
OBS: 50568.801  K  NULL   0.30761E+06  11333.      13.780   0.040
OBS: 50569.398  I  NULL   0.27040E+06  9961.8      13.920   0.040
OBS: 50569.789  G  NULL   0.15318E+06  5925.5      14.537   0.042
OBS: 50569.789  H  NULL   0.14805E+06  1909.0      14.574   0.014
OBS: 50569.789  I  NULL   0.28708E+06  2115.3      13.855   0.008
OBS: 50569.789  J  NULL   0.32599E+06  3602.9      13.717   0.012
OBS: 50569.789  K  NULL   0.29512E+06  3261.8      13.825   0.012
OBS: 50570.801  H  NULL   0.12359E+06  11383.      14.770   0.100
OBS: 50570.801  I  NULL   0.26303E+06  9690.3      13.950   0.040
OBS: 50570.801  K  NULL   0.29107E+06  10723.      13.840   0.040
OBS: 50571.398  I  NULL   0.25823E+06  9513.4      13.970   0.040
OBS: 50571.809  G  NULL   0.11738E+06  4000.2      14.826   0.037
OBS: 50571.809  H  NULL   0.11901E+06  1753.9      14.811   0.016
OBS: 50571.809  I  NULL   0.26644E+06  2454.0      13.936   0.010
OBS: 50571.809  J  NULL   0.28867E+06  3456.4      13.849   0.013
OBS: 50571.809  K  NULL   0.29295E+06  4047.3      13.833   0.015
OBS: 50572.398  H  NULL    99083.      9125.9      15.010   0.100
OBS: 50572.398  I  NULL   0.25351E+06  9339.8      13.990   0.040
OBS: 50573.500  H  NULL    98175.      7233.8      15.020   0.080
OBS: 50573.500  I  NULL   0.23550E+06  8676.3      14.070   0.040
OBS: 50573.750  G  NULL    82794.      2974.0      15.205   0.039
OBS: 50573.750  H  NULL    94624.      1307.3      15.060   0.015
OBS: 50573.750  I  NULL   0.23335E+06  1934.3      14.080   0.009
OBS: 50573.750  J  NULL   0.27797E+06  3072.3      13.890   0.012
OBS: 50573.750  K  NULL   0.29161E+06  3760.1      13.838   0.014
OBS: 50573.801  H  NULL    93756.      6908.2      15.070   0.080
OBS: 50573.801  I  NULL   0.21878E+06  8060.0      14.150   0.040
OBS: 50573.801  K  NULL   0.28314E+06  10431.      13.870   0.040
OBS: 50574.898  I  NULL   0.20701E+06  7626.7      14.210   0.040
OBS: 50575.762  G  NULL    61263.      2313.4      15.532   0.041
OBS: 50575.762  H  NULL    74817.      964.72      15.315   0.014
OBS: 50575.762  I  NULL   0.20740E+06  1528.1      14.208   0.008
OBS: 50575.762  J  NULL   0.25468E+06  2814.9      13.985   0.012
OBS: 50575.762  K  NULL   0.29431E+06  3794.9      13.828   0.014
OBS: 50575.801  H  NULL    73790.      4077.8      15.330   0.060
OBS: 50575.801  I  NULL   0.20137E+06  7418.8      14.240   0.040
OBS: 50575.801  K  NULL   0.28840E+06  10625.      13.850   0.040
OBS: 50576.500  I  NULL   0.19409E+06  7150.5      14.280   0.040
OBS: 50577.500  I  NULL   0.18707E+06  6891.8      14.320   0.040
OBS: 50578.730  G  NULL    40253.      1483.0      15.988   0.040
OBS: 50578.730  H  NULL    53852.      942.39      15.672   0.019
OBS: 50578.730  I  NULL   0.17124E+06  2050.3      14.416   0.013
OBS: 50578.730  J  NULL   0.24033E+06  3762.9      14.048   0.017
OBS: 50578.730  K  NULL   0.30507E+06  4776.7      13.789   0.017
OBS: 50578.801  H  NULL    53951.      2981.4      15.670   0.060
OBS: 50578.801  I  NULL   0.17061E+06  6285.4      14.420   0.040
OBS: 50578.801  K  NULL   0.29107E+06  10723.      13.840   0.040
OBS: 50579.801  H  NULL    50582.      2795.3      15.740   0.060
OBS: 50579.801  I  NULL   0.16293E+06  6002.5      14.470   0.040
OBS: 50579.801  K  NULL   0.29107E+06  10723.      13.840   0.040
OBS: 50581.770  H  NULL    38726.      356.68      16.030   0.010
OBS: 50581.770  I  NULL   0.13932E+06  1283.1      14.640   0.010
OBS: 50581.770  J  NULL   0.19953E+06  1837.7      14.250   0.010
OBS: 50581.801  H  NULL    42073.      2325.0      15.940   0.060
OBS: 50581.801  I  NULL   0.14859E+06  5474.4      14.570   0.040
OBS: 50581.801  K  NULL   0.28576E+06  10528.      13.860   0.040
OBS: 50582.801  G  NULL    28029.      1445.7      16.381   0.056
OBS: 50582.801  H  NULL    39737.      768.59      16.002   0.021
OBS: 50582.801  I  NULL   0.14335E+06  1584.4      14.609   0.012
OBS: 50582.801  J  NULL   0.21637E+06  3387.9      14.162   0.017
OBS: 50582.801  K  NULL   0.28184E+06  4412.9      13.875   0.017
OBS: 50583.398  I  NULL   0.14454E+06  5325.2      14.600   0.040
OBS: 50585.398  H  NULL    35318.      1951.8      16.130   0.060
OBS: 50585.398  I  NULL   0.11695E+06  4308.6      14.830   0.040
OBS: 50585.801  H  NULL    33113.      1829.9      16.200   0.060
OBS: 50585.801  I  NULL   0.12359E+06  4553.4      14.770   0.040
OBS: 50585.801  K  NULL   0.26062E+06  9601.4      13.960   0.040
OBS: 50586.801  H  NULL    31915.      1763.7      16.240   0.060
OBS: 50586.801  I  NULL   0.11912E+06  4388.7      14.810   0.040
OBS: 50586.801  K  NULL   0.26062E+06  9601.4      13.960   0.040
OBS: 50593.398  H  NULL    23768.      1313.5      16.560   0.060
OBS: 50593.398  I  NULL    94624.      3486.1      15.060   0.040
OBS: 50593.801  I  NULL    92897.      3422.4      15.080   0.040
OBS: 50593.801  K  NULL   0.22080E+06  8134.6      14.140   0.040
OBS: 50596.801  I  NULL    79433.      2926.4      15.250   0.040
OBS: 50596.801  K  NULL   0.19409E+06  7150.5      14.280   0.040
OBS: 50597.398  H  NULL    21677.      1197.9      16.660   0.060
OBS: 50597.398  I  NULL    83176.      3064.3      15.200   0.040
OBS: 50597.699  I  NULL    77268.      2846.7      15.280   0.040
OBS: 50597.699  K  NULL   0.18707E+06  6891.8      14.320   0.040
OBS: 50597.750  G  NULL    13728.      581.61      17.156   0.046
