SURVEY:  PS1_LOWZ_COMBINED(CFA2)
SNID: 1998de 
IAUC: 1998de
RA:    12.028670 deg
DECL:    27.624580 deg 
RA_HOST:    12.006250
DEC_HOST:    27.623640
MWEBV: 0.057 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.016471 +- 4.3e-05 
REDSHIFT_CMB: 0.0153949 +- 4.3e-05 
VPEC: -160.8517 +- 250.0
HOSTGAL_LOGMASS: 11.57 +- 0.42
PRIVATE(COSMO): 1
SEARCH_PEAKMJD:  51026.730
FILTERS:    abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVRI -> GHIJK
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 157
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 51018.000  I  NULL    3564.5      328.30      18.620   0.100
OBS: 51019.000  I  NULL    4965.9      365.90      18.260   0.080
OBS: 51020.000  I  NULL    7656.0      331.42      17.790   0.047
OBS: 51020.000  J  NULL    9727.5      232.94      17.530   0.026
OBS: 51020.000  K  NULL    8550.7      425.27      17.670   0.054
OBS: 51021.000  H  NULL    4512.3      236.89      18.364   0.057
OBS: 51021.000  I  NULL    9549.9      255.08      17.550   0.029
OBS: 51021.000  J  NULL    11376.      261.95      17.360   0.025
OBS: 51021.000  K  NULL    11066.      468.85      17.390   0.046
OBS: 51021.949  G  NULL    3674.5      165.83      18.587   0.049
OBS: 51021.949  H  NULL    6432.8      112.57      17.979   0.019
OBS: 51021.949  I  NULL    11631.      107.12      17.336   0.010
OBS: 51021.949  J  NULL    14655.      202.47      17.085   0.015
OBS: 51021.949  K  NULL    13490.      198.79      17.175   0.016
OBS: 51022.000  I  NULL    11376.      314.34      17.360   0.030
OBS: 51022.000  J  NULL    14723.      352.57      17.080   0.026
OBS: 51022.000  K  NULL    14191.      875.69      17.120   0.067
OBS: 51022.961  G  NULL    4409.6      259.93      18.389   0.064
OBS: 51022.961  H  NULL    7719.7      156.42      17.781   0.022
OBS: 51022.961  I  NULL    13477.      136.54      17.176   0.011
OBS: 51022.961  J  NULL    16565.      366.17      16.952   0.024
OBS: 51022.961  K  NULL    16796.      324.86      16.937   0.021
OBS: 51023.000  H  NULL    7311.4      262.63      17.840   0.039
OBS: 51023.000  I  NULL    12589.      301.47      17.250   0.026
OBS: 51023.000  J  NULL    16144.      312.24      16.980   0.021
OBS: 51023.000  K  NULL    15417.      809.38      17.030   0.057
OBS: 51024.000  H  NULL    8091.0      275.73      17.730   0.037
OBS: 51024.000  I  NULL    14723.      379.69      17.080   0.028
OBS: 51024.000  J  NULL    17539.      500.77      16.890   0.031
OBS: 51024.000  K  NULL    16749.      647.92      16.940   0.042
OBS: 51024.980  G  NULL    4826.1      248.92      18.291   0.056
OBS: 51024.980  H  NULL    9358.4      249.96      17.572   0.029
OBS: 51024.980  I  NULL    16233.      254.17      16.974   0.017
OBS: 51024.980  J  NULL    20137.      426.58      16.740   0.023
OBS: 51024.980  K  NULL    20874.      499.86      16.701   0.026
OBS: 51025.039  H  NULL    8953.7      321.62      17.620   0.039
OBS: 51025.039  I  NULL    16596.      366.85      16.950   0.024
OBS: 51025.039  J  NULL    19588.      505.17      16.770   0.028
OBS: 51025.039  K  NULL    18535.      580.44      16.830   0.034
OBS: 51026.039  H  NULL    9120.1      277.20      17.600   0.033
OBS: 51026.039  I  NULL    16596.      565.56      16.950   0.037
OBS: 51026.039  J  NULL    20324.      542.84      16.730   0.029
OBS: 51026.039  K  NULL    19953.      716.71      16.750   0.039
OBS: 51027.039  H  NULL    8871.6      277.81      17.630   0.034
OBS: 51027.039  I  NULL    17865.      559.44      16.870   0.034
OBS: 51027.039  J  NULL    22491.      642.15      16.620   0.031
OBS: 51027.039  K  NULL    21478.      712.16      16.670   0.036
OBS: 51028.000  H  NULL    8629.8      182.81      17.660   0.023
OBS: 51028.000  I  NULL    18197.      268.16      16.850   0.016
OBS: 51028.000  J  NULL    22699.      585.37      16.610   0.028
OBS: 51028.000  K  NULL    20893.      538.81      16.700   0.028
OBS: 51029.039  H  NULL    7798.3      201.11      17.770   0.028
OBS: 51029.039  I  NULL    18535.      324.36      16.830   0.019
OBS: 51029.039  J  NULL    22284.      389.97      16.630   0.019
OBS: 51029.039  K  NULL    22284.      718.36      16.630   0.035
OBS: 51030.000  H  NULL    7379.0      176.71      17.830   0.026
OBS: 51030.000  I  NULL    18197.      419.00      16.850   0.025
OBS: 51030.000  J  NULL    22909.      506.39      16.600   0.024
OBS: 51030.000  K  NULL    24210.      445.97      16.540   0.020
OBS: 51032.000  H  NULL    5546.3      199.22      18.140   0.039
OBS: 51032.000  I  NULL    15704.      347.13      17.010   0.024
OBS: 51032.000  J  NULL    20324.      636.44      16.730   0.034
OBS: 51032.000  K  NULL    21086.      893.37      16.690   0.046
OBS: 51033.039  H  NULL    4570.9      248.39      18.350   0.059
OBS: 51033.039  I  NULL    14723.      230.53      17.080   0.017
OBS: 51033.039  J  NULL    19770.      473.42      16.760   0.026
OBS: 51033.039  K  NULL    20893.      769.72      16.700   0.040
OBS: 51033.961  H  NULL    3837.1      268.59      18.540   0.076
OBS: 51033.961  I  NULL    13552.      411.90      17.170   0.033
OBS: 51033.961  J  NULL    18707.      396.28      16.820   0.023
OBS: 51033.961  K  NULL    21281.      627.23      16.680   0.032
OBS: 51034.961  H  NULL    2884.0      201.88      18.850   0.076
OBS: 51034.961  I  NULL    12246.      315.82      17.280   0.028
OBS: 51034.961  J  NULL    17539.      355.38      16.890   0.022
OBS: 51034.961  K  NULL    21281.      529.22      16.680   0.027
OBS: 51037.000  I  NULL    10471.      588.31      17.450   0.061
OBS: 51037.000  J  NULL    16144.      579.88      16.980   0.039
OBS: 51037.000  K  NULL    21086.      1476.0      16.690   0.076
OBS: 51038.000  H  NULL    1977.0      220.32      19.260   0.121
OBS: 51038.000  I  NULL    9375.6      725.36      17.570   0.084
OBS: 51038.000  J  NULL    14454.      905.28      17.100   0.068
OBS: 51039.000  I  NULL    7585.8      565.93      17.800   0.081
OBS: 51039.000  J  NULL    13428.      581.26      17.180   0.047
OBS: 51041.000  H  NULL    1527.6      154.76      19.540   0.110
OBS: 51041.000  I  NULL    6792.0      256.48      17.920   0.041
OBS: 51041.000  J  NULL    11803.      271.78      17.320   0.025
OBS: 51041.000  K  NULL    16749.      586.22      16.940   0.038
OBS: 51041.922  I  NULL    6137.6      209.16      18.030   0.037
OBS: 51041.922  J  NULL    10965.      212.08      17.400   0.021
OBS: 51041.922  K  NULL    15560.      558.91      17.020   0.039
OBS: 51042.961  H  NULL    1306.2      72.182      19.710   0.060
OBS: 51042.961  I  NULL    5861.4      221.34      18.080   0.041
OBS: 51042.961  J  NULL    10000.      230.26      17.500   0.025
OBS: 51042.961  K  NULL    14454.      452.64      17.100   0.034
OBS: 51044.000  I  NULL    5011.9      129.25      18.250   0.028
OBS: 51044.000  J  NULL    9036.5      241.37      17.610   0.029
OBS: 51044.000  K  NULL    13552.      486.79      17.170   0.039
OBS: 51044.922  H  NULL    1306.2      84.212      19.710   0.070
OBS: 51044.922  I  NULL    4613.2      182.70      18.340   0.043
OBS: 51044.922  J  NULL    8241.4      318.80      17.710   0.042
OBS: 51044.922  K  NULL    12023.      575.81      17.300   0.052
OBS: 51046.922  H  NULL    1086.4      80.051      19.910   0.080
OBS: 51046.922  I  NULL    3872.6      181.91      18.530   0.051
OBS: 51046.922  J  NULL    6982.3      167.21      17.890   0.026
OBS: 51046.922  K  NULL    10186.      440.93      17.480   0.047
