SURVEY:  PS1_LOWZ_COMBINED(CFA2)
SNID: 1999X 
IAUC: 1999X
RA:   133.634290 deg
DECL:    36.511420 deg 
RA_HOST:   133.632620
DEC_HOST:    36.509610
MWEBV: 0.032 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.02504 +- 1.1e-05 
REDSHIFT_CMB: 0.0257832 +- 1.1e-05 
VPEC: -204.6382 +- 250.0
HOSTGAL_LOGMASS: 10.33 +- 0.15
PRIVATE(COSMO): 1
SEARCH_PEAKMJD:  51203.488
FILTERS:    abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVRI -> GHIJK
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  31
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 51217.809  G  NULL    13804.      826.40      17.150   0.065
OBS: 51217.809  H  NULL    15747.      594.65      17.007   0.041
OBS: 51217.809  I  NULL    22080.      630.43      16.640   0.031
OBS: 51217.809  J  NULL    22867.      968.80      16.602   0.046
OBS: 51217.809  K  NULL    16308.      811.09      16.969   0.054
OBS: 51218.891  G  NULL    11418.      662.55      17.356   0.063
OBS: 51218.891  H  NULL    14642.      620.34      17.086   0.046
OBS: 51218.891  I  NULL    20568.      644.10      16.717   0.034
OBS: 51218.891  J  NULL    20063.      776.11      16.744   0.042
OBS: 51218.891  K  NULL    15981.      632.91      16.991   0.043
OBS: 51219.859  H  NULL    13002.      514.92      17.215   0.043
OBS: 51219.859  I  NULL    19679.      580.00      16.765   0.032
OBS: 51219.859  J  NULL    19427.      679.92      16.779   0.038
OBS: 51219.859  K  NULL    15617.      546.59      17.016   0.038
OBS: 51224.711  G  NULL    5180.8      391.28      18.214   0.082
OBS: 51224.711  H  NULL    7297.9      450.35      17.842   0.067
OBS: 51224.711  I  NULL    14805.      640.88      17.074   0.047
OBS: 51224.711  J  NULL    17266.      922.37      16.907   0.058
OBS: 51224.711  K  NULL    16398.      891.10      16.963   0.059
OBS: 51233.680  G  NULL    2385.6      347.16      19.056   0.158
OBS: 51233.680  H  NULL    3011.6      291.25      18.803   0.105
OBS: 51233.680  I  NULL    9392.9      692.09      17.568   0.080
OBS: 51233.680  J  NULL    14750.      1317.8      17.078   0.097
OBS: 51233.680  K  NULL    17914.      1699.5      16.867   0.103
OBS: 51275.672  G  NULL    851.14      203.04      20.175   0.259
OBS: 51275.672  H  NULL    1072.5      169.90      19.924   0.172
OBS: 51275.672  J  NULL    3121.8      109.26      18.764   0.038
OBS: 51284.691  G  NULL    664.35      127.89      20.444   0.209
OBS: 51284.691  J  NULL    2568.0      108.80      18.976   0.046
OBS: 51312.680  I  NULL    1090.4      31.134      19.906   0.031
OBS: 51312.680  J  NULL    1074.5      44.534      19.922   0.045
END: 
