SURVEY:  PS1_LOWZ_COMBINED(CFA2)
SNID: 2000fa 
IAUC: 2000fa
RA:   108.874500 deg
DECL:    23.428440 deg 
RA_HOST:   108.873210
DEC_HOST:    23.426250
MWEBV: 0.069 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.021275 +- 1.7e-05 
REDSHIFT_CMB: 0.0218061 +- 1.7e-05 
VPEC: -173.537 +- 250.0
HOSTGAL_LOGMASS: 9.97 +- 4.0
PRIVATE(COSMO): 1
SEARCH_PEAKMJD:  51892.250
FILTERS:    abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVRI -> GHIJK
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  55
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 51881.910  G  NULL    14521.      548.35      17.095   0.041
OBS: 51881.910  H  NULL    13378.      209.47      17.184   0.017
OBS: 51881.910  I  NULL    15011.      152.08      17.059   0.011
OBS: 51881.910  J  NULL    17555.      258.70      16.889   0.016
OBS: 51881.910  K  NULL    17077.      298.83      16.919   0.019
OBS: 51898.828  G  NULL    27900.      925.08      16.386   0.036
OBS: 51898.828  H  NULL    28471.      288.45      16.364   0.011
OBS: 51898.828  I  NULL    35975.      231.94      16.110   0.007
OBS: 51898.828  J  NULL    40068.      369.04      15.993   0.010
OBS: 51898.828  K  NULL    26940.      372.19      16.424   0.015
OBS: 51901.828  G  NULL    20549.      700.29      16.718   0.037
OBS: 51901.828  H  NULL    23637.      283.02      16.566   0.013
OBS: 51901.828  I  NULL    32004.      235.81      16.237   0.008
OBS: 51901.828  J  NULL    34514.      349.68      16.155   0.011
OBS: 51901.828  K  NULL    23335.      386.86      16.580   0.018
OBS: 51906.820  G  NULL    12078.      456.10      17.295   0.041
OBS: 51906.820  H  NULL    15290.      211.24      17.039   0.015
OBS: 51906.820  I  NULL    24077.      221.76      16.546   0.010
OBS: 51906.820  J  NULL    24412.      269.81      16.531   0.012
OBS: 51906.820  K  NULL    18484.      357.52      16.833   0.021
OBS: 51907.738  G  NULL    11293.      540.85      17.368   0.052
OBS: 51907.738  H  NULL    13829.      152.85      17.148   0.012
OBS: 51907.738  I  NULL    23249.      149.89      16.584   0.007
OBS: 51907.738  J  NULL    23768.      218.91      16.560   0.010
OBS: 51907.738  K  NULL    18433.      288.62      16.836   0.017
OBS: 51929.828  G  NULL    1390.6      144.73      19.642   0.113
OBS: 51929.828  H  NULL    2329.2      115.84      19.082   0.054
OBS: 51929.828  I  NULL    7748.2      99.909      17.777   0.014
OBS: 51929.828  J  NULL    12636.      221.12      17.246   0.019
OBS: 51929.828  K  NULL    15747.      362.59      17.007   0.025
OBS: 51933.828  G  NULL    1075.5      157.50      19.921   0.159
OBS: 51933.828  H  NULL    2051.2      58.565      19.220   0.031
OBS: 51933.828  I  NULL    6403.2      100.26      17.984   0.017
OBS: 51933.828  J  NULL    10261.      198.47      17.472   0.021
OBS: 51933.828  K  NULL    12201.      280.94      17.284   0.025
OBS: 51953.730  H  NULL    1639.8      60.414      19.463   0.040
OBS: 51953.730  I  NULL    3847.7      85.052      18.537   0.024
OBS: 51953.730  J  NULL    5410.0      149.49      18.167   0.030
OBS: 51953.730  K  NULL    5157.0      208.99      18.219   0.044
OBS: 51959.609  H  NULL    1547.4      68.410      19.526   0.048
OBS: 51959.609  I  NULL    3200.4      100.22      18.737   0.034
OBS: 51959.609  J  NULL    4479.2      177.40      18.372   0.043
OBS: 51959.609  K  NULL    4164.9      241.67      18.451   0.063
OBS: 51963.762  H  NULL    1428.2      56.565      19.613   0.043
OBS: 51963.762  I  NULL    3008.9      55.425      18.804   0.020
OBS: 51963.762  J  NULL    3847.7      95.684      18.537   0.027
OBS: 51963.762  K  NULL    3833.5      282.47      18.541   0.080
OBS: 51994.699  G  NULL    542.00      112.82      20.665   0.226
OBS: 51994.699  H  NULL    884.71      92.892      20.133   0.114
OBS: 51994.699  I  NULL    1444.1      101.09      19.601   0.076
OBS: 51994.699  J  NULL    1617.3      172.80      19.478   0.116
OBS: 51994.699  K  NULL    1457.5      205.38      19.591   0.153
OBS: 52022.660  H  NULL    602.56      132.64      20.550   0.239
OBS: 52022.660  I  NULL    803.90      114.76      20.237   0.155
OBS: 52022.660  J  NULL    677.95      141.74      20.422   0.227
END: 
