SURVEY:  LOWZ                
SNID: 1980N 
IAUC: 1980N
RA:    50.751330 deg
DECL:   -37.213860 deg 
RA_HOST:    50.673830
DEC_HOST:   -37.208220
MWEBV: 0.021 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.005871 +- 3.3e-05 
REDSHIFT_CMB: 0.0055149 +- 3.3e-05 
VPEC: -191.4918 +- 250.0
SEARCH_PEAKMJD:  44585.609
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 116
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 44584.590  U  NULL   0.12045E+07  66562.      12.298   0.060
OBS: 44584.590  B  NULL   0.99541E+06  27504.      12.505   0.030
OBS: 44584.590  V  NULL   0.96028E+06  26534.      12.544   0.030
OBS: 44584.590  R  NULL   0.10347E+07  28589.      12.463   0.030
OBS: 44584.590  I  NULL   0.83483E+06  23067.      12.696   0.030
OBS: 44584.602  U  NULL   0.12280E+07  67862.      12.277   0.060
OBS: 44584.602  B  NULL   0.10167E+07  28093.      12.482   0.030
OBS: 44584.602  V  NULL   0.97994E+06  27077.      12.522   0.030
OBS: 44584.602  R  NULL   0.98628E+06  27252.      12.515   0.030
OBS: 44584.602  I  NULL   0.79873E+06  22070.      12.744   0.030
OBS: 44586.641  U  NULL   0.11760E+07  64987.      12.324   0.060
OBS: 44586.641  B  NULL   0.97904E+06  27052.      12.523   0.030
OBS: 44586.641  V  NULL   0.10385E+07  28694.      12.459   0.030
OBS: 44586.672  U  NULL   0.11503E+07  63566.      12.348   0.060
OBS: 44586.672  B  NULL   0.10046E+07  27759.      12.495   0.030
OBS: 44586.672  V  NULL   0.10271E+07  28379.      12.471   0.030
OBS: 44586.680  U  NULL   0.11847E+07  65468.      12.316   0.060
OBS: 44586.680  B  NULL   0.10018E+07  27682.      12.498   0.030
OBS: 44586.680  V  NULL   0.10271E+07  28379.      12.471   0.030
OBS: 44587.629  U  NULL   0.10442E+07  57707.      12.453   0.060
