SURVEY:  LOWZ                
SNID: 1990O 
IAUC: 1990O
RA:   258.900710 deg
DECL:    16.322030 deg 
RA_HOST:   258.893250
DEC_HOST:    16.324860
MWEBV: 0.093 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.030665 +- 9.7e-05 
REDSHIFT_CMB: 0.0305988 +- 9.7e-05 
VPEC: 8.9766 +- 250.0
SEARCH_PEAKMJD:  48076.129
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  37
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 48076.711  B  NULL    22909.      632.99      16.600   0.030
OBS: 48076.711  V  NULL    24389.      673.90      16.532   0.030
OBS: 48076.711  R  NULL    27214.      751.96      16.413   0.030
OBS: 48084.641  B  NULL    16504.      456.03      16.956   0.030
OBS: 48084.641  V  NULL    20912.      577.83      16.699   0.030
OBS: 48084.641  R  NULL    21958.      606.73      16.646   0.030
OBS: 48084.641  I  NULL    14112.      389.94      17.126   0.030
OBS: 48095.672  B  NULL    6200.1      205.58      18.019   0.036
OBS: 48095.672  V  NULL    12269.      372.90      17.278   0.033
OBS: 48095.672  R  NULL    13231.      377.78      17.196   0.031
OBS: 48095.672  I  NULL    10617.      332.47      17.435   0.034
OBS: 48104.672  B  NULL    2681.6      130.90      18.929   0.053
OBS: 48104.672  V  NULL    7877.7      261.20      17.759   0.036
OBS: 48104.672  R  NULL    11738.      335.15      17.326   0.031
OBS: 48104.672  I  NULL    12671.      408.45      17.243   0.035
OBS: 48115.641  B  NULL    1515.0      66.976      19.549   0.048
OBS: 48115.641  V  NULL    4462.7      139.75      18.376   0.034
OBS: 48115.641  R  NULL    6804.6      206.82      17.918   0.033
OBS: 48115.641  I  NULL    8053.8      274.46      17.735   0.037
OBS: 48126.480  B  NULL    1247.4      78.124      19.760   0.068
OBS: 48126.480  V  NULL    3369.8      127.25      18.681   0.041
OBS: 48126.480  R  NULL    4777.5      158.41      18.302   0.036
OBS: 48126.480  I  NULL    5171.3      261.96      18.216   0.055
OBS: 48149.578  B  NULL    908.66      56.073      20.104   0.067
OBS: 48149.578  V  NULL    1942.7      73.360      19.279   0.041
OBS: 48149.578  R  NULL    2618.2      106.10      18.955   0.044
OBS: 48149.578  I  NULL    1505.2      209.34      19.556   0.151
OBS: 48163.520  B  NULL    690.56      148.19      20.402   0.233
OBS: 48163.520  V  NULL    1737.8      160.06      19.400   0.100
OBS: 48353.828  B  NULL    73.790      40.642      22.830   0.598
OBS: 48353.828  R  NULL    65.950      31.220      22.952   0.514
OBS: 48353.828  I  NULL    226.36      103.62      21.613   0.497
OBS: 48355.859  B  NULL    79.650      11.371      22.747   0.155
OBS: 48355.859  R  NULL    54.700      9.2700      23.155   0.184
OBS: 48355.859  I  NULL    50.680      16.756      23.238   0.359
OBS: 48383.879  R  NULL    35.350      25.559      23.629   0.785
OBS: 48383.879  I  NULL    112.93      84.976      22.368   0.817
END: 
