SURVEY:  LOWZ                
SNID: 1991M 
IAUC: 1991M
RA:   239.645080 deg
DECL:    17.457970 deg 
RA_HOST:   239.634750
DEC_HOST:    17.441470
MWEBV: 0.038 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.007261 +- 9e-06 
REDSHIFT_CMB: 0.0075829 +- 9e-06 
VPEC: -185.6846 +- 250.0
SEARCH_PEAKMJD:  48334.980
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  36
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 48336.762  V  NULL   0.15136E+06  5576.2      14.550   0.040
OBS: 48336.762  R  NULL   0.16596E+06  6114.1      14.450   0.040
OBS: 48336.762  I  NULL   0.12942E+06  4768.0      14.720   0.040
OBS: 48349.738  V  NULL    92045.      3391.1      15.090   0.040
OBS: 48349.738  R  NULL    85507.      3150.2      15.170   0.040
OBS: 48349.738  I  NULL    75162.      3461.4      15.310   0.050
OBS: 48359.762  V  NULL    52481.      2900.2      15.700   0.060
OBS: 48359.762  R  NULL    69823.      3215.5      15.390   0.050
OBS: 48359.762  I  NULL    83176.      3064.3      15.200   0.040
OBS: 48370.730  V  NULL    28054.      2583.9      16.380   0.100
OBS: 48370.730  R  NULL    33729.      2795.9      16.180   0.090
OBS: 48370.730  I  NULL    49659.      2744.3      15.760   0.060
OBS: 48372.801  V  NULL    22080.      2643.7      16.640   0.130
OBS: 48372.801  R  NULL    32810.      2719.7      16.210   0.090
OBS: 48372.801  I  NULL    44055.      2840.4      15.890   0.070
OBS: 48374.859  V  NULL    20512.      2644.9      16.720   0.140
OBS: 48374.859  R  NULL    31915.      2645.6      16.240   0.090
OBS: 48374.859  I  NULL    42855.      2763.0      15.920   0.070
OBS: 48381.781  V  NULL    17865.      2632.7      16.870   0.160
OBS: 48381.781  R  NULL    21677.      2795.1      16.660   0.140
OBS: 48381.781  I  NULL    25119.      2776.2      16.500   0.120
OBS: 48393.770  V  NULL    14454.      2662.6      17.100   0.200
OBS: 48393.770  R  NULL    14322.      2638.2      17.110   0.200
OBS: 48393.770  I  NULL    16596.      2751.4      16.950   0.180
OBS: 48396.719  V  NULL    11169.      2674.5      17.380   0.260
OBS: 48396.719  R  NULL    14060.      2719.5      17.130   0.210
OBS: 48396.719  I  NULL    15417.      2697.9      17.030   0.190
OBS: 48397.820  V  NULL    10471.      2604.0      17.450   0.270
OBS: 48397.820  R  NULL    14060.      2719.5      17.130   0.210
OBS: 48397.820  I  NULL    15849.      2773.5      17.000   0.190
OBS: 48414.730  V  NULL    8790.2      2590.8      17.640   0.320
OBS: 48414.730  R  NULL    10375.      2675.7      17.460   0.280
OBS: 48414.730  I  NULL    11695.      2692.9      17.330   0.250
OBS: 48428.719  V  NULL    4698.9      2293.8      18.320   0.530
OBS: 48428.719  R  NULL    6606.9      2494.9      17.950   0.410
OBS: 48428.719  I  NULL    7046.9      2531.3      17.880   0.390
END: 
