SURVEY:  LOWZ                
SNID: 1991T 
IAUC: 1991T
RA:   188.542500 deg
DECL:     2.665670 deg 
RA_HOST:   188.535080
DEC_HOST:     2.653670
MWEBV: 0.022 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.00579 +- 1.7e-05 
REDSHIFT_CMB: 0.0069343 +- 1.7e-05 
VPEC: 84.584 +- 250.0
SEARCH_PEAKMJD:  48374.031
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 251
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 48362.852  U  NULL   0.12474E+07  22978.      12.260   0.020
OBS: 48362.852  B  NULL   0.64269E+06  11839.      12.980   0.020
OBS: 48362.852  V  NULL   0.73114E+06  13468.      12.840   0.020
OBS: 48362.852  R  NULL   0.85507E+06  15751.      12.670   0.020
OBS: 48362.852  I  NULL   0.71121E+06  13101.      12.870   0.020
OBS: 48363.648  B  NULL   0.80910E+06  7452.0      12.730   0.010
OBS: 48363.648  V  NULL   0.90365E+06  8322.9      12.610   0.010
OBS: 48363.770  B  NULL   0.82262E+06  12123.      12.712   0.016
OBS: 48363.770  V  NULL   0.89702E+06  13219.      12.618   0.016
OBS: 48363.770  R  NULL   0.97634E+06  13489.      12.526   0.015
OBS: 48363.801  U  NULL   0.15276E+07  28139.      12.040   0.020
OBS: 48363.801  B  NULL   0.75858E+06  13974.      12.800   0.020
OBS: 48363.801  V  NULL   0.80168E+06  14767.      12.740   0.020
OBS: 48364.641  B  NULL   0.10375E+07  9556.0      12.460   0.010
OBS: 48364.641  V  NULL   0.11588E+07  10673.      12.340   0.010
OBS: 48364.641  R  NULL   0.11803E+07  10871.      12.320   0.010
OBS: 48364.762  B  NULL   0.10481E+07  15445.      12.449   0.016
OBS: 48364.762  V  NULL   0.11355E+07  16734.      12.362   0.016
OBS: 48364.762  R  NULL   0.12034E+07  16625.      12.299   0.015
OBS: 48365.648  R  NULL   0.13690E+07  18913.      12.159   0.015
OBS: 48365.660  U  NULL   0.22699E+07  54356.      11.610   0.026
OBS: 48365.660  B  NULL   0.11355E+07  16734.      12.362   0.016
OBS: 48365.660  V  NULL   0.12520E+07  18450.      12.256   0.016
OBS: 48365.660  R  NULL   0.14009E+07  19354.      12.134   0.015
OBS: 48365.660  I  NULL   0.13002E+07  20358.      12.215   0.017
OBS: 48366.672  B  NULL   0.13778E+07  20305.      12.152   0.016
OBS: 48366.672  V  NULL   0.14983E+07  22080.      12.061   0.016
OBS: 48366.672  R  NULL   0.16278E+07  22489.      11.971   0.015
OBS: 48367.648  V  NULL   0.17539E+07  16154.      11.890   0.010
OBS: 48368.699  B  NULL   0.19409E+07  17876.      11.780   0.010
OBS: 48368.699  V  NULL   0.19055E+07  17550.      11.800   0.010
OBS: 48368.699  R  NULL   0.20893E+07  19243.      11.700   0.010
OBS: 48372.699  B  NULL   0.19989E+07  29457.      11.748   0.016
OBS: 48372.699  R  NULL   0.24367E+07  33664.      11.533   0.015
OBS: 48372.699  I  NULL   0.21028E+07  32925.      11.693   0.017
OBS: 48374.641  U  NULL   0.30088E+07  72052.      11.304   0.026
OBS: 48374.641  B  NULL   0.20531E+07  30255.      11.719   0.016
OBS: 48374.641  V  NULL   0.23486E+07  34610.      11.573   0.016
OBS: 48374.641  R  NULL   0.24683E+07  34101.      11.519   0.015
OBS: 48374.641  I  NULL   0.21009E+07  32895.      11.694   0.017
OBS: 48375.648  U  NULL   0.28314E+07  67803.      11.370   0.026
OBS: 48375.648  B  NULL   0.20512E+07  30227.      11.720   0.016
OBS: 48375.648  V  NULL   0.23594E+07  34769.      11.568   0.016
OBS: 48375.648  R  NULL   0.24457E+07  33788.      11.529   0.015
OBS: 48375.648  I  NULL   0.21106E+07  33046.      11.689   0.017
OBS: 48376.691  U  NULL   0.30789E+07  73731.      11.279   0.026
OBS: 48376.691  B  NULL   0.20119E+07  29648.      11.741   0.016
OBS: 48376.691  V  NULL   0.24166E+07  35612.      11.542   0.016
OBS: 48376.691  R  NULL   0.25704E+07  35511.      11.475   0.015
OBS: 48376.691  I  NULL   0.21086E+07  33016.      11.690   0.017
OBS: 48377.621  U  NULL   0.29404E+07  70412.      11.329   0.026
OBS: 48377.621  B  NULL   0.20682E+07  30479.      11.711   0.016
OBS: 48377.621  V  NULL   0.24866E+07  36643.      11.511   0.016
OBS: 48377.621  R  NULL   0.26669E+07  36844.      11.435   0.015
OBS: 48377.621  I  NULL   0.21577E+07  33785.      11.665   0.017
OBS: 48380.691  V  NULL   0.24457E+07  36041.      11.529   0.016
OBS: 48380.691  R  NULL   0.25609E+07  35381.      11.479   0.015
OBS: 48380.691  I  NULL   0.18967E+07  31445.      11.805   0.018
OBS: 48380.699  B  NULL   0.18501E+07  27264.      11.832   0.016
OBS: 48380.699  V  NULL   0.24547E+07  36174.      11.525   0.016
OBS: 48380.699  R  NULL   0.25918E+07  35807.      11.466   0.015
