SURVEY:  LOWZ                
SNID: 1991U 
IAUC: 1991U
RA:   200.841920 deg
DECL:   -26.109140 deg 
RA_HOST:   200.843540
DEC_HOST:   -26.109500
MWEBV: 0.062 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.031729 +- 0.00015 
REDSHIFT_CMB: 0.0327487 +- 0.00015 
VPEC: 445.9166 +- 250.0
SEARCH_PEAKMJD:  48356.051
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  33
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 48366.730  B  NULL    12682.      350.43      17.242   0.030
OBS: 48366.730  V  NULL    17783.      491.36      16.875   0.030
OBS: 48366.730  R  NULL    17947.      495.90      16.865   0.030
OBS: 48370.539  B  NULL    8105.9      223.97      17.728   0.030
OBS: 48370.539  V  NULL    14035.      387.79      17.132   0.030
OBS: 48374.699  R  NULL    12800.      400.83      17.232   0.034
OBS: 48374.699  I  NULL    12835.      591.08      17.229   0.050
OBS: 48375.719  V  NULL    11460.      643.88      17.352   0.061
OBS: 48375.719  R  NULL    12906.      689.45      17.223   0.058
OBS: 48375.719  I  NULL    12089.      746.02      17.294   0.067
OBS: 48377.711  B  NULL    4309.2      301.64      18.414   0.076
OBS: 48377.711  V  NULL    9944.9      494.62      17.506   0.054
OBS: 48377.711  R  NULL    12954.      405.65      17.219   0.034
OBS: 48377.711  I  NULL    13098.      494.61      17.207   0.041
OBS: 48380.719  B  NULL    2844.5      130.99      18.865   0.050
OBS: 48380.719  V  NULL    8448.9      241.23      17.683   0.031
OBS: 48380.719  R  NULL    12314.      374.27      17.274   0.033
OBS: 48380.719  I  NULL    14415.      929.34      17.103   0.070
OBS: 48383.750  B  NULL    2352.9      71.514      19.071   0.033
OBS: 48383.750  V  NULL    7318.1      208.95      17.839   0.031
OBS: 48383.750  R  NULL    11620.      321.07      17.337   0.030
OBS: 48383.750  I  NULL    14296.      408.17      17.112   0.031
OBS: 48386.648  B  NULL    1944.5      82.382      19.278   0.046
OBS: 48386.648  V  NULL    6338.7      251.04      17.995   0.043
OBS: 48386.648  R  NULL    10904.      411.77      17.406   0.041
OBS: 48386.648  I  NULL    12918.      606.80      17.222   0.051
OBS: 48393.648  B  NULL    1445.4      51.921      19.600   0.039
OBS: 48393.648  V  NULL    4337.1      123.83      18.407   0.031
OBS: 48393.648  R  NULL    7474.8      220.31      17.816   0.032
OBS: 48393.648  I  NULL    9392.9      294.14      17.568   0.034
OBS: 48405.648  B  NULL    831.00      153.07      20.201   0.200
OBS: 48405.648  V  NULL    2535.1      184.46      18.990   0.079
OBS: 48405.648  R  NULL    4222.8      556.17      18.436   0.143
END: 
