SURVEY:  LOWZ                
SNID: 1991bg 
IAUC: 1991bg
RA:   186.265420 deg
DECL:    12.871000 deg 
RA_HOST:   186.265580
DEC_HOST:    12.886970
MWEBV: 0.041 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.003536 +- 2e-05 
REDSHIFT_CMB: 0.0046392 +- 2e-05 
VPEC: 308.5766 +- 250.0
SEARCH_PEAKMJD:  48603.141
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 237
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 48604.000  B  NULL   0.12474E+06  3446.6      14.760   0.030
OBS: 48604.000  V  NULL   0.24660E+06  6813.9      14.020   0.030
OBS: 48604.000  R  NULL   0.31333E+06  8657.6      13.760   0.030
OBS: 48604.000  I  NULL   0.33420E+06  9234.2      13.690   0.030
OBS: 48605.000  B  NULL   0.11912E+06  4388.7      14.810   0.040
OBS: 48605.000  V  NULL   0.26062E+06  7201.1      13.960   0.030
OBS: 48605.000  R  NULL   0.35318E+06  9758.8      13.630   0.030
OBS: 48605.000  I  NULL   0.40551E+06  11205.      13.480   0.030
OBS: 48605.852  B  NULL   0.11272E+06  4152.7      14.870   0.040
OBS: 48605.852  V  NULL   0.22699E+06  6271.9      14.110   0.030
OBS: 48606.000  B  NULL   0.11376E+06  4191.2      14.860   0.040
OBS: 48606.000  V  NULL   0.25823E+06  7135.0      13.970   0.030
OBS: 48606.000  R  NULL   0.34995E+06  9669.3      13.640   0.030
OBS: 48606.000  I  NULL   0.37325E+06  10313.      13.570   0.030
OBS: 48607.000  B  NULL   0.10375E+06  3822.4      14.960   0.040
OBS: 48607.000  V  NULL   0.24889E+06  6877.0      14.010   0.030
OBS: 48607.000  R  NULL   0.35318E+06  3252.9      13.630   0.010
OBS: 48607.000  I  NULL   0.39084E+06  3599.8      13.520   0.010
OBS: 48607.852  B  NULL    97275.      3583.7      15.030   0.040
OBS: 48607.852  V  NULL   0.24889E+06  6877.0      14.010   0.030
OBS: 48607.898  V  NULL   0.24660E+06  2271.3      14.020   0.010
OBS: 48607.898  R  NULL   0.34674E+06  3193.6      13.650   0.010
OBS: 48607.898  I  NULL   0.39446E+06  3633.1      13.510   0.010
OBS: 48608.840  B  NULL    81658.      3008.4      15.220   0.040
OBS: 48608.840  V  NULL   0.23768E+06  8756.6      14.060   0.040
OBS: 48609.840  B  NULL    73114.      3367.0      15.340   0.050
OBS: 48609.840  V  NULL   0.21878E+06  8060.0      14.150   0.040
OBS: 48609.898  V  NULL   0.21677E+06  1996.5      14.160   0.010
OBS: 48609.898  R  NULL   0.31623E+06  2912.6      13.750   0.010
OBS: 48609.898  I  NULL   0.38726E+06  3566.8      13.530   0.010
OBS: 48610.828  B  NULL    58076.      2674.5      15.590   0.050
OBS: 48610.828  V  NULL   0.20137E+06  7418.8      14.240   0.040
OBS: 48610.898  V  NULL   0.19409E+06  1787.6      14.280   0.010
OBS: 48610.898  R  NULL   0.30200E+06  2781.5      13.800   0.010
OBS: 48610.898  I  NULL   0.36644E+06  3375.0      13.590   0.010
OBS: 48613.000  V  NULL   0.15417E+06  1420.0      14.530   0.010
OBS: 48613.000  R  NULL   0.25586E+06  2356.5      13.980   0.010
OBS: 48613.000  I  NULL   0.34356E+06  3164.3      13.660   0.010
OBS: 48617.840  B  NULL    26546.      1467.0      16.440   0.060
OBS: 48617.840  V  NULL    95499.      4397.9      15.050   0.050
OBS: 48617.859  B  NULL    22491.      1242.9      16.620   0.060
OBS: 48617.859  V  NULL    90365.      4161.5      15.110   0.050
OBS: 48620.859  B  NULL    19409.      1251.3      16.780   0.070
OBS: 48620.859  V  NULL    71779.      3966.7      15.360   0.060
OBS: 48621.801  V  NULL    61376.      1695.9      15.530   0.030
OBS: 48621.801  R  NULL   0.11376E+06  2095.6      14.860   0.020
OBS: 48621.801  I  NULL   0.19409E+06  1787.6      14.280   0.010
OBS: 48621.922  V  NULL    66681.      3684.9      15.440   0.060
OBS: 48622.840  B  NULL    18707.      1378.4      16.820   0.080
OBS: 48622.840  V  NULL    59156.      3269.1      15.570   0.060
OBS: 48622.840  R  NULL    96383.      5326.3      15.040   0.060
OBS: 48623.000  V  NULL    60814.      2240.5      15.540   0.040
OBS: 48623.000  R  NULL   0.10000E+06  921.03      15.000   0.010
OBS: 48623.840  B  NULL    18880.      1391.1      16.810   0.080
OBS: 48623.840  V  NULL    56494.      3122.0      15.620   0.060
OBS: 48623.840  R  NULL    86298.      4769.0      15.160   0.060
OBS: 48623.852  B  NULL    17701.      1304.3      16.880   0.080
OBS: 48623.852  V  NULL    53951.      2981.4      15.670   0.060
OBS: 48624.000  V  NULL    60814.      2240.5      15.540   0.040
OBS: 48624.000  R  NULL    92897.      855.61      15.080   0.010
OBS: 48624.000  I  NULL   0.15849E+06  2919.5      14.500   0.020
OBS: 48624.102  V  NULL    60814.      2240.5      15.540   0.040
OBS: 48624.102  R  NULL    92897.      855.61      15.080   0.010
OBS: 48624.102  I  NULL   0.16144E+06  2973.8      14.480   0.020
OBS: 48624.840  B  NULL    15996.      1178.6      16.990   0.080
OBS: 48624.840  V  NULL    55976.      3093.3      15.630   0.060
OBS: 48624.840  R  NULL    87902.      4857.7      15.140   0.060
OBS: 48625.840  B  NULL    16749.      1234.1      16.940   0.080
OBS: 48625.840  V  NULL    56494.      3122.0      15.620   0.060
OBS: 48626.840  B  NULL    14454.      1198.2      17.100   0.090
OBS: 48626.840  V  NULL    47863.      3085.8      15.800   0.070
OBS: 48626.840  R  NULL    75858.      4890.7      15.300   0.070
OBS: 48626.852  B  NULL    14859.      1231.7      17.070   0.090
OBS: 48626.852  V  NULL    52000.      3352.5      15.710   0.070
OBS: 48627.840  B  NULL    15136.      1254.6      17.050   0.090
OBS: 48627.840  V  NULL    50582.      3261.2      15.740   0.070
OBS: 48627.898  V  NULL    47424.      2184.0      15.810   0.050
OBS: 48627.898  R  NULL    75858.      2096.0      15.300   0.030
OBS: 48627.898  I  NULL   0.12942E+06  2384.0      14.720   0.020
OBS: 48628.840  B  NULL    14859.      1231.7      17.070   0.090
OBS: 48628.840  V  NULL    49659.      3201.6      15.760   0.070
OBS: 48628.852  B  NULL    15849.      1313.8      17.000   0.090
OBS: 48628.852  V  NULL    49204.      3172.3      15.770   0.070
OBS: 48630.000  V  NULL    45290.      1668.5      15.860   0.040
OBS: 48630.000  R  NULL    64863.      597.41      15.470   0.010
OBS: 48631.852  B  NULL    13552.      1248.2      17.170   0.100
OBS: 48631.852  V  NULL    39084.      2879.8      16.020   0.080
OBS: 48632.852  B  NULL    13183.      1214.2      17.200   0.100
OBS: 48632.852  V  NULL    42073.      3100.0      15.940   0.080
OBS: 48633.898  V  NULL    39811.      2566.7      16.000   0.070
OBS: 48633.898  R  NULL    54450.      2507.5      15.660   0.050
OBS: 48633.898  I  NULL    89536.      2474.0      15.120   0.030
OBS: 48634.102  V  NULL    36308.      1337.6      16.100   0.040
OBS: 48634.102  R  NULL    51050.      470.19      15.730   0.010
OBS: 48634.102  I  NULL    91201.      1680.0      15.100   0.020
OBS: 48635.000  V  NULL    34995.      1611.6      16.140   0.050
OBS: 48635.000  R  NULL    47863.      440.83      15.800   0.010
OBS: 48635.000  I  NULL    83946.      1546.3      15.190   0.020
OBS: 48635.102  V  NULL    34356.      1582.1      16.160   0.050
OBS: 48635.102  R  NULL    50119.      923.22      15.750   0.020
OBS: 48636.000  V  NULL    34356.      1582.1      16.160   0.050
OBS: 48636.000  I  NULL    80168.      1476.7      15.240   0.020
OBS: 48636.102  V  NULL    36308.      1672.0      16.100   0.050
OBS: 48636.102  R  NULL    46559.      428.82      15.830   0.010
OBS: 48636.102  I  NULL    80168.      1476.7      15.240   0.020
OBS: 48636.672  B  NULL    10965.      1110.9      17.400   0.110
OBS: 48636.672  V  NULL    34356.      2531.4      16.160   0.080
OBS: 48637.672  B  NULL    11169.      1131.5      17.380   0.110
OBS: 48637.672  V  NULL    29648.      2457.6      16.320   0.090
OBS: 48637.672  R  NULL    42855.      3552.4      15.920   0.090
OBS: 48638.699  B  NULL    11588.      1174.0      17.340   0.110
OBS: 48638.699  V  NULL    30761.      2549.9      16.280   0.090
OBS: 48638.801  V  NULL    31623.      2330.1      16.250   0.080
OBS: 48638.801  R  NULL    45709.      2526.0      15.850   0.060
OBS: 48638.801  I  NULL    67298.      2479.3      15.430   0.040
OBS: 48639.602  B  NULL    10280.      1041.5      17.470   0.110
OBS: 48640.102  R  NULL    38726.      1426.7      16.030   0.040
OBS: 48640.102  I  NULL    66681.      2456.6      15.440   0.040
OBS: 48641.840  B  NULL    11169.      1234.4      17.380   0.120
OBS: 48641.840  V  NULL    28576.      2368.7      16.360   0.090
OBS: 48651.000  V  NULL    19770.      1092.5      16.760   0.060
OBS: 48651.000  R  NULL    25119.      1156.8      16.500   0.050
OBS: 48651.000  I  NULL    36983.      1362.5      16.080   0.040
OBS: 48651.801  V  NULL    19055.      2281.5      16.800   0.130
OBS: 48651.801  R  NULL    22284.      2463.0      16.630   0.120
OBS: 48651.801  I  NULL    38726.      2496.7      16.030   0.070
OBS: 48655.801  V  NULL    14322.      2242.5      17.110   0.170
OBS: 48655.801  R  NULL    21086.      2330.5      16.690   0.120
OBS: 48655.801  I  NULL    30761.      2549.9      16.280   0.090
OBS: 48656.000  V  NULL    16596.      2292.8      16.950   0.150
OBS: 48656.000  R  NULL    16444.      1514.5      16.960   0.100
OBS: 48656.000  I  NULL    30200.      2781.5      16.300   0.100
OBS: 48656.820  B  NULL    8091.0      1117.8      17.730   0.150
OBS: 48656.820  V  NULL    19409.      2145.1      16.780   0.120
OBS: 48656.820  R  NULL    24889.      2750.8      16.510   0.120
OBS: 48656.820  I  NULL    37670.      4163.5      16.060   0.120
OBS: 48656.859  B  NULL    7943.3      1097.4      17.750   0.150
OBS: 48656.859  V  NULL    15704.      1735.6      17.010   0.120
OBS: 48656.859  R  NULL    18197.      2011.2      16.850   0.120
OBS: 48657.609  B  NULL    7943.3      1170.6      17.750   0.160
OBS: 48657.609  V  NULL    16144.      1784.3      16.980   0.120
OBS: 48657.609  R  NULL    16749.      1851.2      16.940   0.120
OBS: 48657.809  B  NULL    7244.4      1067.6      17.850   0.160
OBS: 48657.809  V  NULL    16144.      1784.3      16.980   0.120
OBS: 48657.879  B  NULL    7516.2      1107.6      17.810   0.160
OBS: 48657.879  V  NULL    15417.      1703.9      17.030   0.120
OBS: 48657.879  R  NULL    17701.      1956.4      16.880   0.120
OBS: 48658.102  V  NULL    16293.      1950.8      16.970   0.130
OBS: 48658.102  I  NULL    28314.      1825.5      16.370   0.070
OBS: 48658.531  B  NULL    6918.3      1019.5      17.900   0.160
OBS: 48658.531  V  NULL    14454.      1597.6      17.100   0.120
OBS: 48658.531  R  NULL    17378.      1920.7      16.900   0.120
OBS: 48658.789  B  NULL    7447.3      1097.5      17.820   0.160
OBS: 48658.789  V  NULL    16596.      1834.2      16.950   0.120
OBS: 48658.789  R  NULL    19055.      2106.0      16.800   0.120
OBS: 48658.789  I  NULL    29107.      3217.0      16.340   0.120
OBS: 48659.801  V  NULL    12359.      2276.7      17.270   0.200
OBS: 48659.801  R  NULL    18030.      2158.8      16.860   0.130
OBS: 48659.801  I  NULL    27290.      2513.5      16.410   0.100
OBS: 48660.828  B  NULL    7112.1      1048.1      17.870   0.160
OBS: 48660.828  V  NULL    15704.      1880.3      17.010   0.130
OBS: 48660.828  R  NULL    17378.      2080.7      16.900   0.130
OBS: 48660.828  I  NULL    29923.      3582.8      16.310   0.130
OBS: 48662.801  V  NULL    12246.      2255.8      17.280   0.200
OBS: 48662.801  R  NULL    15996.      2209.9      16.990   0.150
OBS: 48662.801  I  NULL    23988.      2430.3      16.550   0.110
OBS: 48662.828  B  NULL    7046.9      1103.4      17.880   0.170
OBS: 48662.828  V  NULL    14997.      1795.6      17.060   0.130
