SURVEY:  LOWZ                
SNID: 1992K 
IAUC: 1992K
RA:   197.518290 deg
DECL:   -46.439970 deg 
RA_HOST:   197.518460
DEC_HOST:   -46.437330
MWEBV: 0.101 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.010358 +- 1.8e-05 
REDSHIFT_CMB: 0.0112088 +- 1.8e-05 
VPEC: 598.2799 +- 250.0
SEARCH_PEAKMJD:  48673.961
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  36
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 48687.750  B  NULL    6211.5      177.35      18.017   0.031
OBS: 48687.750  V  NULL    27139.      749.89      16.416   0.030
OBS: 48691.691  B  NULL    4852.9      143.03      18.285   0.032
OBS: 48691.691  V  NULL    18950.      523.60      16.806   0.030
OBS: 48691.691  I  NULL    48753.      1347.1      15.780   0.030
OBS: 48691.738  B  NULL    4993.4      377.13      18.254   0.082
OBS: 48691.738  V  NULL    18535.      1280.4      16.830   0.075
OBS: 48694.840  B  NULL    3977.4      135.54      18.501   0.037
OBS: 48694.840  V  NULL    15205.      420.14      17.045   0.030
OBS: 48700.648  B  NULL    3299.1      133.70      18.704   0.044
OBS: 48700.648  V  NULL    11609.      363.54      17.338   0.034
OBS: 48700.770  V  NULL    11355.      345.14      17.362   0.033
OBS: 48700.770  I  NULL    25003.      759.96      16.505   0.033
OBS: 48710.809  B  NULL    2657.1      90.548      18.939   0.037
OBS: 48710.809  V  NULL    7297.9      221.81      17.842   0.033
OBS: 48717.762  B  NULL    2147.8      77.151      19.170   0.039
OBS: 48717.762  V  NULL    5813.0      165.97      18.089   0.031
OBS: 48719.750  B  NULL    2261.5      74.986      19.114   0.036
OBS: 48719.750  V  NULL    5465.1      156.04      18.156   0.031
OBS: 48719.750  I  NULL    10037.      305.06      17.496   0.033
OBS: 48724.559  B  NULL    1953.4      89.959      19.273   0.050
OBS: 48724.559  V  NULL    4755.5      144.54      18.307   0.033
OBS: 48728.691  B  NULL    1875.9      248.79      19.317   0.144
OBS: 48728.691  V  NULL    4361.1      245.02      18.401   0.061
OBS: 48728.691  I  NULL    8256.6      714.83      17.708   0.094
OBS: 48731.551  B  NULL    1779.9      190.17      19.374   0.116
OBS: 48731.551  V  NULL    3664.4      162.00      18.590   0.048
OBS: 48732.828  B  NULL    1620.3      74.618      19.476   0.050
OBS: 48732.828  V  NULL    3729.1      144.25      18.571   0.042
OBS: 48753.750  V  NULL    1962.5      83.144      19.268   0.046
OBS: 48767.520  B  NULL    671.12      160.09      20.433   0.259
OBS: 48767.520  V  NULL    1180.3      240.25      19.820   0.221
OBS: 48767.520  I  NULL    1665.7      322.18      19.446   0.210
OBS: 48806.590  B  NULL    402.53      32.626      20.988   0.088
OBS: 48806.590  V  NULL    422.28      28.003      20.936   0.072
OBS: 48835.570  V  NULL    224.28      15.080      21.623   0.073
END: 
