SURVEY:  LOWZ                
SNID: 1992al 
IAUC: 1992al
RA:   311.485370 deg
DECL:   -51.394420 deg 
RA_HOST:   311.477370
DEC_HOST:   -51.391110
MWEBV: 0.034 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.014615 +- 2.7e-05 
REDSHIFT_CMB: 0.0141097 +- 2.7e-05 
VPEC: 134.7603 +- 250.0
HOSTGAL_LOGMASS: 10.043033 +- 0.280891
SEARCH_PEAKMJD:  48837.859
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  80
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 48832.871  B  NULL   0.11598E+06  3204.8      14.839   0.030
OBS: 48832.871  V  NULL   0.10784E+06  2979.9      14.918   0.030
OBS: 48836.879  B  NULL   0.14494E+06  4004.9      14.597   0.030
OBS: 48836.879  V  NULL   0.13677E+06  3779.2      14.660   0.030
OBS: 48840.711  B  NULL   0.14099E+06  3895.8      14.627   0.030
OBS: 48840.711  V  NULL   0.13627E+06  3765.3      14.664   0.030
OBS: 48840.711  R  NULL   0.13690E+06  3782.7      14.659   0.030
OBS: 48840.711  I  NULL    96828.      2764.6      15.035   0.031
OBS: 48843.738  B  NULL   0.12348E+06  3525.6      14.771   0.031
OBS: 48843.738  V  NULL   0.13231E+06  3655.9      14.696   0.030
OBS: 48843.738  R  NULL   0.12906E+06  3685.0      14.723   0.031
OBS: 48843.738  I  NULL    90033.      3399.8      15.114   0.041
OBS: 48844.781  B  NULL   0.11408E+06  3152.1      14.857   0.030
OBS: 48844.781  V  NULL   0.12566E+06  3472.1      14.752   0.030
OBS: 48845.559  B  NULL   0.11169E+06  3086.0      14.880   0.030
OBS: 48845.559  V  NULL   0.12190E+06  3368.2      14.785   0.030
OBS: 48845.559  R  NULL   0.11738E+06  3243.4      14.826   0.030
OBS: 48845.559  I  NULL    79873.      2207.0      15.244   0.030
OBS: 48846.719  B  NULL   0.10093E+06  2788.7      14.990   0.030
OBS: 48846.719  V  NULL   0.11641E+06  3216.6      14.835   0.030
OBS: 48846.719  R  NULL   0.10995E+06  3038.1      14.897   0.030
OBS: 48846.719  I  NULL    74955.      2071.1      15.313   0.030
OBS: 48847.629  B  NULL    94537.      2612.1      15.061   0.030
OBS: 48847.629  V  NULL   0.11179E+06  3088.9      14.879   0.030
OBS: 48847.629  R  NULL   0.10186E+06  2814.5      14.980   0.030
OBS: 48847.629  I  NULL    69183.      1911.6      15.400   0.030
OBS: 48848.840  B  NULL    84178.      2325.9      15.187   0.030
OBS: 48848.840  V  NULL   0.10617E+06  2933.6      14.935   0.030
OBS: 48848.840  R  NULL    93325.      2578.7      15.075   0.030
OBS: 48848.840  I  NULL    64091.      1770.9      15.483   0.030
OBS: 48854.699  B  NULL    45583.      1259.5      15.853   0.030
OBS: 48854.699  V  NULL    74886.      2069.2      15.314   0.030
OBS: 48854.699  R  NULL    71318.      1970.6      15.367   0.030
OBS: 48854.699  I  NULL    55667.      1538.1      15.636   0.030
OBS: 48855.672  B  NULL    40402.      1116.3      15.984   0.030
OBS: 48855.672  V  NULL    71121.      1965.2      15.370   0.030
OBS: 48855.672  R  NULL    69823.      1929.3      15.390   0.030
OBS: 48855.672  I  NULL    57174.      1579.8      15.607   0.030
OBS: 48868.801  B  NULL    12212.      348.69      17.283   0.031
OBS: 48868.801  V  NULL    35678.      985.82      16.119   0.030
OBS: 48868.801  R  NULL    50722.      1401.5      15.737   0.030
OBS: 48868.801  I  NULL    65524.      1810.5      15.459   0.030
OBS: 48872.539  B  NULL    10167.      299.66      17.482   0.032
OBS: 48872.539  V  NULL    28867.      797.62      16.349   0.030
OBS: 48872.539  R  NULL    40142.      1109.2      15.991   0.030
OBS: 48872.539  I  NULL    53260.      1471.6      15.684   0.030
OBS: 48885.730  B  NULL    7105.6      209.42      17.871   0.032
OBS: 48885.730  V  NULL    17799.      491.81      16.874   0.030
OBS: 48885.730  R  NULL    22223.      614.04      16.633   0.030
OBS: 48885.730  I  NULL    26693.      737.56      16.434   0.030
OBS: 48891.602  B  NULL    6546.4      192.94      17.960   0.032
OBS: 48891.602  V  NULL    15346.      424.03      17.035   0.030
OBS: 48891.602  R  NULL    18759.      518.32      16.817   0.030
OBS: 48891.602  I  NULL    21047.      600.95      16.692   0.031
OBS: 48905.551  B  NULL    5480.2      186.76      18.153   0.037
OBS: 48905.551  V  NULL    10864.      310.20      17.410   0.031
OBS: 48905.551  R  NULL    12578.      359.12      17.251   0.031
OBS: 48905.551  I  NULL    12303.      385.26      17.275   0.034
OBS: 48908.551  B  NULL    5152.3      161.35      18.220   0.034
OBS: 48908.551  V  NULL    10233.      282.75      17.475   0.030
OBS: 48908.551  R  NULL    11220.      310.02      17.375   0.030
OBS: 48908.551  I  NULL    11241.      320.95      17.373   0.031
OBS: 48922.551  B  NULL    4250.1      133.09      18.429   0.034
OBS: 48922.551  V  NULL    7284.5      201.28      17.844   0.030
OBS: 48922.551  R  NULL    7585.8      216.59      17.800   0.031
OBS: 48922.551  I  NULL    6546.4      198.97      17.960   0.033
OBS: 48940.570  B  NULL    3372.9      114.94      18.680   0.037
OBS: 48940.570  V  NULL    4956.8      141.53      18.262   0.031
OBS: 48940.570  R  NULL    4549.9      134.10      18.355   0.032
OBS: 48940.570  I  NULL    3614.1      193.07      18.605   0.058
OBS: 48941.551  B  NULL    3379.1      112.04      18.678   0.036
OBS: 48941.551  V  NULL    4888.8      139.59      18.277   0.031
OBS: 48941.551  R  NULL    4499.9      128.48      18.367   0.031
OBS: 48941.551  I  NULL    3823.0      137.32      18.544   0.039
OBS: 48946.590  B  NULL    3019.9      127.95      18.800   0.046
OBS: 48946.590  V  NULL    4512.3      153.77      18.364   0.037
OBS: 48946.590  R  NULL    3883.3      135.91      18.527   0.038
OBS: 48946.590  I  NULL    2967.6      174.93      18.819   0.064
OBS: 48955.531  B  NULL    2577.5      118.70      18.972   0.050
OBS: 48956.559  R  NULL    2962.1      117.31      18.821   0.043
END: 
