SURVEY:  LOWZ                
SNID: 1992aq 
IAUC: 1992aq
RA:   346.147250 deg
DECL:   -37.345310 deg 
RA_HOST:   346.142920
DEC_HOST:   -37.342440
MWEBV: 0.012 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.101 +- 9e-05 
REDSHIFT_CMB: 0.1000294 +- 9e-05 
VPEC: 24.457384 +- 250.0
SEARCH_PEAKMJD:  48833.430
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  39
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 48835.879  B  NULL    1758.7      58.315      19.387   0.036
OBS: 48835.879  V  NULL    1958.8      61.342      19.270   0.034
OBS: 48837.762  B  NULL    1556.0      48.725      19.520   0.034
OBS: 48837.762  V  NULL    1881.1      55.440      19.314   0.032
OBS: 48840.750  B  NULL    1275.3      78.696      19.736   0.067
OBS: 48840.750  V  NULL    1742.6      69.015      19.397   0.043
OBS: 48840.750  I  NULL    1167.3      154.82      19.832   0.144
OBS: 48842.852  B  NULL    1052.9      48.489      19.944   0.050
OBS: 48842.852  V  NULL    1561.7      48.905      19.516   0.034
OBS: 48844.941  B  NULL    848.01      75.761      20.179   0.097
OBS: 48845.852  B  NULL    727.78      63.009      20.345   0.094
OBS: 48845.852  V  NULL    1275.3      65.775      19.736   0.056
OBS: 48845.852  I  NULL    871.77      85.913      20.149   0.107
OBS: 48845.879  B  NULL    696.95      54.563      20.392   0.085
OBS: 48845.879  V  NULL    1270.6      52.661      19.740   0.045
OBS: 48845.879  I  NULL    895.36      53.603      20.120   0.065
OBS: 48846.750  B  NULL    669.88      74.655      20.435   0.121
OBS: 48846.750  V  NULL    1238.2      70.708      19.768   0.062
OBS: 48846.770  B  NULL    644.47      61.138      20.477   0.103
OBS: 48846.770  V  NULL    1283.5      59.108      19.729   0.050
OBS: 48847.898  B  NULL    521.92      124.98      20.706   0.260
OBS: 48847.898  I  NULL    1019.5      164.33      19.979   0.175
OBS: 48847.910  B  NULL    488.88      105.81      20.777   0.235
OBS: 48847.910  I  NULL    676.71      160.18      20.424   0.257
OBS: 48848.711  B  NULL    562.34      93.228      20.625   0.180
OBS: 48848.711  V  NULL    1084.4      78.905      19.912   0.079
OBS: 48848.711  I  NULL    784.87      129.40      20.263   0.179
OBS: 48870.750  B  NULL    101.02      19.167      22.489   0.206
OBS: 48870.750  V  NULL    211.06      21.966      21.689   0.113
OBS: 48870.750  I  NULL    459.62      39.369      20.844   0.093
OBS: 48870.789  B  NULL    82.870      12.060      22.704   0.158
OBS: 48870.789  V  NULL    260.86      18.740      21.459   0.078
OBS: 48870.789  I  NULL    448.33      43.358      20.871   0.105
OBS: 48871.852  B  NULL    93.760      21.415      22.570   0.248
OBS: 48871.852  V  NULL    213.40      19.262      21.677   0.098
OBS: 48871.852  I  NULL    500.73      73.790      20.751   0.160
OBS: 48891.691  B  NULL    58.020      12.986      23.091   0.243
OBS: 48891.691  V  NULL    177.17      15.013      21.879   0.092
OBS: 48891.691  I  NULL    239.44      79.833      21.552   0.362
END: 
