SURVEY:  LOWZ                
SNID: 1992bk 
IAUC: 1992bk
RA:    55.758710 deg
DECL:   -53.618720 deg 
RA_HOST:    55.736086
DEC_HOST:   -53.634327
MWEBV: 0.015 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.058097 +- 4.7e-05 
REDSHIFT_CMB: 0.0579361 +- 4.7e-05 
VPEC: 470.2502 +- 250.0
SEARCH_PEAKMJD:  48938.672
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  27
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 48947.730  B  NULL    3477.0      105.68      18.647   0.033
OBS: 48947.730  V  NULL    4438.1      134.89      18.382   0.033
OBS: 48947.738  V  NULL    4483.3      136.27      18.371   0.033
OBS: 48950.711  B  NULL    2357.2      78.159      19.069   0.036
OBS: 48950.711  V  NULL    3637.5      107.21      18.598   0.032
OBS: 48953.750  B  NULL    1560.3      48.860      19.517   0.034
OBS: 48953.750  V  NULL    3050.7      87.104      18.789   0.031
OBS: 48954.691  B  NULL    1487.3      69.863      19.569   0.051
OBS: 48954.691  V  NULL    2953.9      87.061      18.824   0.032
OBS: 48954.719  B  NULL    1446.8      69.291      19.599   0.052
OBS: 48955.770  B  NULL    1165.2      41.854      19.834   0.039
OBS: 48955.770  V  NULL    2716.4      80.062      18.915   0.032
OBS: 48955.770  I  NULL    2731.5      140.88      18.909   0.056
OBS: 48961.621  B  NULL    619.44      42.219      20.520   0.074
OBS: 48961.621  V  NULL    1685.8      65.212      19.433   0.042
OBS: 48963.750  B  NULL    520.48      60.881      20.709   0.127
OBS: 48963.750  V  NULL    1299.0      59.820      19.716   0.050
OBS: 48963.750  I  NULL    2892.0      109.21      18.847   0.041
OBS: 48969.750  B  NULL    414.95      55.417      20.955   0.145
OBS: 48969.750  V  NULL    936.70      57.803      20.071   0.067
OBS: 48969.750  I  NULL    1723.5      95.242      19.409   0.060
OBS: 48975.602  B  NULL    257.75      13.769      21.472   0.058
OBS: 48975.602  V  NULL    729.12      27.533      20.343   0.041
OBS: 48975.602  I  NULL    1442.8      73.087      19.602   0.055
OBS: 48979.691  B  NULL    260.38      10.312      21.461   0.043
OBS: 48979.691  V  NULL    635.62      19.905      20.492   0.034
OBS: 48979.691  I  NULL    1135.5      40.789      19.862   0.039
END: 
