SURVEY:  LOWZ                
SNID: 1992bo 
IAUC: 1992bo
RA:    20.492460 deg
DECL:   -34.212000 deg 
RA_HOST:    20.510040
DEC_HOST:   -34.196780
MWEBV: 0.027 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.018983 +- 0.00015 
REDSHIFT_CMB: 0.0182008 +- 0.00015 
VPEC: -8.5279 +- 250.0
HOSTGAL_LOGMASS: 10.456299 +- 0.280891
SEARCH_PEAKMJD:  48986.270
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  75
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 48978.609  B  NULL    21439.      592.38      16.672   0.030
OBS: 48978.609  V  NULL    21898.      605.06      16.649   0.030
OBS: 48978.609  R  NULL    26448.      730.80      16.444   0.030
OBS: 48978.609  I  NULL    27114.      1073.9      16.417   0.043
OBS: 48979.590  B  NULL    26841.      741.65      16.428   0.030
OBS: 48979.590  V  NULL    25990.      718.12      16.463   0.030
OBS: 48979.590  R  NULL    30704.      848.39      16.282   0.030
OBS: 48979.590  I  NULL    30507.      871.04      16.289   0.031
OBS: 48979.711  B  NULL    26110.      745.48      16.458   0.031
OBS: 48979.711  V  NULL    26620.      735.52      16.437   0.030
OBS: 48979.711  R  NULL    31945.      882.67      16.239   0.030
OBS: 48979.711  I  NULL    30535.      871.84      16.288   0.031
OBS: 48980.680  B  NULL    32122.      917.14      16.233   0.031
OBS: 48980.680  V  NULL    31275.      864.17      16.262   0.030
OBS: 48980.680  I  NULL    36241.      1001.4      16.102   0.030
OBS: 48982.551  B  NULL    40105.      1329.8      15.992   0.036
OBS: 48982.551  V  NULL    39084.      1187.9      16.020   0.033
OBS: 48982.551  I  NULL    40551.      1344.6      15.980   0.036
OBS: 48986.648  B  NULL    44463.      1228.6      15.880   0.030
OBS: 48986.648  V  NULL    45583.      1259.5      15.853   0.030
OBS: 48986.648  R  NULL    49614.      1370.9      15.761   0.030
OBS: 48986.648  I  NULL    39301.      1122.1      16.014   0.031
OBS: 48987.602  B  NULL    44792.      1278.9      15.872   0.031
OBS: 48987.602  V  NULL    45541.      1342.2      15.854   0.032
OBS: 48987.602  R  NULL    49249.      1496.9      15.769   0.033
OBS: 48987.602  I  NULL    37188.      1130.3      16.074   0.033
OBS: 48990.602  B  NULL    42150.      1358.8      15.938   0.035
OBS: 48990.602  V  NULL    43692.      1247.5      15.899   0.031
OBS: 48990.602  R  NULL    46559.      1458.0      15.830   0.034
OBS: 48990.602  I  NULL    32810.      936.78      16.210   0.031
OBS: 48994.590  B  NULL    25492.      727.84      16.484   0.031
OBS: 48994.590  V  NULL    35876.      991.28      16.113   0.030
OBS: 48994.590  R  NULL    35286.      1007.5      16.131   0.031
OBS: 48994.590  I  NULL    25823.      737.29      16.470   0.031
OBS: 48997.559  B  NULL    17219.      491.63      16.910   0.031
OBS: 48997.559  V  NULL    29054.      829.54      16.342   0.031
OBS: 48997.559  R  NULL    28973.      827.25      16.345   0.031
OBS: 48997.559  I  NULL    23335.      687.74      16.580   0.032
OBS: 48998.559  B  NULL    14818.      409.45      17.073   0.030
OBS: 48998.559  V  NULL    27315.      779.90      16.409   0.031
OBS: 48998.559  R  NULL    26375.      753.07      16.447   0.031
OBS: 48998.559  I  NULL    23486.      670.56      16.573   0.031
OBS: 48999.602  B  NULL    12788.      365.12      17.233   0.031
OBS: 48999.602  V  NULL    25142.      694.70      16.499   0.030
OBS: 48999.602  R  NULL    26620.      735.52      16.437   0.030
OBS: 48999.602  I  NULL    23594.      673.66      16.568   0.031
OBS: 49011.578  B  NULL    3541.6      107.64      18.627   0.033
OBS: 49011.578  V  NULL    10745.      296.89      17.422   0.030
OBS: 49011.578  R  NULL    15718.      448.78      17.009   0.031
OBS: 49011.578  I  NULL    21184.      585.33      16.685   0.030
OBS: 49012.602  B  NULL    3369.8      102.42      18.681   0.033
OBS: 49012.602  V  NULL    9790.4      279.54      17.523   0.031
OBS: 49012.602  R  NULL    14375.      397.19      17.106   0.030
OBS: 49012.602  I  NULL    19355.      552.63      16.783   0.031
OBS: 49013.578  B  NULL    3162.3      93.202      18.750   0.032
OBS: 49013.578  V  NULL    9179.1      262.08      17.593   0.031
OBS: 49013.578  R  NULL    13465.      372.05      17.177   0.030
OBS: 49013.578  I  NULL    17587.      502.15      16.887   0.031
OBS: 49016.559  B  NULL    2881.4      98.192      18.851   0.037
OBS: 49016.559  V  NULL    7899.5      225.55      17.756   0.031
OBS: 49016.559  R  NULL    11220.      310.02      17.375   0.030
OBS: 49016.559  I  NULL    14629.      417.67      17.087   0.031
OBS: 49017.559  B  NULL    2797.7      118.53      18.883   0.046
OBS: 49017.559  V  NULL    7670.1      240.19      17.788   0.034
OBS: 49017.559  R  NULL    10520.      300.36      17.445   0.031
OBS: 49017.559  I  NULL    13690.      390.88      17.159   0.031
OBS: 49026.559  B  NULL    2461.5      151.90      19.022   0.067
OBS: 49026.559  V  NULL    5415.0      214.46      18.166   0.043
OBS: 49026.559  R  NULL    7474.8      247.84      17.816   0.036
OBS: 49026.559  I  NULL    8279.4      335.53      17.705   0.044
OBS: 49040.539  B  NULL    1665.7      50.628      19.446   0.033
OBS: 49040.539  V  NULL    3904.8      107.89      18.521   0.030
OBS: 49040.539  R  NULL    4454.5      123.08      18.378   0.030
OBS: 49040.539  I  NULL    4835.0      138.05      18.289   0.031
OBS: 49040.551  V  NULL    3879.7      107.20      18.528   0.030
END: 
