SURVEY:  LOWZ                
SNID: 1994D 
IAUC: 1994D
RA:   188.510000 deg
DECL:     7.701580 deg 
RA_HOST:   188.512870
DEC_HOST:     7.699530
MWEBV: 0.022 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.001868 +- 3.7e-05 
REDSHIFT_CMB: 0.0029857 +- 3.7e-05 
VPEC: 576.9116 +- 250.0
SEARCH_PEAKMJD:  49432.449
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 509
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 49418.922  R  NULL    92045.      4238.8      15.090   0.050
OBS: 49420.738  R  NULL   0.28314E+06  13039.      13.870   0.050
OBS: 49420.898  B  NULL   0.20324E+06  9359.3      14.230   0.050
OBS: 49420.898  V  NULL   0.24660E+06  9085.2      14.020   0.040
OBS: 49420.898  R  NULL   0.26303E+06  12113.      13.950   0.050
OBS: 49421.578  V  NULL   0.33420E+06  12312.      13.690   0.040
OBS: 49421.578  R  NULL   0.38371E+06  24739.      13.540   0.070
OBS: 49421.578  I  NULL   0.42855E+06  39471.      13.420   0.100
OBS: 49421.660  U  NULL   0.42855E+06  19735.      13.420   0.050
OBS: 49421.660  B  NULL   0.34995E+06  3223.1      13.640   0.010
OBS: 49421.660  V  NULL   0.32810E+06  3021.9      13.710   0.010
OBS: 49421.660  R  NULL   0.38371E+06  7068.1      13.540   0.020
OBS: 49421.660  I  NULL   0.35645E+06  9849.1      13.620   0.030
OBS: 49422.660  V  NULL   0.51050E+06  9403.8      13.230   0.020
OBS: 49422.660  R  NULL   0.59156E+06  27242.      13.070   0.050
OBS: 49422.660  I  NULL   0.64269E+06  35516.      12.980   0.060
OBS: 49422.680  U  NULL   0.75858E+06  34934.      12.800   0.050
OBS: 49422.680  B  NULL   0.51050E+06  4701.9      13.230   0.010
OBS: 49422.680  V  NULL   0.49204E+06  4531.9      13.270   0.010
OBS: 49422.680  R  NULL   0.55463E+06  5108.3      13.140   0.010
OBS: 49422.680  I  NULL   0.54450E+06  10030.      13.160   0.020
OBS: 49422.699  U  NULL   0.69823E+06  45017.      12.890   0.070
OBS: 49422.699  B  NULL   0.49659E+06  22869.      13.260   0.050
OBS: 49422.699  V  NULL   0.49204E+06  18127.      13.270   0.040
OBS: 49422.699  R  NULL   0.57016E+06  21006.      13.110   0.040
OBS: 49422.699  I  NULL   0.50582E+06  18635.      13.240   0.040
OBS: 49422.828  B  NULL   0.48306E+06  22246.      13.290   0.050
OBS: 49422.828  V  NULL   0.50582E+06  18635.      13.240   0.040
OBS: 49422.828  R  NULL   0.56494E+06  26016.      13.120   0.050
OBS: 49422.828  I  NULL   0.54450E+06  25075.      13.160   0.050
OBS: 49423.641  U  NULL   0.10280E+07  47342.      12.470   0.050
OBS: 49423.641  B  NULL   0.66681E+06  12283.      12.940   0.020
OBS: 49423.641  V  NULL   0.66681E+06  6141.5      12.940   0.010
OBS: 49423.641  R  NULL   0.78705E+06  21747.      12.760   0.030
OBS: 49423.641  I  NULL   0.83176E+06  22982.      12.700   0.030
OBS: 49423.672  V  NULL   0.74473E+06  6859.2      12.820   0.010
OBS: 49423.672  R  NULL   0.98175E+06  18084.      12.520   0.020
OBS: 49423.672  I  NULL   0.12246E+07  33837.      12.280   0.030
OBS: 49423.801  U  NULL   0.10568E+07  68136.      12.440   0.070
OBS: 49423.801  B  NULL   0.68549E+06  31568.      12.910   0.050
OBS: 49423.801  V  NULL   0.67298E+06  24793.      12.930   0.040
OBS: 49423.801  R  NULL   0.83176E+06  30643.      12.700   0.040
OBS: 49423.801  I  NULL   0.73114E+06  26936.      12.840   0.040
OBS: 49423.891  B  NULL   0.71779E+06  33056.      12.860   0.050
OBS: 49423.891  V  NULL   0.72444E+06  26689.      12.850   0.040
OBS: 49423.891  R  NULL   0.84723E+06  39016.      12.680   0.050
OBS: 49423.891  I  NULL   0.77268E+06  35583.      12.780   0.050
OBS: 49423.898  U  NULL   0.17061E+07 0.29856E+06  11.920   0.190
OBS: 49423.898  B  NULL   0.69823E+06  32155.      12.890   0.050
OBS: 49423.898  V  NULL   0.69823E+06  25724.      12.890   0.040
OBS: 49423.898  R  NULL   0.79433E+06  36580.      12.750   0.050
OBS: 49423.898  I  NULL   0.75162E+06  34614.      12.810   0.050
OBS: 49424.699  U  NULL   0.14322E+07  92337.      12.110   0.070
OBS: 49424.699  B  NULL   0.85507E+06  39377.      12.670   0.050
OBS: 49424.699  V  NULL   0.85507E+06  31502.      12.670   0.040
OBS: 49424.699  R  NULL   0.10666E+07  39295.      12.430   0.040
OBS: 49424.699  I  NULL   0.91201E+06  33600.      12.600   0.040
OBS: 49424.891  U  NULL   0.19770E+07 0.36417E+06  11.760   0.200
OBS: 49424.891  B  NULL   0.90365E+06  41615.      12.610   0.050
OBS: 49424.891  V  NULL   0.89536E+06  32986.      12.620   0.040
OBS: 49424.891  R  NULL   0.10000E+07  46052.      12.500   0.050
OBS: 49424.891  I  NULL   0.92897E+06  42780.      12.580   0.050
OBS: 49425.621  V  NULL   0.10471E+07  9644.4      12.450   0.010
OBS: 49425.621  R  NULL   0.12359E+07  22767.      12.270   0.020
OBS: 49425.621  I  NULL   0.13932E+07  38494.      12.140   0.030
OBS: 49425.699  U  NULL   0.18365E+07 0.11841E+06  11.840   0.070
OBS: 49425.699  B  NULL   0.10864E+07  50032.      12.410   0.050
OBS: 49425.699  V  NULL   0.10280E+07  37874.      12.470   0.040
OBS: 49425.699  R  NULL   0.11912E+07  43887.      12.310   0.040
OBS: 49425.699  I  NULL   0.10864E+07  40025.      12.410   0.040
OBS: 49425.910  B  NULL   0.11272E+07  51909.      12.370   0.050
OBS: 49425.910  V  NULL   0.10666E+07  39295.      12.430   0.040
OBS: 49425.910  R  NULL   0.11482E+07  52874.      12.350   0.050
