SURVEY:  LOWZ                
SNID: 1998bu 
IAUC: 1998bu
RA:   161.691790 deg
DECL:    11.835310 deg 
RA_HOST:   161.690580
DEC_HOST:    11.819940
MWEBV: 0.025 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.002894 +- 4.2e-05 
REDSHIFT_CMB: 0.0040589 +- 4.2e-05 
VPEC: 160.0692 +- 250.0
SEARCH_PEAKMJD:  50952.398
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 465
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 50944.680  V  NULL   0.10471E+07 0.13502E+06  12.450   0.140
OBS: 50944.680  R  NULL   0.12823E+07 0.11811E+06  12.230   0.100
OBS: 50944.680  I  NULL   0.16596E+07 0.22928E+06  11.950   0.150
OBS: 50947.590  U  NULL   0.15849E+07  7298.7      12.000   0.005
OBS: 50947.590  B  NULL   0.10627E+07  4893.8      12.434   0.005
OBS: 50947.590  V  NULL   0.13391E+07  6166.6      12.183   0.005
OBS: 50947.590  R  NULL   0.17997E+07  9945.5      11.862   0.006
OBS: 50947.590  I  NULL   0.20970E+07  13520.      11.696   0.007
OBS: 50947.629  B  NULL   0.10318E+07 0.10169E+06  12.466   0.107
OBS: 50947.629  V  NULL   0.13817E+07  27996.      12.149   0.022
OBS: 50947.629  R  NULL   0.18047E+07  69811.      11.859   0.042
OBS: 50947.629  I  NULL   0.20606E+07  77814.      11.715   0.041
OBS: 50948.559  U  NULL   0.16749E+07  10799.      11.940   0.007
OBS: 50948.559  B  NULL   0.11450E+07  8436.6      12.353   0.008
OBS: 50948.559  V  NULL   0.14561E+07  5364.6      12.092   0.004
OBS: 50948.559  R  NULL   0.18932E+07  8718.6      11.807   0.005
OBS: 50948.559  I  NULL   0.21637E+07  9964.3      11.662   0.005
OBS: 50948.590  V  NULL   0.14723E+07  28477.      12.080   0.021
OBS: 50948.590  R  NULL   0.19125E+07  72220.      11.796   0.041
OBS: 50948.590  I  NULL   0.21360E+07  80660.      11.676   0.041
OBS: 50948.648  B  NULL   0.10894E+07  85289.      12.407   0.085
OBS: 50948.648  V  NULL   0.14615E+07  29614.      12.088   0.022
OBS: 50948.648  R  NULL   0.19090E+07  73846.      11.798   0.042
OBS: 50948.648  I  NULL   0.20951E+07  81045.      11.697   0.042
OBS: 50949.551  U  NULL   0.16642E+07  29123.      11.947   0.019
OBS: 50949.551  B  NULL   0.12034E+07  11083.      12.299   0.010
OBS: 50949.551  V  NULL   0.15502E+07  7139.1      12.024   0.005
OBS: 50949.551  R  NULL   0.19516E+07  12583.      11.774   0.007
OBS: 50949.551  I  NULL   0.21538E+07  13886.      11.667   0.007
OBS: 50949.672  U  NULL   0.16474E+07  68279.      11.958   0.045
OBS: 50949.672  B  NULL   0.12078E+07  25586.      12.295   0.023
OBS: 50949.672  V  NULL   0.16055E+07  50275.      11.986   0.034
OBS: 50949.672  R  NULL   0.20137E+07  98300.      11.740   0.053
OBS: 50949.672  I  NULL   0.21518E+07 0.10900E+06  11.668   0.055
OBS: 50950.578  U  NULL   0.17124E+07  28389.      11.916   0.018
OBS: 50950.578  B  NULL   0.12694E+07  8184.2      12.241   0.007
OBS: 50950.578  V  NULL   0.16444E+07  4543.6      11.960   0.003
OBS: 50950.578  R  NULL   0.20008E+07  12900.      11.747   0.007
OBS: 50950.578  I  NULL   0.21538E+07  19837.      11.667   0.010
OBS: 50951.531  U  NULL   0.17171E+07  11071.      11.913   0.007
OBS: 50951.531  B  NULL   0.13098E+07  4825.4      12.207   0.004
OBS: 50951.531  V  NULL   0.17045E+07  4709.7      11.921   0.003
OBS: 50951.531  R  NULL   0.20342E+07  9368.0      11.729   0.005
OBS: 50951.531  I  NULL   0.21164E+07  7797.1      11.686   0.004
OBS: 50951.551  U  NULL   0.17250E+07  34954.      11.908   0.022
OBS: 50951.551  B  NULL   0.12966E+07  4776.8      12.218   0.004
OBS: 50951.551  V  NULL   0.16967E+07  4688.1      11.926   0.003
OBS: 50951.551  R  NULL   0.20230E+07  13043.      11.735   0.007
OBS: 50951.551  I  NULL   0.21106E+07  11663.      11.689   0.006
OBS: 50951.578  B  NULL   0.12246E+07  74442.      12.280   0.066
OBS: 50951.578  V  NULL   0.17426E+07  35310.      11.897   0.022
OBS: 50951.578  R  NULL   0.20720E+07  78246.      11.709   0.041
OBS: 50951.578  I  NULL   0.21242E+07  80216.      11.682   0.041
