SURVEY:  LOWZ                
SNID: 2000E 
IAUC: 2000E
RA:   309.307370 deg
DECL:    66.097280 deg 
RA_HOST:   309.308710
DEC_HOST:    66.105640
MWEBV: 0.364 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.00475 +- 5e-06 
REDSHIFT_CMB: 0.0042223 +- 5e-06 
VPEC: -362.2613 +- 250.0
SEARCH_PEAKMJD:  51576.789
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  84
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 51561.250  B  NULL    7311.4      336.70      17.840   0.050
OBS: 51561.250  R  NULL    20324.      2433.4      16.730   0.130
OBS: 51561.250  I  NULL    22909.      4219.9      16.600   0.200
OBS: 51563.301  B  NULL    19588.      360.83      16.770   0.020
OBS: 51563.301  R  NULL    55976.      1288.9      15.630   0.025
OBS: 51563.301  I  NULL    67920.      2189.5      15.420   0.035
OBS: 51570.270  B  NULL   0.13305E+06  2450.8      14.690   0.020
OBS: 51570.270  V  NULL   0.21478E+06  2967.3      14.170   0.015
OBS: 51570.270  R  NULL   0.27290E+06  6283.7      13.910   0.025
OBS: 51571.250  V  NULL   0.24210E+06  6689.5      14.040   0.030
OBS: 51571.250  R  NULL   0.31103E+06  7161.7      13.768   0.025
OBS: 51572.238  B  NULL   0.15560E+06  2866.2      14.520   0.020
OBS: 51572.238  V  NULL   0.24660E+06  4542.6      14.020   0.020
OBS: 51572.238  R  NULL   0.31333E+06  7214.7      13.760   0.025
OBS: 51574.270  B  NULL   0.16904E+06  3113.9      14.430   0.020
OBS: 51574.270  V  NULL   0.27542E+06  3805.1      13.900   0.015
OBS: 51574.270  R  NULL   0.34356E+06  7910.7      13.660   0.025
OBS: 51574.320  V  NULL   0.28054E+06  5167.8      13.880   0.020
OBS: 51574.320  R  NULL   0.32509E+06  14971.      13.720   0.050
OBS: 51574.320  I  NULL   0.37670E+06  17348.      13.560   0.050
OBS: 51575.289  U  NULL   0.15922E+06  5132.7      14.495   0.035
OBS: 51575.289  V  NULL   0.25515E+06  3525.1      13.983   0.015
OBS: 51575.289  R  NULL   0.36241E+06  8344.8      13.602   0.025
OBS: 51575.289  I  NULL   0.39446E+06  12716.      13.510   0.035
OBS: 51579.250  B  NULL   0.17061E+06  4714.1      14.420   0.030
OBS: 51579.250  V  NULL   0.29376E+06  4058.5      13.830   0.015
OBS: 51579.250  R  NULL   0.36983E+06  8515.6      13.580   0.025
OBS: 51580.250  B  NULL   0.16749E+06  3085.4      14.440   0.020
OBS: 51580.250  V  NULL   0.29107E+06  4021.3      13.840   0.015
OBS: 51580.250  R  NULL   0.36308E+06  8360.2      13.600   0.025
OBS: 51581.301  B  NULL   0.16293E+06  3001.3      14.470   0.020
OBS: 51581.301  V  NULL   0.28576E+06  3947.9      13.860   0.015
OBS: 51581.301  R  NULL   0.35645E+06  8207.6      13.620   0.025
OBS: 51583.301  B  NULL   0.14723E+06  6780.2      14.580   0.050
OBS: 51583.301  V  NULL   0.27040E+06  3735.7      13.920   0.015
OBS: 51583.301  R  NULL   0.33113E+06  7624.6      13.700   0.025
OBS: 51584.699  U  NULL   0.10404E+06  3353.9      14.957   0.035
OBS: 51584.699  V  NULL   0.26303E+06  14535.      13.950   0.060
OBS: 51584.699  R  NULL   0.29923E+06  11024.      13.810   0.040
OBS: 51584.699  I  NULL   0.29376E+06  21645.      13.830   0.080
OBS: 51585.301  U  NULL   0.10510E+06  3388.0      14.946   0.035
OBS: 51585.301  B  NULL   0.13428E+06  9893.9      14.680   0.080
OBS: 51585.301  V  NULL   0.26062E+06  3600.5      13.960   0.015
OBS: 51585.301  R  NULL   0.29923E+06  11024.      13.810   0.040
OBS: 51585.301  I  NULL   0.29107E+06  9383.0      13.840   0.035
OBS: 51589.301  B  NULL   0.10375E+06  1911.2      14.960   0.020
OBS: 51589.301  V  NULL   0.20137E+06  2782.1      14.240   0.015
OBS: 51589.301  R  NULL   0.22491E+06  5178.6      14.120   0.025
OBS: 51593.500  B  NULL    62517.      2879.0      15.510   0.050
OBS: 51593.500  V  NULL   0.16144E+06  2230.3      14.480   0.015
OBS: 51593.500  R  NULL   0.19953E+06  4594.3      14.250   0.025
OBS: 51597.301  B  NULL    45709.      841.99      15.850   0.020
OBS: 51597.301  V  NULL   0.13932E+06  1924.7      14.640   0.015
OBS: 51597.301  R  NULL   0.19770E+06  4552.1      14.260   0.025
OBS: 51599.301  B  NULL    38371.      706.82      16.040   0.020
OBS: 51599.301  V  NULL   0.13062E+06  1804.5      14.710   0.015
OBS: 51599.301  R  NULL   0.19055E+06  4387.5      14.300   0.025
OBS: 51604.500  U  NULL    10965.      353.46      17.400   0.035
OBS: 51604.500  B  NULL    21518.      396.37      16.668   0.020
OBS: 51604.500  V  NULL   0.10009E+06  1382.8      14.999   0.015
OBS: 51604.500  R  NULL   0.17783E+06  4094.6      14.375   0.025
OBS: 51604.500  I  NULL   0.29868E+06  9628.2      13.812   0.035
OBS: 51605.500  V  NULL    90365.      1248.4      15.110   0.015
OBS: 51605.500  R  NULL   0.16444E+06  3786.3      14.460   0.025
OBS: 51612.301  B  NULL    14454.      266.26      17.100   0.020
OBS: 51612.301  V  NULL    66681.      921.23      15.440   0.015
OBS: 51612.301  R  NULL   0.12474E+06  2872.2      14.760   0.025
OBS: 51690.500  U  NULL    1977.0      163.88      19.260   0.090
OBS: 51690.500  B  NULL    4613.2      127.47      18.340   0.030
OBS: 51690.500  V  NULL    9375.6      259.06      17.570   0.030
OBS: 51690.500  R  NULL    10093.      371.82      17.490   0.040
OBS: 51690.500  I  NULL    10765.      347.01      17.420   0.035
OBS: 51698.539  B  NULL    4207.3      348.75      18.440   0.090
