SURVEY:  LOWZ                
SNID: 2000bk 
IAUC: 2000bk
RA:   188.474750 deg
DECL:    -7.378580 deg 
RA_HOST:   188.457920
DEC_HOST:    -7.375560
MWEBV: 0.025 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.025498 +- 0.00015 
REDSHIFT_CMB: 0.0266838 +- 0.00015 
VPEC: -192.6326 +- 250.0
SEARCH_PEAKMJD:  51646.031
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  36
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 51658.691  B  NULL    6109.4      39.389      18.035   0.007
OBS: 51658.691  V  NULL    12145.      33.558      17.289   0.003
OBS: 51658.691  R  NULL    13146.      60.540      17.203   0.005
OBS: 51658.691  I  NULL    11376.      94.301      17.360   0.009
OBS: 51660.609  B  NULL    4830.6      75.635      18.290   0.017
OBS: 51660.609  V  NULL    10656.      68.703      17.431   0.007
OBS: 51660.609  R  NULL    11934.      120.91      17.308   0.011
OBS: 51660.609  I  NULL    10375.      152.90      17.460   0.016
OBS: 51665.871  B  NULL    2324.9      29.978      19.084   0.014
OBS: 51665.871  V  NULL    7365.5      33.919      17.832   0.005
OBS: 51665.871  R  NULL    10366.      76.378      17.461   0.008
OBS: 51665.871  I  NULL    11387.      136.34      17.359   0.013
OBS: 51672.691  B  NULL    1320.7      10.948      19.698   0.009
OBS: 51672.691  V  NULL    4265.8      11.787      18.425   0.003
OBS: 51672.691  R  NULL    7138.4      32.873      17.866   0.005
OBS: 51672.691  I  NULL    9754.4      71.873      17.527   0.008
OBS: 51675.641  B  NULL    1118.9      13.397      19.878   0.013
OBS: 51675.641  V  NULL    3397.8      15.648      18.672   0.005
OBS: 51675.641  R  NULL    5515.7      40.641      18.146   0.008
OBS: 51675.641  I  NULL    7550.9      62.592      17.805   0.009
OBS: 51684.641  B  NULL    765.60      11.987      20.290   0.017
OBS: 51684.641  V  NULL    2374.6      13.123      19.061   0.006
OBS: 51684.641  R  NULL    3448.3      31.760      18.656   0.010
OBS: 51684.641  I  NULL    4246.2      50.842      18.430   0.013
OBS: 51686.641  B  NULL    720.44      13.935      20.356   0.021
OBS: 51686.641  V  NULL    2159.7      11.935      19.164   0.006
OBS: 51686.641  R  NULL    3200.4      29.476      18.737   0.010
OBS: 51686.641  I  NULL    3901.2      50.304      18.522   0.014
OBS: 51689.672  B  NULL    700.16      7.0940      20.387   0.011
OBS: 51689.672  V  NULL    1975.2      9.0960      19.261   0.005
OBS: 51689.672  R  NULL    2849.7      23.622      18.863   0.009
OBS: 51689.672  I  NULL    3382.2      37.382      18.677   0.012
OBS: 51693.660  B  NULL    622.87      7.4580      20.514   0.013
OBS: 51693.660  V  NULL    1736.2      7.9960      19.401   0.005
OBS: 51693.660  R  NULL    2301.4      19.077      19.095   0.009
OBS: 51693.660  I  NULL    2805.4      38.758      18.880   0.015
END: 
