SURVEY:  LOWZ                
SNID: 2001cn 
IAUC: 2001cn
RA:   281.574330 deg
DECL:   -65.761610 deg 
RA_HOST:   281.576120
DEC_HOST:   -65.756670
MWEBV: 0.059 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.015154 +- 0.000127 
REDSHIFT_CMB: 0.0150873 +- 0.000127 
VPEC: -20.0052 +- 250.0
HOSTGAL_LOGMASS: 10.336276 +- 0.280891
SEARCH_PEAKMJD:  52071.090
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 103
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 52075.840  B  NULL    55514.      715.82      15.639   0.014
OBS: 52075.840  V  NULL    76630.      494.05      15.289   0.007
OBS: 52075.840  R  NULL    84567.      1246.2      15.182   0.016
OBS: 52075.840  I  NULL    64328.      947.97      15.479   0.016
OBS: 52075.852  B  NULL    59759.      715.52      15.559   0.013
OBS: 52075.852  V  NULL    75024.      552.80      15.312   0.008
OBS: 52075.852  R  NULL    86139.      872.71      15.162   0.011
OBS: 52075.852  I  NULL    64863.      776.64      15.470   0.013
OBS: 52076.801  U  NULL    51713.      2714.9      15.716   0.057
OBS: 52076.801  B  NULL    56964.      1154.2      15.611   0.022
OBS: 52076.801  V  NULL    73655.      881.90      15.332   0.013
OBS: 52076.801  R  NULL    83483.      1537.8      15.196   0.020
OBS: 52076.801  I  NULL    61716.      1250.5      15.524   0.022
OBS: 52076.852  B  NULL    55924.      1184.7      15.631   0.023
OBS: 52076.852  V  NULL    75024.      1036.5      15.312   0.015
OBS: 52076.852  R  NULL    82871.      1831.8      15.204   0.024
OBS: 52076.852  I  NULL    58506.      1293.3      15.582   0.024
OBS: 52077.789  U  NULL    47643.      2589.0      15.805   0.059
OBS: 52077.789  B  NULL    53654.      1136.6      15.676   0.023
OBS: 52077.789  V  NULL    71450.      855.50      15.365   0.013
OBS: 52077.789  R  NULL    80686.      1486.3      15.233   0.020
OBS: 52077.789  I  NULL    58993.      1249.7      15.573   0.023
OBS: 52078.801  U  NULL    44957.      2567.2      15.868   0.062
OBS: 52078.801  B  NULL    49705.      1007.2      15.759   0.022
OBS: 52078.801  V  NULL    68549.      820.77      15.410   0.013
OBS: 52078.801  R  NULL    75858.      1327.5      15.300   0.019
OBS: 52078.801  I  NULL    54954.      1164.1      15.650   0.023
OBS: 52079.730  B  NULL    48529.      670.45      15.785   0.015
OBS: 52079.730  V  NULL    68486.      630.78      15.411   0.010
OBS: 52079.730  R  NULL    72444.      1267.7      15.350   0.019
OBS: 52079.730  I  NULL    49797.      825.56      15.757   0.018
OBS: 52082.711  B  NULL    36341.      267.77      16.099   0.008
OBS: 52082.711  V  NULL    59924.      275.96      15.556   0.005
OBS: 52082.711  R  NULL    59924.      441.54      15.556   0.008
OBS: 52082.711  I  NULL    40216.      370.40      15.989   0.010
OBS: 52085.711  B  NULL    26915.      223.11      16.425   0.009
OBS: 52085.711  V  NULL    49431.      227.64      15.765   0.005
OBS: 52085.711  R  NULL    50629.      466.31      15.739   0.010
OBS: 52085.711  I  NULL    36847.      1119.9      16.084   0.033
OBS: 52088.672  B  NULL    18672.      189.18      16.822   0.011
OBS: 52088.672  V  NULL    42462.      234.65      15.930   0.006
OBS: 52088.672  R  NULL    47119.      433.99      15.817   0.010
OBS: 52088.672  I  NULL    38335.      494.32      16.041   0.014
OBS: 52091.648  B  NULL    13514.      236.50      17.173   0.019
OBS: 52091.648  V  NULL    36208.      166.74      16.103   0.005
OBS: 52091.648  R  NULL    45082.      332.17      15.865   0.008
OBS: 52091.648  I  NULL    42034.      387.15      15.941   0.010
OBS: 52094.809  B  NULL    9709.6      178.86      17.532   0.020
OBS: 52094.809  V  NULL    31218.      143.76      16.264   0.005
OBS: 52094.809  R  NULL    42501.      391.45      15.929   0.010
OBS: 52094.809  I  NULL    44710.      617.68      15.874   0.015
OBS: 52096.719  B  NULL    8098.4      440.08      17.729   0.059
OBS: 52096.719  V  NULL    27695.      841.76      16.394   0.033
OBS: 52096.719  R  NULL    40851.      1843.6      15.972   0.049
OBS: 52096.719  I  NULL    47468.      2666.9      15.809   0.061
OBS: 52097.711  B  NULL    7585.8      146.72      17.800   0.021
OBS: 52097.711  V  NULL    26669.      221.06      16.435   0.009
OBS: 52097.711  R  NULL    39555.      546.47      16.007   0.015
OBS: 52097.711  I  NULL    46302.      1236.7      15.836   0.029
OBS: 52101.719  B  NULL    5829.1      96.638      18.086   0.018
OBS: 52101.719  V  NULL    20436.      188.22      16.724   0.010
OBS: 52101.719  R  NULL    32151.      503.41      16.232   0.017
OBS: 52101.719  I  NULL    43531.      681.59      15.903   0.017
OBS: 52104.672  B  NULL    4897.8      81.199      18.275   0.018
OBS: 52104.672  V  NULL    17362.      95.946      16.901   0.006
OBS: 52104.672  R  NULL    26669.      270.19      16.435   0.011
OBS: 52104.672  I  NULL    36813.      372.96      16.085   0.011
OBS: 52106.672  B  NULL    4450.4      65.584      18.379   0.016
OBS: 52106.672  V  NULL    15431.      85.276      17.029   0.006
OBS: 52106.672  R  NULL    23572.      238.82      16.569   0.011
OBS: 52106.672  I  NULL    31275.      489.69      16.262   0.017
OBS: 52114.859  B  NULL    3413.5      81.743      18.667   0.026
OBS: 52114.859  V  NULL    11189.      103.06      17.378   0.010
OBS: 52114.859  R  NULL    15922.      366.62      16.995   0.025
OBS: 52114.859  I  NULL    19284.      479.56      16.787   0.027
OBS: 52117.809  B  NULL    3422.9      104.04      18.664   0.033
OBS: 52117.809  V  NULL    10366.      114.57      17.461   0.012
OBS: 52117.809  R  NULL    14846.      314.49      17.071   0.023
OBS: 52117.809  I  NULL    17330.      1292.9      16.903   0.081
OBS: 52122.621  B  NULL    3124.6      204.33      18.763   0.071
OBS: 52122.621  V  NULL    8838.9      244.23      17.634   0.030
OBS: 52122.621  R  NULL    13170.      570.13      17.201   0.047
OBS: 52122.621  I  NULL    14230.      694.63      17.117   0.053
OBS: 52123.609  B  NULL    3142.0      101.29      18.757   0.035
OBS: 52123.609  V  NULL    9011.6      91.299      17.613   0.011
OBS: 52123.609  R  NULL    12531.      219.29      17.255   0.019
OBS: 52123.609  I  NULL    13919.      256.39      17.141   0.020
OBS: 52127.672  B  NULL    2894.7      199.96      18.846   0.075
OBS: 52127.672  V  NULL    7965.3      278.78      17.747   0.038
OBS: 52127.672  R  NULL    10975.      576.17      17.399   0.057
OBS: 52127.672  I  NULL    11923.      669.89      17.309   0.061
OBS: 52130.762  B  NULL    2761.9      142.45      18.897   0.056
OBS: 52130.762  V  NULL    7848.7      216.87      17.763   0.030
OBS: 52130.762  R  NULL    10347.      419.30      17.463   0.044
OBS: 52130.762  I  NULL    10884.      661.64      17.408   0.066
OBS: 52140.719  B  NULL    2383.4      118.54      19.057   0.054
OBS: 52140.719  V  NULL    5975.9      121.09      18.059   0.022
OBS: 52140.719  R  NULL    7627.8      245.89      17.794   0.035
OBS: 52140.719  I  NULL    7769.6      329.18      17.774   0.046
OBS: 52156.711  B  NULL    2234.6      164.65      19.127   0.080
OBS: 52156.711  V  NULL    3815.9      140.58      18.546   0.040
OBS: 52156.711  R  NULL    4884.3      346.39      18.278   0.077
OBS: 52156.711  I  NULL    4524.8      462.59      18.361   0.111
END: 
