SURVEY:  LOWZ                
SNID: 2002cx 
IAUC: 2002cx
RA:   198.457170 deg
DECL:     6.958860 deg 
RA_HOST:   198.455210
DEC_HOST:     6.962610
MWEBV: 0.032 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.023945 +- 1.1e-05 
REDSHIFT_CMB: 0.0249977 +- 1.1e-05 
VPEC: -246.9071 +- 250.0
SEARCH_PEAKMJD:  52417.230
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 113
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 52411.781  B  NULL    7516.2      207.68      17.810   0.030
OBS: 52411.781  V  NULL    7516.2      207.68      17.810   0.030
OBS: 52411.781  R  NULL    8317.6      153.22      17.700   0.020
OBS: 52411.781  I  NULL    8317.6      306.43      17.700   0.040
OBS: 52412.781  B  NULL    7798.3      215.48      17.770   0.030
OBS: 52412.781  V  NULL    8091.0      298.08      17.730   0.040
OBS: 52412.781  R  NULL    8790.2      323.84      17.640   0.040
OBS: 52412.781  I  NULL    9727.5      358.37      17.530   0.040
OBS: 52413.809  B  NULL    8394.6      309.27      17.690   0.040
OBS: 52419.809  B  NULL    7244.4      800.68      17.850   0.120
OBS: 52419.809  V  NULL    10471.      964.44      17.450   0.100
OBS: 52419.809  R  NULL    9727.5      627.15      17.530   0.070
OBS: 52419.809  I  NULL    12023.      885.86      17.300   0.080
OBS: 52421.770  B  NULL    5970.4      274.95      18.060   0.050
OBS: 52421.770  V  NULL    8394.6      309.27      17.690   0.040
OBS: 52421.770  R  NULL    10186.      281.45      17.480   0.030
OBS: 52421.770  I  NULL    11066.      407.70      17.390   0.040
OBS: 52422.750  B  NULL    5754.4      477.00      18.100   0.090
OBS: 52422.750  V  NULL    8317.6      229.82      17.700   0.030
OBS: 52422.750  R  NULL    10000.      276.31      17.500   0.030
OBS: 52422.750  I  NULL    10965.      302.97      17.400   0.030
OBS: 52423.730  B  NULL    5152.3      142.36      18.220   0.030
OBS: 52423.730  V  NULL    7585.8      209.60      17.800   0.030
OBS: 52423.730  R  NULL    10280.      189.37      17.470   0.020
OBS: 52423.730  I  NULL    10765.      297.44      17.420   0.030
OBS: 52424.750  B  NULL    4570.9      168.40      18.350   0.040
OBS: 52424.750  V  NULL    7447.3      205.78      17.820   0.030
OBS: 52424.750  R  NULL    9727.5      268.78      17.530   0.030
OBS: 52424.750  I  NULL    11169.      308.60      17.380   0.030
OBS: 52425.762  B  NULL    4092.6      226.17      18.470   0.060
OBS: 52425.762  V  NULL    7112.1      393.03      17.870   0.060
OBS: 52425.762  R  NULL    9727.5      447.97      17.530   0.050
OBS: 52425.762  I  NULL    10765.      594.88      17.420   0.060
OBS: 52426.719  B  NULL    3597.5      132.54      18.610   0.040
OBS: 52426.719  V  NULL    7046.9      194.71      17.880   0.030
OBS: 52426.719  R  NULL    9638.3      355.09      17.540   0.040
OBS: 52426.719  I  NULL    11272.      311.46      17.370   0.030
OBS: 52427.719  B  NULL    3372.9      155.33      18.680   0.050
OBS: 52427.719  V  NULL    6368.0      234.60      17.990   0.040
OBS: 52427.719  R  NULL    9638.3      266.32      17.540   0.030
OBS: 52427.719  I  NULL    10965.      403.96      17.400   0.040
OBS: 52428.762  B  NULL    2937.6      108.23      18.830   0.040
OBS: 52428.762  V  NULL    6025.6      221.99      18.050   0.040
OBS: 52428.762  R  NULL    9036.5      249.69      17.610   0.030
OBS: 52428.762  I  NULL    10375.      382.24      17.460   0.040
OBS: 52429.750  B  NULL    3221.1      296.67      18.730   0.100
OBS: 52429.750  V  NULL    5445.0      150.45      18.160   0.030
OBS: 52429.750  R  NULL    9036.5      249.69      17.610   0.030
OBS: 52429.750  I  NULL    10471.      289.33      17.450   0.030
OBS: 52430.711  B  NULL    2466.0      90.852      19.020   0.040
OBS: 52430.711  V  NULL    5248.1      193.35      18.200   0.040
OBS: 52430.711  R  NULL    8394.6      231.95      17.690   0.030
OBS: 52430.711  I  NULL    10000.      276.31      17.500   0.030
OBS: 52431.781  B  NULL    2249.1      82.858      19.120   0.040
OBS: 52431.781  V  NULL    4920.4      181.27      18.270   0.040
OBS: 52431.781  R  NULL    8241.4      303.62      17.710   0.040
OBS: 52431.781  I  NULL    10568.      389.35      17.440   0.040
OBS: 52432.691  B  NULL    2013.7      129.83      19.240   0.070
OBS: 52432.691  V  NULL    4613.2      127.47      18.340   0.030
OBS: 52432.691  R  NULL    8091.0      223.56      17.730   0.030
OBS: 52432.691  I  NULL    10375.      477.80      17.460   0.050
OBS: 52433.738  B  NULL    1659.6      122.28      19.450   0.080
OBS: 52433.738  V  NULL    4529.0      166.85      18.360   0.040
OBS: 52433.738  R  NULL    7585.8      279.47      17.800   0.040
OBS: 52433.738  I  NULL    10965.      504.95      17.400   0.050
OBS: 52434.699  V  NULL    4742.4      305.76      18.310   0.070
OBS: 52434.699  R  NULL    7943.3      512.12      17.750   0.070
OBS: 52434.699  I  NULL    9817.5      632.96      17.520   0.070
OBS: 52435.699  V  NULL    4168.7      230.37      18.450   0.060
OBS: 52435.699  R  NULL    7311.4      269.36      17.840   0.040
OBS: 52435.699  I  NULL    8550.7      393.77      17.670   0.050
OBS: 52435.750  B  NULL    1599.6      117.86      19.490   0.080
OBS: 52435.750  V  NULL    4130.5      114.13      18.460   0.030
OBS: 52435.750  R  NULL    6982.3      192.93      17.890   0.030
OBS: 52435.750  I  NULL    10280.      568.10      17.470   0.060
OBS: 52436.750  V  NULL    3908.4      179.99      18.520   0.050
OBS: 52436.750  R  NULL    6982.3      321.55      17.890   0.050
OBS: 52436.750  I  NULL    9120.1      336.00      17.600   0.040
OBS: 52436.770  B  NULL    1432.2      105.53      19.610   0.080
OBS: 52436.770  V  NULL    3837.1      106.02      18.540   0.030
OBS: 52436.770  R  NULL    6729.8      123.97      17.930   0.020
OBS: 52436.770  I  NULL    8790.2      242.88      17.640   0.030
OBS: 52437.691  V  NULL    3732.5      137.51      18.570   0.040
OBS: 52437.691  R  NULL    6368.0      175.95      17.990   0.030
OBS: 52437.691  I  NULL    8790.2      485.77      17.640   0.060
OBS: 52437.699  B  NULL    1380.4      76.283      19.650   0.060
OBS: 52437.699  V  NULL    3664.4      67.500      18.590   0.020
OBS: 52437.699  R  NULL    6486.3      119.48      17.970   0.020
OBS: 52437.699  I  NULL    8241.4      151.81      17.710   0.020
OBS: 52438.730  V  NULL    3435.6      158.21      18.660   0.050
OBS: 52438.730  I  NULL    8629.8      397.42      17.660   0.050
OBS: 52440.691  V  NULL    3162.3      174.75      18.750   0.060
OBS: 52440.691  R  NULL    5915.6      217.94      18.070   0.040
OBS: 52440.691  I  NULL    7447.3      342.96      17.820   0.050
OBS: 52442.691  V  NULL    2992.3      110.24      18.810   0.040
OBS: 52442.691  R  NULL    5701.6      210.06      18.110   0.040
OBS: 52442.691  I  NULL    7311.4      336.70      17.840   0.050
OBS: 52443.730  R  NULL    5296.6      292.70      18.190   0.060
OBS: 52443.730  I  NULL    6918.3      382.32      17.900   0.060
OBS: 52447.699  R  NULL    4786.3      352.67      18.300   0.080
OBS: 52447.699  I  NULL    6486.3      477.93      17.970   0.080
OBS: 52451.738  V  NULL    2654.6      171.15      18.940   0.070
OBS: 52451.738  R  NULL    4365.2      321.64      18.400   0.080
OBS: 52451.738  I  NULL    5970.4      274.95      18.060   0.050
OBS: 52455.699  V  NULL    2269.9      104.53      19.110   0.050
OBS: 52455.699  R  NULL    4168.7      153.58      18.450   0.040
OBS: 52455.699  I  NULL    5445.0      200.60      18.160   0.040
OBS: 52456.699  R  NULL    4168.7      268.77      18.450   0.070
OBS: 52456.699  I  NULL    5395.1      198.76      18.170   0.040
OBS: 52465.699  B  NULL    717.79      138.83      20.360   0.210
OBS: 52465.699  V  NULL    1853.5      119.50      19.330   0.070
OBS: 52465.699  R  NULL    3162.3      174.75      18.750   0.060
OBS: 52465.699  I  NULL    4920.4      362.55      18.270   0.080
END: 
