SURVEY: LOWZ
SNID: 1997bq_JB 
IAUC: 1997bq
RA:   154.272210 deg
DECL:    73.383920 deg 
RA_HOST:   154.223540
DEC_HOST:    73.400750
MWEBV: 0.024 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.00938 +- 1.9e-05 
REDSHIFT_CMB: 0.009578 +- 1.9e-05 
VPEC: -255.9029 +- 250.0
SEARCH_PEAKMJD:  50558.000
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  115
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 50547.620  B  NULL    53653.      988.33      15.676   0.020
OBS: 50547.620  V  NULL    55411.      612.43      15.641   0.012
OBS: 50547.620  R  NULL    63503.      935.82      15.493   0.016
OBS: 50547.620  I  NULL    61830.      968.10      15.522   0.017
OBS: 50548.810  U  NULL   1.02707E+05  3973.0      14.971   0.042
OBS: 50548.810  B  NULL    72443.      1534.6      15.350   0.023
OBS: 50548.810  V  NULL    69119.      1082.2      15.401   0.017
OBS: 50548.810  R  NULL    80612.      1633.4      15.234   0.022
OBS: 50548.810  I  NULL    77983.      1508.3      15.270   0.021
OBS: 50549.820  U  NULL   1.27644E+05  5055.2      14.735   0.043
OBS: 50549.820  B  NULL    88307.      1870.6      15.135   0.023
OBS: 50549.820  V  NULL    85664.      1341.2      15.168   0.017
OBS: 50549.820  R  NULL    95148.      2015.5      15.054   0.023
OBS: 50549.820  I  NULL    92896.      1967.9      15.080   0.023
OBS: 50550.040  B  NULL    96116.      29213.      15.043   0.330
OBS: 50550.043  V  NULL    88552.      6361.6      15.132   0.078
OBS: 50550.700  U  NULL   1.51217E+05  9749.3      14.551   0.070
OBS: 50550.700  B  NULL   1.00554E+05  3889.7      14.994   0.042
OBS: 50550.700  V  NULL    98809.      1820.1      15.013   0.020
OBS: 50550.700  R  NULL   1.09446E+05  2822.4      14.902   0.028
OBS: 50550.700  I  NULL   1.08243E+05  2691.7      14.914   0.027
OBS: 50551.000  B  NULL   1.11173E+05  17202.      14.885   0.168
OBS: 50551.004  V  NULL   1.06170E+05  5182.6      14.935   0.053
OBS: 50551.830  U  NULL   1.65806E+05  6719.3      14.451   0.044
OBS: 50551.830  B  NULL   1.17598E+05  2274.5      14.824   0.021
OBS: 50551.830  V  NULL   1.13240E+05  938.68      14.865   0.009
OBS: 50551.830  R  NULL   1.27057E+05  1404.2      14.740   0.012
OBS: 50551.830  I  NULL   1.19454E+05  1540.2      14.807   0.014
OBS: 50552.070  B  NULL   1.07647E+05  30933.      14.920   0.312
OBS: 50552.075  V  NULL   1.05487E+05  18751.      14.942   0.193
OBS: 50553.050  B  NULL   1.19564E+05  43498.      14.806   0.395
OBS: 50553.054  V  NULL   1.23937E+05  12328.      14.767   0.108
OBS: 50555.063  B  NULL   1.47775E+05  17557.      14.576   0.129
OBS: 50555.067  V  NULL   1.54028E+05  10356.      14.531   0.073
OBS: 50556.060  B  NULL   1.48594E+05  49680.      14.570   0.363
OBS: 50556.064  V  NULL   1.57906E+05  15270.      14.504   0.105
OBS: 50557.066  B  NULL   1.64437E+05  81329.      14.460   0.537
OBS: 50557.070  V  NULL   1.65653E+05  24716.      14.452   0.162
OBS: 50559.087  B  NULL   1.36899E+05  43374.      14.659   0.344
OBS: 50559.093  V  NULL   1.71870E+05  29601.      14.412   0.187
OBS: 50560.019  B  NULL   1.37531E+05  18873.      14.654   0.149
OBS: 50560.024  V  NULL   1.65044E+05  24473.      14.456   0.161
OBS: 50561.023  B  NULL   1.36647E+05  32093.      14.661   0.255
OBS: 50561.028  V  NULL   1.96246E+05  13556.      14.268   0.075
OBS: 50562.011  B  NULL   1.27057E+05  22351.      14.740   0.191
OBS: 50562.015  V  NULL   1.66112E+05  31516.      14.449   0.206
OBS: 50562.996  B  NULL   1.06660E+05  24952.      14.930   0.254
OBS: 50563.000  V  NULL   1.76685E+05  22294.      14.382   0.137
OBS: 50564.005  B  NULL   1.03086E+05  38642.      14.967   0.407
OBS: 50564.009  V  NULL   1.73301E+05  16280.      14.403   0.102
OBS: 50567.028  B  NULL    86696.      11977.      15.155   0.150
OBS: 50567.033  V  NULL   1.52897E+05  4928.8      14.539   0.035
OBS: 50568.660  U  NULL    74267.      3146.5      15.323   0.046
OBS: 50568.660  B  NULL    79067.      1310.8      15.255   0.018
OBS: 50568.660  V  NULL   1.34896E+05  1366.6      14.675   0.011
OBS: 50568.660  R  NULL   1.30497E+05  1802.8      14.711   0.015
OBS: 50568.660  I  NULL    97095.      1520.2      15.032   0.017
OBS: 50569.023  B  NULL    66252.      16353.      15.447   0.268
OBS: 50569.027  V  NULL   1.32923E+05  35136.      14.691   0.287
OBS: 50570.760  U  NULL    54954.      1973.9      15.650   0.039
OBS: 50570.760  B  NULL    63037.      696.71      15.501   0.012
OBS: 50570.760  V  NULL   1.18141E+05  761.68      14.819   0.007
OBS: 50570.760  R  NULL   1.17274E+05  1080.1      14.827   0.010
OBS: 50570.760  I  NULL    95323.      965.75      15.052   0.011
OBS: 50571.007  B  NULL    55769.      6574.8      15.634   0.128
