SURVEY:  PS1MD
SNTYPE: 1
SNID:  040780
IAUC:    UNKNOWN
RA:   243.619471 deg
DECL:   54.725811 deg
FILTERS: griz
HOSTGAL_LOGMASS: 10.963 +- 0.021
HOSTGAL_SNSEP: 18.740070320151801
SEARCH_PEAKMJD: 55347.0
 
MWEBV: 0.0095 +- 0.0003 MW E(B-V)
REDSHIFT_HELIO: 0.2306 +- 0.001 
REDSHIFT_CMB: 0.2306626022 +- 0.001
NOBS: 56
VPEC: -37.9823 +- 250.0
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 55326.5 g NULL  -1.968 8.550 27.5 -4.718
OBS: 55329.5 g NULL  0.532 11.627 -4.315 23.734
OBS: 55332.4 g NULL  -12.319 9.078 27.5 -0.800
OBS: 55335.4 g NULL  11.483 14.255 -7.650 1.348
OBS: 55338.4 g NULL  -19.887 23.663 27.5 -1.292
OBS: 55347.4 g NULL  70.593 21.570 -9.622 0.332
OBS: 55350.5 g NULL  141.396 12.195 -10.376 0.094
OBS: 55353.4 g NULL  140.996 9.263 -10.373 0.071
OBS: 55362.4 g NULL  143.291 10.038 -10.391 0.076
OBS: 55365.3 g NULL  121.426 8.521 -10.211 0.076
OBS: 55368.4 g NULL  80.392 10.843 -9.763 0.146
OBS: 55377.4 g NULL  38.069 12.771 -8.951 0.364
OBS: 55389.3 g NULL  22.709 8.097 -8.391 0.387
OBS: 55407.3 g NULL  23.484 15.870 -8.427 0.734
OBS: 55413.3 g NULL  6.407 10.371 -7.017 1.757
OBS: 55416.3 g NULL  12.936 9.704 -7.780 0.814
OBS: 55326.6 r NULL  2.408 10.646 -5.954 4.800
OBS: 55329.5 r NULL  -6.466 12.269 27.5 -2.060
OBS: 55332.4 r NULL  11.365 6.986 -7.639 0.667
OBS: 55335.4 r NULL  5.162 14.559 -6.782 3.062
OBS: 55338.4 r NULL  26.243 27.198 -8.548 1.125
OBS: 55347.5 r NULL  106.184 14.457 -10.065 0.148
OBS: 55350.5 r NULL  176.808 13.947 -10.619 0.086
OBS: 55353.4 r NULL  222.557 9.176 -10.869 0.045
OBS: 55362.4 r NULL  240.915 12.488 -10.955 0.056
OBS: 55365.3 r NULL  257.752 9.605 -11.028 0.040
OBS: 55368.4 r NULL  223.898 14.594 -10.875 0.071
OBS: 55377.5 r NULL  168.051 19.903 -10.564 0.129
OBS: 55389.3 r NULL  66.846 11.672 -9.563 0.190
OBS: 55407.4 r NULL  49.608 13.109 -9.239 0.287
OBS: 55413.3 r NULL  23.675 11.688 -8.436 0.536
OBS: 55416.3 r NULL  37.792 14.894 -8.944 0.428
OBS: 55324.6 i NULL  -4.649 15.866 27.5 -3.706
OBS: 55327.6 i NULL  -15.286 14.722 27.5 -1.046
OBS: 55330.4 i NULL  19.190 18.053 -8.208 1.021
OBS: 55348.4 i NULL  137.932 15.382 -10.349 0.121
OBS: 55363.5 i NULL  301.007 15.549 -11.196 0.056
OBS: 55366.3 i NULL  272.048 16.183 -11.087 0.065
OBS: 55378.4 i NULL  168.010 12.941 -10.563 0.084
OBS: 55408.3 i NULL  36.710 18.479 -8.912 0.547
OBS: 55411.4 i NULL  35.141 17.829 -8.865 0.551
OBS: 55414.3 i NULL  52.165 15.862 -9.293 0.330
OBS: 55325.5 z NULL  -7.643 21.761 27.5 -3.091
OBS: 55328.6 z NULL  57.326 22.873 -9.396 0.433
OBS: 55331.5 z NULL  4.989 20.377 -6.745 4.434
OBS: 55337.5 z NULL  -15.579 27.554 27.5 -1.920
OBS: 55352.5 z NULL  196.477 22.475 -10.733 0.124
OBS: 55358.5 z NULL  299.220 32.510 -11.190 0.118
OBS: 55361.4 z NULL  170.463 21.794 -10.579 0.139
OBS: 55364.4 z NULL  217.444 31.318 -10.843 0.156
OBS: 55367.3 z NULL  172.692 20.632 -10.593 0.130
OBS: 55376.4 z NULL  113.274 19.037 -10.135 0.182
OBS: 55379.3 z NULL  110.435 18.234 -10.108 0.179
OBS: 55406.4 z NULL  33.889 21.603 -8.825 0.692
OBS: 55409.3 z NULL  74.381 23.067 -9.679 0.337
OBS: 55412.4 z NULL  18.341 20.605 -8.159 1.220
END:
