SURVEY:  PS1MD
SNID:  050044
IAUC:    UNKNOWN
RA:   212.333075 deg
DECL:   54.262544 deg
FILTERS: griz
HOSTGAL_LOGMASS: 9.04504583509 +- 0.1
HOSTGAL_SNSEP: 23.300972327968161
SEARCH_PEAKMJD: 55350.0
 
MWEBV: 0.0113 +- 0.0011 MW E(B-V)
REDSHIFT_HELIO: 0.27 +- 0.001 
REDSHIFT_CMB: 0.2704929709 +- 0.001
VPEC: -27.2197 +- 250.0
NOBS: 35
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 55332.3 g NULL  14.792 5.833 -7.925 0.428
OBS: 55338.3 g NULL  37.440 20.190 -8.933 0.585
OBS: 55347.4 g NULL  42.608 26.763 -9.074 0.682
OBS: 55350.3 g NULL  62.619 7.063 -9.492 0.122
OBS: 55359.3 g NULL  23.283 24.699 -8.418 1.152
OBS: 55362.3 g NULL  40.646 6.738 -9.023 0.180
OBS: 55365.3 g NULL  23.878 10.975 -8.445 0.499
OBS: 55389.3 g NULL  20.943 6.746 -8.303 0.350
OBS: 55332.4 r NULL  32.667 11.489 -8.785 0.382
OBS: 55338.4 r NULL  39.669 16.201 -8.996 0.443
OBS: 55350.3 r NULL  84.444 7.345 -9.816 0.094
OBS: 55353.4 r NULL  81.614 7.832 -9.779 0.104
OBS: 55359.3 r NULL  104.111 27.574 -10.044 0.288
OBS: 55362.3 r NULL  72.776 8.704 -9.655 0.130
OBS: 55365.3 r NULL  70.248 12.432 -9.617 0.192
OBS: 55389.3 r NULL  19.820 7.092 -8.243 0.388
OBS: 55327.5 i NULL  22.144 9.611 -8.363 0.471
OBS: 55330.4 i NULL  9.518 12.548 -7.446 1.431
OBS: 55348.4 i NULL  77.464 12.007 -9.723 0.168
OBS: 55354.3 i NULL  92.276 10.674 -9.913 0.126
OBS: 55360.3 i NULL  84.153 11.643 -9.813 0.150
OBS: 55363.3 i NULL  92.645 6.341 -9.917 0.074
OBS: 55366.3 i NULL  83.916 9.177 -9.810 0.119
OBS: 55378.3 i NULL  66.194 10.142 -9.552 0.166
OBS: 55399.3 i NULL  15.171 36.580 -7.953 2.618
OBS: 55325.4 z NULL  1.576 25.782 -5.494 17.764
OBS: 55334.4 z NULL  27.812 19.647 -8.611 0.767
OBS: 55340.4 z NULL  70.119 33.656 -9.615 0.521
OBS: 55355.4 z NULL  78.591 23.367 -9.738 0.323
OBS: 55361.3 z NULL  91.617 22.921 -9.905 0.272
OBS: 55364.3 z NULL  91.429 21.641 -9.903 0.257
OBS: 55367.3 z NULL  97.401 21.820 -9.971 0.243
OBS: 55379.3 z NULL  22.189 28.936 -8.365 1.416
OBS: 55388.3 z NULL  76.286 21.003 -9.706 0.299
OBS: 55406.3 z NULL  34.253 23.941 -8.837 0.759
END:
