SURVEY:  PS1MD
SNTYPE: 1
SNID:  050596
IAUC:    UNKNOWN
RA:   185.497792 deg
DECL:   45.847169 deg
FILTERS: griz
SEARCH_PEAKMJD: 55362.0
 
MWEBV: 0.0108 +- 0.0003 MW E(B-V)
REDSHIFT_HELIO: 0.379 +- 0.001 
REDSHIFT_CMB: 0.3799724094 +- 0.001
VPEC: -13.3494 +- 250.0
NVAR:   7
NOBS: 26
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 55332.3 g NULL  -1.276 6.081 27.5 -5.175
OBS: 55350.3 g NULL  12.694 7.647 -7.759 0.654
OBS: 55353.3 g NULL  20.106 8.190 -8.258 0.442
OBS: 55359.3 g NULL  51.947 25.506 -9.289 0.533
OBS: 55362.3 g NULL  81.541 8.874 -9.778 0.118
OBS: 55365.3 g NULL  96.151 11.577 -9.957 0.131
OBS: 55332.3 r NULL  3.530 7.132 -6.370 2.193
OBS: 55350.3 r NULL  23.090 8.149 -8.409 0.383
OBS: 55353.4 r NULL  34.364 7.311 -8.840 0.231
OBS: 55359.3 r NULL  104.552 22.254 -10.048 0.231
OBS: 55362.3 r NULL  111.321 9.720 -10.116 0.095
OBS: 55365.3 r NULL  118.652 10.556 -10.186 0.097
OBS: 55339.3 i NULL  1.710 23.390 -5.582 14.854
OBS: 55348.3 i NULL  -3.389 7.820 27.5 -2.506
OBS: 55354.3 i NULL  37.485 8.758 -8.935 0.254
OBS: 55360.3 i NULL  107.473 16.976 -10.078 0.171
OBS: 55363.3 i NULL  127.726 9.273 -10.266 0.079
OBS: 55366.3 i NULL  133.253 10.945 -10.312 0.089
OBS: 55334.3 z NULL  2.882 11.134 -6.149 4.194
OBS: 55340.3 z NULL  27.827 27.745 -8.611 1.083
OBS: 55349.3 z NULL  66.633 38.002 -9.559 0.619
OBS: 55352.3 z NULL  20.694 10.301 -8.290 0.540
OBS: 55355.3 z NULL  120.863 42.187 -10.206 0.379
OBS: 55361.3 z NULL  100.514 16.940 -10.006 0.183
OBS: 55364.3 z NULL  114.060 18.562 -10.143 0.177
OBS: 55367.3 z NULL  153.754 17.166 -10.467 0.121
END:
