SURVEY:  PS1MD
SNTYPE: 1
SNID:  100213
IAUC:    UNKNOWN
RA:   53.06715 deg
DECL:   -27.194308 deg
FILTERS: griz
HOSTGAL_LOGMASS: 9.414 +- 0.36
HOSTGAL_SNSEP: 21.027572859997839
SEARCH_PEAKMJD: 55507.0
 
MWEBV: 0.0063 +- 0.0003 MW E(B-V)
REDSHIFT_HELIO: 0.2756 +- 0.001 
REDSHIFT_CMB: 0.2751060033 +- 0.001
NOBS: 42
VPEC: 4.7106 +- 250.0
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 55479.5 g NULL  11.280 13.038 -7.631 1.255
OBS: 55482.5 g NULL  9.098 10.500 -7.397 1.253
OBS: 55485.5 g NULL  -20.374 16.685 27.5 -0.889
OBS: 55500.5 g NULL  11.451 12.556 -7.647 1.190
OBS: 55503.5 g NULL  11.877 15.783 -7.687 1.443
OBS: 55509.4 g NULL  138.320 11.542 -10.352 0.091
OBS: 55518.4 g NULL  224.633 26.349 -10.879 0.127
OBS: 55524.4 g NULL  200.799 31.182 -10.757 0.169
OBS: 55545.4 g NULL  46.261 22.457 -9.163 0.527
OBS: 55548.4 g NULL  83.337 43.216 -9.802 0.563
OBS: 55557.3 g NULL  30.985 12.140 -8.728 0.425
OBS: 55479.5 r NULL  5.743 12.954 -6.898 2.449
OBS: 55482.6 r NULL  -1.274 11.001 27.5 -9.379
OBS: 55485.5 r NULL  2.289 13.659 -5.899 6.477
OBS: 55500.5 r NULL  7.924 5.708 -7.247 0.782
OBS: 55509.4 r NULL  146.241 8.954 -10.413 0.066
OBS: 55518.5 r NULL  280.453 17.330 -11.120 0.067
OBS: 55524.4 r NULL  230.511 22.919 -10.907 0.108
OBS: 55545.4 r NULL  95.215 16.618 -9.947 0.189
OBS: 55548.4 r NULL  115.532 40.997 -10.157 0.385
OBS: 55557.3 r NULL  65.608 11.005 -9.542 0.182
OBS: 55477.5 i NULL  0.281 8.303 -3.621 32.115
OBS: 55480.5 i NULL  15.093 11.959 -7.947 0.860
OBS: 55483.5 i NULL  8.208 8.684 -7.286 1.149
OBS: 55498.5 i NULL  -12.949 13.988 27.5 -1.173
OBS: 55507.5 i NULL  106.412 8.933 -10.067 0.091
OBS: 55510.4 i NULL  144.299 7.550 -10.398 0.057
OBS: 55516.4 i NULL  232.359 9.482 -10.915 0.044
OBS: 55534.4 i NULL  185.192 16.779 -10.669 0.098
OBS: 55546.4 i NULL  124.003 15.491 -10.234 0.136
OBS: 55555.4 i NULL  113.038 22.858 -10.133 0.220
OBS: 55576.3 i NULL  49.820 14.351 -9.244 0.313
OBS: 55478.5 z NULL  -5.529 15.042 27.5 -2.954
OBS: 55481.5 z NULL  -19.614 16.235 27.5 -0.899
OBS: 55487.5 z NULL  6.972 26.230 -7.108 4.085
OBS: 55499.5 z NULL  20.137 16.131 -8.260 0.870
OBS: 55502.5 z NULL  45.320 24.297 -9.141 0.582
OBS: 55508.4 z NULL  138.272 16.136 -10.352 0.127
OBS: 55511.4 z NULL  172.905 13.793 -10.595 0.087
OBS: 55517.4 z NULL  211.192 18.556 -10.812 0.095
OBS: 55547.3 z NULL  109.990 15.035 -10.103 0.148
OBS: 55568.3 z NULL  81.664 14.414 -9.780 0.192
END:
