SURVEY:  PS1MD
SNTYPE: 1
SNID:  120369
IAUC:    UNKNOWN
RA:   150.99525 deg
DECL:   2.262419 deg
FILTERS: griz
HOSTGAL_LOGMASS: 10.563 +- 0.166
HOSTGAL_SNSEP: 20.238235607282395
SEARCH_PEAKMJD: 55572.0
 
MWEBV: 0.0201 +- 0.0009 MW E(B-V)
REDSHIFT_HELIO: 0.329 +- 0.001 
REDSHIFT_CMB: 0.3305494385 +- 0.001
NOBS: 44
VPEC: 17.5466 +- 250.0
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 55545.5 g NULL  -6.474 5.339 27.5 -0.895
OBS: 55560.6 g NULL  -31.222 9.038 27.5 -0.314
OBS: 55563.6 g NULL  0.770 10.358 -4.716 14.609
OBS: 55566.6 g NULL  9.300 8.435 -7.421 0.985
OBS: 55572.5 g NULL  90.428 10.171 -9.891 0.122
OBS: 55587.6 g NULL  136.028 9.846 -10.334 0.079
OBS: 55590.5 g NULL  128.105 7.507 -10.269 0.064
OBS: 55593.5 g NULL  91.412 7.930 -9.903 0.094
OBS: 55596.4 g NULL  86.839 6.887 -9.847 0.086
OBS: 55602.4 g NULL  54.803 32.300 -9.347 0.640
OBS: 55614.3 g NULL  20.946 12.635 -8.303 0.655
OBS: 55629.3 g NULL  2.763 8.409 -6.103 3.304
OBS: 55632.3 g NULL  23.027 8.941 -8.406 0.422
OBS: 55635.3 g NULL  4.636 13.767 -6.665 3.224
OBS: 55545.5 r NULL  -9.487 8.681 27.5 -0.994
OBS: 55563.6 r NULL  10.062 8.727 -7.507 0.942
OBS: 55566.6 r NULL  26.613 9.788 -8.563 0.399
OBS: 55572.6 r NULL  123.172 11.503 -10.226 0.101
OBS: 55587.6 r NULL  214.281 10.444 -10.827 0.053
OBS: 55590.5 r NULL  194.560 10.179 -10.723 0.057
OBS: 55596.4 r NULL  164.096 8.035 -10.538 0.053
OBS: 55602.4 r NULL  106.546 13.759 -10.069 0.140
OBS: 55614.4 r NULL  -33.112 90.524 27.5 -2.968
OBS: 55629.3 r NULL  18.812 8.286 -8.186 0.478
OBS: 55632.3 r NULL  17.223 7.424 -8.090 0.468
OBS: 55635.3 r NULL  16.962 9.720 -8.074 0.622
OBS: 55546.5 i NULL  3.606 4.531 -6.392 1.364
OBS: 55561.6 i NULL  -2.540 4.876 27.5 -2.085
OBS: 55567.5 i NULL  36.330 12.374 -8.901 0.370
OBS: 55570.6 i NULL  70.827 7.540 -9.625 0.116
OBS: 55576.6 i NULL  146.539 9.680 -10.415 0.072
OBS: 55588.6 i NULL  184.879 8.886 -10.667 0.052
OBS: 55594.5 i NULL  176.342 6.438 -10.616 0.040
OBS: 55597.4 i NULL  143.090 6.634 -10.389 0.050
OBS: 55615.5 i NULL  -2.057 31.109 27.5 -16.420
OBS: 55633.3 i NULL  48.007 6.910 -9.203 0.156
OBS: 55571.5 z NULL  98.949 21.671 -9.989 0.238
OBS: 55577.6 z NULL  170.080 14.409 -10.577 0.092
OBS: 55586.6 z NULL  156.375 10.878 -10.485 0.076
OBS: 55589.6 z NULL  129.209 14.765 -10.278 0.124
OBS: 55592.6 z NULL  136.662 9.739 -10.339 0.077
OBS: 55595.5 z NULL  124.253 6.812 -10.236 0.060
OBS: 55631.3 z NULL  40.650 14.379 -9.023 0.384
OBS: 55634.3 z NULL  28.123 8.176 -8.623 0.316
END:
