SURVEY:  PS1MD
SNTYPE: 1
SNID:  310238
IAUC:    UNKNOWN
RA:   35.526792 deg
DECL:   -3.233292 deg
FILTERS: griz
HOSTGAL_LOGMASS: 9.906 +- 0.167
HOSTGAL_SNSEP: 20.547189871766687
SEARCH_PEAKMJD: 55825.0
 
REDSHIFT_HELIO: 0.285 +- 0.001 
REDSHIFT_CMB: 0.2839542915 +- 0.001
VPEC: -23.1205 +- 250.0
NOBS: 60
MWEBV: 0.0227 +- 0.0006 MW E(B-V)
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 55809.6 g NULL  -1.028 7.060 27.5 -7.452
OBS: 55812.5 g NULL  2.261 15.897 -5.886 7.632
OBS: 55824.6 g NULL  83.728 8.828 -9.807 0.114
OBS: 55828.5 g NULL  185.137 9.088 -10.669 0.053
OBS: 55833.5 g NULL  272.534 10.893 -11.089 0.043
OBS: 55836.5 g NULL  308.558 22.636 -11.223 0.080
OBS: 55839.5 g NULL  298.278 12.519 -11.187 0.046
OBS: 55852.6 g NULL  126.126 15.556 -10.252 0.134
OBS: 55855.5 g NULL  84.576 12.994 -9.818 0.167
OBS: 55858.4 g NULL  81.308 8.079 -9.775 0.108
OBS: 55860.5 g NULL  39.438 8.550 -8.990 0.235
OBS: 55863.5 g NULL  29.764 11.071 -8.684 0.404
OBS: 55887.3 g NULL  10.287 13.711 -7.531 1.447
OBS: 55889.3 g NULL  2.754 8.570 -6.100 3.379
OBS: 55809.6 r NULL  -0.648 7.085 27.5 -11.876
OBS: 55812.5 r NULL  3.946 9.781 -6.490 2.691
OBS: 55824.6 r NULL  101.775 11.211 -10.019 0.120
OBS: 55829.5 r NULL  218.271 9.270 -10.847 0.046
OBS: 55833.6 r NULL  303.986 9.996 -11.207 0.036
OBS: 55836.6 r NULL  331.572 15.044 -11.301 0.049
OBS: 55839.5 r NULL  309.985 18.656 -11.228 0.065
OBS: 55852.6 r NULL  229.099 13.128 -10.900 0.062
OBS: 55855.5 r NULL  174.022 8.686 -10.602 0.054
OBS: 55858.4 r NULL  164.799 7.749 -10.542 0.051
OBS: 55863.5 r NULL  83.329 13.972 -9.802 0.182
OBS: 55887.4 r NULL  38.060 11.767 -8.951 0.336
OBS: 55813.5 i NULL  14.345 9.900 -7.892 0.749
OBS: 55822.6 i NULL  68.135 6.815 -9.583 0.109
OBS: 55825.6 i NULL  109.742 11.873 -10.101 0.117
OBS: 55829.6 i NULL  207.974 8.279 -10.795 0.043
OBS: 55831.6 i NULL  240.986 10.126 -10.955 0.046
OBS: 55834.5 i NULL  293.055 11.698 -11.167 0.043
OBS: 55837.6 i NULL  286.740 14.603 -11.144 0.055
OBS: 55850.6 i NULL  234.906 11.879 -10.927 0.055
OBS: 55853.5 i NULL  216.099 9.522 -10.837 0.048
OBS: 55859.5 i NULL  169.095 9.717 -10.570 0.062
OBS: 55871.5 i NULL  107.219 15.582 -10.076 0.158
OBS: 55879.4 i NULL  97.706 9.571 -9.975 0.106
OBS: 55885.3 i NULL  60.450 10.191 -9.453 0.183
OBS: 55888.5 i NULL  49.659 18.241 -9.240 0.399
OBS: 55890.4 i NULL  71.083 7.357 -9.629 0.112
OBS: 55893.3 i NULL  24.824 12.800 -8.487 0.560
OBS: 55808.6 z NULL  6.353 13.180 -7.007 2.253
OBS: 55811.5 z NULL  3.100 13.248 -6.229 4.640
OBS: 55823.6 z NULL  60.058 10.199 -9.446 0.184
OBS: 55827.6 z NULL  92.602 26.251 -9.917 0.308
OBS: 55832.5 z NULL  88.346 43.877 -9.865 0.539
OBS: 55835.5 z NULL  278.021 30.439 -11.110 0.119
OBS: 55842.5 z NULL  175.794 39.827 -10.613 0.246
OBS: 55851.6 z NULL  156.900 18.744 -10.489 0.130
OBS: 55854.6 z NULL  71.534 27.792 -9.636 0.422
OBS: 55857.5 z NULL  120.167 14.330 -10.199 0.129
OBS: 55862.4 z NULL  126.983 16.797 -10.259 0.144
OBS: 55870.3 z NULL  118.546 71.508 -10.185 0.655
OBS: 55878.5 z NULL  111.753 15.583 -10.121 0.151
OBS: 55880.4 z NULL  107.756 15.255 -10.081 0.154
OBS: 55883.4 z NULL  174.159 55.918 -10.602 0.349
OBS: 55889.3 z NULL  62.562 10.380 -9.491 0.180
OBS: 55891.4 z NULL  49.954 7.595 -9.246 0.165
OBS: 55894.3 z NULL  62.225 25.741 -9.485 0.449
END:
