SURVEY:  PS1MD
SNTYPE: 1
SNID:  330075
IAUC:    UNKNOWN
RA:   131.218796 deg
DECL:   43.049086 deg 
RA_HOST:   131.21096 deg
DEC_HOST:   43.04681 deg
FILTERS: griz
HOSTGAL_LOGMASS: 11.6605296261 +- 0.1
HOSTGAL_SNSEP: 13.85566164287459
SEARCH_PEAKMJD: 55890.0
 
MWEBV: 0.0250 +- 0.0014 MW E(B-V)
REDSHIFT_HELIO: 0.056847 +- 9e-06 
REDSHIFT_CMB: 0.0574980517 +- 9e-06
NOBS: 47
VPEC: -358.1921 +- 250.0
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 55889.6 g NULL  313.395 14.630 -11.240 0.051
OBS: 55892.5 g NULL  304.151 22.387 -11.208 0.080
OBS: 55895.6 g NULL  263.204 16.881 -11.051 0.070
OBS: 55911.6 g NULL  217.430 15.987 -10.843 0.080
OBS: 55947.4 g NULL  155.989 14.801 -10.483 0.103
OBS: 55952.6 g NULL  139.391 13.544 -10.361 0.105
OBS: 55955.3 g NULL  152.768 18.958 -10.460 0.135
OBS: 55888.5 r NULL  402.969 17.866 -11.513 0.048
OBS: 55892.5 r NULL  334.353 19.632 -11.311 0.064
OBS: 55895.6 r NULL  356.395 13.260 -11.380 0.040
OBS: 55911.6 r NULL  253.897 15.008 -11.012 0.064
OBS: 55947.4 r NULL  118.388 14.456 -10.183 0.133
OBS: 55948.4 r NULL  145.998 19.287 -10.411 0.143
OBS: 55952.6 r NULL  106.295 14.746 -10.066 0.151
OBS: 55955.3 r NULL  71.868 16.406 -9.641 0.248
OBS: 55879.6 i NULL  347.515 18.937 -11.352 0.059
OBS: 55885.6 i NULL  302.568 18.309 -11.202 0.066
OBS: 55888.5 i NULL  281.199 17.911 -11.123 0.069
OBS: 55890.6 i NULL  259.130 15.472 -11.034 0.065
OBS: 55893.6 i NULL  219.384 18.844 -10.853 0.093
OBS: 55900.6 i NULL  200.517 16.396 -10.755 0.089
OBS: 55915.4 i NULL  139.006 46.129 -10.358 0.360
OBS: 55939.5 i NULL  101.104 20.199 -10.012 0.217
OBS: 55942.4 i NULL  84.800 23.981 -9.821 0.307
OBS: 55945.6 i NULL  91.890 15.728 -9.908 0.186
OBS: 55948.4 i NULL  86.217 19.220 -9.839 0.242
OBS: 55950.6 i NULL  65.530 15.796 -9.541 0.262
OBS: 55953.5 i NULL  90.387 26.560 -9.890 0.319
OBS: 55956.3 i NULL  65.746 21.309 -9.545 0.352
OBS: 55878.6 z NULL  206.043 24.676 -10.785 0.130
OBS: 55883.6 z NULL  151.703 41.336 -10.452 0.296
OBS: 55889.6 z NULL  137.969 25.643 -10.349 0.202
OBS: 55891.5 z NULL  124.675 28.094 -10.239 0.245
OBS: 55894.5 z NULL  95.806 22.726 -9.953 0.258
OBS: 55897.6 z NULL  71.393 34.698 -9.634 0.528
OBS: 55899.6 z NULL  141.235 24.391 -10.375 0.188
OBS: 55901.6 z NULL  107.872 22.179 -10.082 0.223
OBS: 55910.6 z NULL  69.087 24.341 -9.598 0.383
OBS: 55913.5 z NULL  135.627 33.583 -10.331 0.269
OBS: 55929.4 z NULL  -64.336 34.665 27.5 -0.585
OBS: 55931.6 z NULL  44.818 23.096 -9.129 0.560
OBS: 55940.5 z NULL  31.611 25.439 -8.750 0.874
OBS: 55946.6 z NULL  130.657 32.463 -10.290 0.270
OBS: 55951.6 z NULL  50.725 25.673 -9.263 0.550
OBS: 55954.4 z NULL  114.843 35.160 -10.150 0.332
OBS: 55957.4 z NULL  52.151 23.439 -9.293 0.488
OBS: 55959.5 z NULL  80.866 33.008 -9.769 0.443
END:
