SURVEY:  PS1MD
SNTYPE: 1
SNID:  350235
IAUC:    UNKNOWN
RA:   184.350204 deg
DECL:   48.346244 deg
FILTERS: griz
HOSTGAL_LOGMASS: 10.127 +- 0.406
HOSTGAL_SNSEP: 19.739133216329648
SEARCH_PEAKMJD: 55946.0
 
REDSHIFT_HELIO: 0.263 +- 0.001 
REDSHIFT_CMB: 0.2638439352 +- 0.001
VPEC: -20.7396 +- 250.0
NOBS: 54
MWEBV: 0.0122 +- 0.0002 MW E(B-V)
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 55947.6 g NULL  102.241 8.093 -10.024 0.086
OBS: 55949.6 g NULL  81.323 11.864 -9.776 0.158
OBS: 55952.6 g NULL  55.677 7.124 -9.364 0.139
OBS: 55955.7 g NULL  46.575 9.283 -9.170 0.216
OBS: 55970.6 g NULL  -2.956 12.574 27.5 -4.618
OBS: 55973.6 g NULL  35.917 14.328 -8.888 0.433
OBS: 55981.6 g NULL  12.938 7.795 -7.780 0.654
OBS: 55984.6 g NULL  13.231 6.229 -7.804 0.511
OBS: 56000.5 g NULL  10.002 8.127 -7.500 0.882
OBS: 56006.5 g NULL  1.103 5.869 -5.107 5.777
OBS: 55947.6 r NULL  200.600 8.740 -10.756 0.047
OBS: 55952.6 r NULL  161.058 7.239 -10.517 0.049
OBS: 55970.6 r NULL  17.646 30.661 -8.117 1.887
OBS: 55973.6 r NULL  28.508 10.983 -8.637 0.418
OBS: 55977.6 r NULL  52.820 20.465 -9.307 0.421
OBS: 55981.6 r NULL  27.442 9.539 -8.596 0.377
OBS: 55984.6 r NULL  24.732 10.077 -8.483 0.442
OBS: 56000.5 r NULL  8.953 7.148 -7.380 0.867
OBS: 56006.5 r NULL  18.718 10.840 -8.181 0.629
OBS: 55939.6 i NULL  274.765 16.849 -11.097 0.067
OBS: 55945.6 i NULL  210.682 8.696 -10.809 0.045
OBS: 55948.6 i NULL  210.845 11.281 -10.810 0.058
OBS: 55950.6 i NULL  166.953 8.534 -10.556 0.055
OBS: 55956.6 i NULL  152.880 8.912 -10.461 0.063
OBS: 55960.7 i NULL  143.566 9.098 -10.393 0.069
OBS: 55968.6 i NULL  119.022 9.643 -10.189 0.088
OBS: 55971.6 i NULL  97.696 8.464 -9.975 0.094
OBS: 55974.6 i NULL  459.516 211.200 -11.656 0.499
OBS: 55977.6 i NULL  115.839 21.126 -10.160 0.198
OBS: 55979.6 i NULL  74.679 10.989 -9.683 0.160
OBS: 55985.6 i NULL  61.528 9.308 -9.473 0.164
OBS: 55998.5 i NULL  65.695 11.690 -9.544 0.193
OBS: 56001.6 i NULL  47.104 13.376 -9.183 0.308
OBS: 56007.5 i NULL  12.095 10.154 -7.706 0.912
OBS: 55935.6 z NULL  217.780 13.436 -10.845 0.067
OBS: 55940.6 z NULL  185.674 24.290 -10.672 0.142
OBS: 55946.7 z NULL  131.465 19.777 -10.297 0.163
OBS: 55949.6 z NULL  128.423 15.072 -10.272 0.127
OBS: 55951.6 z NULL  110.299 10.924 -10.106 0.108
OBS: 55954.6 z NULL  124.459 10.917 -10.238 0.095
OBS: 55957.6 z NULL  112.872 10.980 -10.131 0.106
OBS: 55959.6 z NULL  126.225 21.674 -10.253 0.186
OBS: 55961.7 z NULL  119.431 16.927 -10.193 0.154
OBS: 55967.5 z NULL  101.462 13.718 -10.016 0.147
OBS: 55969.6 z NULL  108.172 17.920 -10.085 0.180
OBS: 55972.6 z NULL  77.963 13.890 -9.730 0.193
OBS: 55975.6 z NULL  114.612 58.203 -10.148 0.551
OBS: 55983.6 z NULL  65.806 30.804 -9.546 0.508
OBS: 55988.6 z NULL  47.600 16.839 -9.194 0.384
OBS: 55997.5 z NULL  59.958 13.506 -9.445 0.245
OBS: 55999.5 z NULL  47.499 22.953 -9.192 0.525
OBS: 56002.6 z NULL  30.017 16.959 -8.693 0.613
OBS: 56005.6 z NULL  28.112 15.917 -8.622 0.615
OBS: 56013.4 z NULL  18.271 9.234 -8.154 0.549
END:
