SURVEY:  PS1MD
SNTYPE: 1
SNID:  370595
IAUC:    UNKNOWN
RA:   150.497646 deg
DECL:   1.325147 deg
FILTERS: griz
HOSTGAL_LOGMASS: 10.324 +- 0.128
HOSTGAL_SNSEP: 18.044930973563485
SEARCH_PEAKMJD: 56016.0
 
REDSHIFT_HELIO: 0.18 +- 0.01 
REDSHIFT_CMB: 0.181375646 +- 0.01
VPEC: 29.917 +- 250.0
NOBS: 38
MWEBV: 0.0195 +- 0.0009 MW E(B-V)
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 56000.5 g NULL  10.727 8.962 -7.576 0.907
OBS: 56006.4 g NULL  10.448 8.158 -7.548 0.848
OBS: 56014.3 g NULL  360.955 10.999 -11.394 0.033
OBS: 56029.4 g NULL  704.415 10.427 -12.120 0.016
OBS: 56032.4 g NULL  624.596 9.154 -11.989 0.016
OBS: 56040.3 g NULL  318.734 12.661 -11.259 0.043
OBS: 56043.3 g NULL  268.038 7.891 -11.070 0.032
OBS: 56000.5 r NULL  -4.875 12.839 27.5 -2.860
OBS: 56006.4 r NULL  31.955 10.086 -8.761 0.343
OBS: 56014.3 r NULL  306.911 11.902 -11.218 0.042
OBS: 56029.4 r NULL  720.294 12.466 -12.144 0.019
OBS: 56032.4 r NULL  661.821 13.587 -12.052 0.022
OBS: 56040.3 r NULL  467.885 10.772 -11.675 0.025
OBS: 56043.3 r NULL  387.625 13.906 -11.471 0.039
OBS: 55998.3 i NULL  -72.338 32.927 27.5 -0.494
OBS: 56001.5 i NULL  -9.868 7.723 27.5 -0.850
OBS: 56007.3 i NULL  19.834 7.119 -8.244 0.390
OBS: 56015.3 i NULL  349.973 7.769 -11.360 0.024
OBS: 56027.4 i NULL  623.274 12.802 -11.987 0.022
OBS: 56030.3 i NULL  611.391 10.966 -11.966 0.019
OBS: 56033.3 i NULL  565.194 8.544 -11.880 0.016
OBS: 56038.3 i NULL  404.727 11.367 -11.518 0.030
OBS: 56041.3 i NULL  350.482 7.374 -11.362 0.023
OBS: 56044.3 i NULL  329.505 11.039 -11.295 0.036
OBS: 55997.4 z NULL  9.937 9.246 -7.493 1.010
OBS: 55999.3 z NULL  22.511 23.133 -8.381 1.116
OBS: 56002.3 z NULL  2.177 18.842 -5.845 9.395
OBS: 56005.3 z NULL  7.533 10.222 -7.192 1.473
OBS: 56010.3 z NULL  116.650 14.207 -10.167 0.132
OBS: 56013.3 z NULL  207.259 19.088 -10.791 0.100
OBS: 56016.3 z NULL  326.331 21.199 -11.284 0.071
OBS: 56028.3 z NULL  361.813 9.767 -11.396 0.029
OBS: 56031.3 z NULL  301.744 12.795 -11.199 0.046
OBS: 56037.3 z NULL  220.165 16.286 -10.857 0.080
OBS: 56039.3 z NULL  174.855 18.966 -10.607 0.118
OBS: 56042.3 z NULL  185.822 11.331 -10.673 0.066
OBS: 56045.3 z NULL  193.892 17.073 -10.719 0.096
OBS: 56056.3 z NULL  154.139 92.734 -10.470 0.653
END:
