SURVEY:  PS1MD
SNTYPE: 1
SNID:  440008
IAUC:    UNKNOWN
RA:   52.673479 deg
DECL:   -28.863211 deg
FILTERS: griz
HOSTGAL_LOGMASS: 10.064 +- 0.21
HOSTGAL_SNSEP: 18.581878626070818
SEARCH_PEAKMJD: 56207.0
 
REDSHIFT_HELIO: 0.147 +- 0.001 
REDSHIFT_CMB: 0.1465606158 +- 0.001
VPEC: 10.5023 +- 250.0
NOBS: 44
MWEBV: 0.0080 +- 0.0005 MW E(B-V)
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 56206.5 g NULL  515.312 22.784 -11.780 0.048
OBS: 56209.5 g NULL  723.155 13.729 -12.148 0.021
OBS: 56214.5 g NULL  945.162 16.325 -12.439 0.019
OBS: 56217.5 g NULL  930.965 18.522 -12.422 0.022
OBS: 56220.5 g NULL  848.031 23.493 -12.321 0.030
OBS: 56235.4 g NULL  221.580 19.057 -10.864 0.093
OBS: 56238.4 g NULL  221.926 24.178 -10.866 0.118
OBS: 56268.4 g NULL  58.540 12.564 -9.419 0.233
OBS: 56271.4 g NULL  35.894 11.063 -8.888 0.335
OBS: 56206.6 r NULL  504.822 16.701 -11.758 0.036
OBS: 56209.5 r NULL  680.295 15.106 -12.082 0.024
OBS: 56213.5 r NULL  900.452 24.684 -12.386 0.030
OBS: 56217.5 r NULL  964.323 15.316 -12.461 0.017
OBS: 56220.5 r NULL  934.124 21.492 -12.426 0.025
OBS: 56235.5 r NULL  476.853 12.399 -11.696 0.028
OBS: 56238.4 r NULL  402.899 28.544 -11.513 0.077
OBS: 56242.4 r NULL  373.201 16.749 -11.430 0.049
OBS: 56268.4 r NULL  95.048 13.954 -9.945 0.159
OBS: 56271.4 r NULL  131.488 14.395 -10.297 0.119
OBS: 56204.5 i NULL  347.607 16.328 -11.353 0.051
OBS: 56207.6 i NULL  570.865 19.411 -11.891 0.037
OBS: 56210.5 i NULL  668.693 17.047 -12.063 0.028
OBS: 56213.5 i NULL  768.856 19.069 -12.215 0.027
OBS: 56215.5 i NULL  711.321 19.759 -12.130 0.030
OBS: 56218.5 i NULL  764.234 15.713 -12.208 0.022
OBS: 56221.5 i NULL  730.884 18.788 -12.160 0.028
OBS: 56233.5 i NULL  379.274 16.729 -11.447 0.048
OBS: 56236.4 i NULL  397.779 16.331 -11.499 0.045
OBS: 56239.5 i NULL  363.040 19.095 -11.400 0.057
OBS: 56242.4 i NULL  354.319 19.813 -11.373 0.061
OBS: 56205.5 z NULL  277.428 15.983 -11.108 0.063
OBS: 56208.6 z NULL  397.816 18.206 -11.499 0.050
OBS: 56211.5 z NULL  511.125 13.911 -11.771 0.030
OBS: 56214.5 z NULL  501.765 23.659 -11.751 0.051
OBS: 56216.5 z NULL  456.883 31.187 -11.650 0.074
OBS: 56219.5 z NULL  418.353 14.151 -11.554 0.037
OBS: 56222.5 z NULL  404.456 13.183 -11.517 0.035
OBS: 56226.5 z NULL  286.425 14.413 -11.143 0.055
OBS: 56229.5 z NULL  270.716 24.943 -11.081 0.100
OBS: 56232.5 z NULL  195.356 19.933 -10.727 0.111
OBS: 56234.4 z NULL  232.974 16.772 -10.918 0.078
OBS: 56251.4 z NULL  275.862 70.393 -11.102 0.277
OBS: 56259.4 z NULL  183.240 18.910 -10.658 0.112
OBS: 56262.4 z NULL  159.903 29.015 -10.510 0.197
END:
