SURVEY:  PS1MD
SNTYPE: 1
SNID:  550059
IAUC:    UNKNOWN
RA:   351.302917 deg
DECL:   -1.024506 deg
FILTERS: griz
HOSTGAL_LOGMASS: 10.2437624781 +- 0.1
HOSTGAL_SNSEP: 20.901391556466088
SEARCH_PEAKMJD: 56559.0
 
MWEBV: 0.0332 +- 0.0009 MW E(B-V)
REDSHIFT_HELIO: 0.32 +- 0.001 
REDSHIFT_CMB: 0.3183915382 +- 0.001
NOBS: 48
VPEC: -23.6889 +- 250.0
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 56531.6 g NULL  2.961 15.320 -6.179 5.618
OBS: 56534.6 g NULL  11.632 7.936 -7.664 0.741
OBS: 56537.6 g NULL  13.613 8.877 -7.835 0.708
OBS: 56539.5 g NULL  7.921 10.386 -7.247 1.424
OBS: 56574.4 g NULL  27.986 17.318 -8.617 0.672
OBS: 56590.4 g NULL  17.745 7.508 -8.123 0.459
OBS: 56593.3 g NULL  12.262 10.809 -7.721 0.957
OBS: 56601.3 g NULL  6.801 15.908 -7.081 2.540
OBS: 56531.6 r NULL  -0.311 10.794 27.5 -37.683
OBS: 56534.6 r NULL  -1.182 7.566 27.5 -6.950
OBS: 56537.6 r NULL  2.491 7.153 -5.991 3.118
OBS: 56538.6 r NULL  10.419 6.463 -7.545 0.673
OBS: 56567.3 r NULL  89.077 15.359 -9.874 0.187
OBS: 56574.4 r NULL  172.062 123.988 -10.589 0.782
OBS: 56590.4 r NULL  28.604 11.504 -8.641 0.437
OBS: 56593.3 r NULL  27.697 10.448 -8.606 0.410
OBS: 56597.3 r NULL  -26.073 8.703 27.5 -0.362
OBS: 56601.4 r NULL  34.899 24.759 -8.857 0.770
OBS: 56626.3 r NULL  -26.192 19.606 27.5 -0.813
OBS: 56532.5 i NULL  2.165 9.585 -5.839 4.806
OBS: 56538.5 i NULL  7.810 6.625 -7.232 0.921
OBS: 56543.6 i NULL  31.936 8.843 -8.761 0.301
OBS: 56550.5 i NULL  75.685 12.627 -9.698 0.181
OBS: 56558.5 i NULL  141.222 19.412 -10.375 0.149
OBS: 56567.3 i NULL  121.475 15.413 -10.211 0.138
OBS: 56569.3 i NULL  117.546 7.801 -10.176 0.072
OBS: 56575.3 i NULL  77.196 7.001 -9.719 0.098
OBS: 56588.4 i NULL  39.355 9.062 -8.988 0.250
OBS: 56599.3 i NULL  44.190 10.275 -9.113 0.252
OBS: 56626.3 i NULL  35.258 19.292 -8.868 0.594
OBS: 56530.5 z NULL  -17.075 13.395 27.5 -0.852
OBS: 56536.5 z NULL  -0.175 11.959 27.5 -74.281
OBS: 56539.5 z NULL  26.269 16.940 -8.549 0.700
OBS: 56544.5 z NULL  45.839 22.979 -9.153 0.544
OBS: 56549.5 z NULL  108.699 10.013 -10.091 0.100
OBS: 56557.5 z NULL  138.169 17.834 -10.351 0.140
OBS: 56559.5 z NULL  129.487 21.301 -10.281 0.179
OBS: 56562.4 z NULL  135.378 18.345 -10.329 0.147
OBS: 56568.4 z NULL  95.158 17.562 -9.946 0.200
OBS: 56570.3 z NULL  90.226 12.523 -9.888 0.151
OBS: 56573.5 z NULL  60.761 20.683 -9.459 0.370
OBS: 56584.4 z NULL  78.026 18.907 -9.731 0.263
OBS: 56587.4 z NULL  41.785 9.772 -9.053 0.254
OBS: 56589.4 z NULL  57.372 10.954 -9.397 0.207
OBS: 56592.3 z NULL  61.210 9.762 -9.467 0.173
OBS: 56595.3 z NULL  52.533 10.879 -9.301 0.225
OBS: 56600.3 z NULL  7.784 19.674 -7.228 2.744
OBS: 56613.3 z NULL  34.316 14.568 -8.839 0.461
END:
