SURVEY:  PS1MD
SNID: 560150
IAUC:    UNKNOWN
RA:   333.9607 deg
DECL:   1.227583 deg
REDSHIFT_HELIO: 0.201 +- 0.001 
REDSHIFT_CMB: 0.199569581 +- 0.001
VPEC: -32.2034 +- 250.0
MWEBV: 0.0366 +- 0.0003 MW E(B-V)
HOSTGAL_LOGMASS: 11.4580 +- 0.0555
SEARCH_PEAKMJD: 56593.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: PSc560150.0x1613.dougpv3.phot1
NOBS: 31
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: dsp054

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 56563.3 g NULL  5.176 12.907 -6.785 2.707
OBS: 56571.2 g NULL  7.162 8.846 -7.138 1.341
OBS: 56574.2 g NULL  39.139 18.596 -8.982 0.516
OBS: 56590.3 g NULL  434.481 9.720 -11.595 0.024
OBS: 56593.3 g NULL  426.157 11.963 -11.574 0.030
OBS: 56596.2 g NULL  326.282 14.319 -11.284 0.048
OBS: 56601.2 g NULL  245.014 35.358 -10.973 0.157
OBS: 56628.3 g NULL  115.256 69.281 -10.154 0.653
OBS: 56571.2 r NULL  11.104 9.498 -7.614 0.929
OBS: 56574.3 r NULL  -1014.106 801.214 27.5 -0.858
OBS: 56590.3 r NULL  437.025 10.015 -11.601 0.025
OBS: 56593.3 r NULL  452.528 10.516 -11.639 0.025
OBS: 56596.3 r NULL  431.158 14.438 -11.587 0.036
OBS: 56597.3 r NULL  398.705 11.586 -11.502 0.032
OBS: 56626.2 r NULL  46.658 42.485 -9.172 0.989
OBS: 56564.4 i NULL  11.304 25.016 -7.633 2.403
OBS: 56567.2 i NULL  -8.632 40.118 27.5 -5.046
OBS: 56569.3 i NULL  -11.836 17.315 27.5 -1.588
OBS: 56575.3 i NULL  54.543 14.187 -9.342 0.282
OBS: 56588.4 i NULL  381.628 12.362 -11.454 0.035
OBS: 56597.2 i NULL  389.616 9.890 -11.477 0.028
OBS: 56599.3 i NULL  345.918 17.376 -11.347 0.055
OBS: 56626.2 i NULL  54.176 32.085 -9.335 0.643
OBS: 56570.3 z NULL  -4.712 16.147 27.5 -3.721
OBS: 56584.3 z NULL  245.650 21.300 -10.976 0.094
OBS: 56589.3 z NULL  236.236 18.880 -10.933 0.087
OBS: 56592.3 z NULL  240.459 19.133 -10.953 0.086
OBS: 56595.2 z NULL  197.434 18.619 -10.739 0.102
OBS: 56600.3 z NULL  172.267 29.043 -10.591 0.183
OBS: 56613.3 z NULL  131.705 19.099 -10.299 0.157
OBS: 56628.2 z NULL  71.539 27.240 -9.636 0.413
END:
