SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: ASASSN-14lw 
IAUC: UNKNOWN
RA:    16.704880 deg
DECL:   -46.983320 deg 
RA_HOST:    16.699710
DEC_HOST:   -46.984310
MWEBV: 0.012000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.0209 +- 9e-05 
REDSHIFT_CMB: 0.0202656 +- 9e-05 
VPEC: 146.6573 +- 250.0
HOSTGAL_LOGMASS: 0.0000 +- 0.000
FILTERS: BNUVWX
SEARCH_PEAKMJD: 57008.5
NOBS: 36
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 57008.5 X NULL 3962.78 346.736 18.505 0.095
OBS: 57010.6 X NULL 4281.54 362.797 18.421 0.092
OBS: 57012.1 X NULL 3951.85 353.059 18.508 0.097
OBS: 57014.3 X NULL 3847.69 343.754 18.537 0.097
OBS: 57016.1 X NULL 3742.83 341.28 18.567 0.099
OBS: 57018.2 X NULL 3302.17 316.307 18.703 0.104
OBS: 57020.1 X NULL 2764.39 280.071 18.896 0.11
OBS: 57022.2 X NULL 2734.01 284.547 18.908 0.113
OBS: 57024.3 X NULL 2278.24 253.899 19.106 0.121
OBS: 57026.5 X NULL 1935.53 231.75 19.283 0.13
OBS: 57028.8 X NULL 1356.44 259.86 19.669 0.208
OBS: 57030.7 X NULL 1224.62 219.943 19.78 0.195
OBS: 57008.5 N NULL 1606.94 223.487 19.485 0.151
OBS: 57010.6 N NULL 1801.36 242.23 19.361 0.146
OBS: 57012.1 N NULL 1806.34 249.555 19.358 0.15
OBS: 57014.3 N NULL 1745.82 249.234 19.395 0.155
OBS: 57016.2 N NULL 1788.13 256.921 19.369 0.156
OBS: 57018.2 N NULL 1729.82 248.542 19.405 0.156
OBS: 57020.1 N NULL 1203.37 211.694 19.799 0.191
OBS: 57022.2 N NULL 1400.88 225.795 19.634 0.175
OBS: 57024.3 N NULL 1547.39 233.733 19.526 0.164
OBS: 57026.5 N NULL 1203.37 211.694 19.799 0.191
OBS: 57028.8 N NULL 832.53 246.139 20.199 0.321
OBS: 57030.8 N NULL 1006.47 279.024 19.993 0.301
OBS: 57008.5 W NULL 17799.2 1049.19 16.874 0.064
OBS: 57010.6 W NULL 17394 1025.31 16.899 0.064
OBS: 57012.1 W NULL 17362 1023.42 16.901 0.064
OBS: 57014.3 W NULL 15473.9 926.38 17.026 0.065
OBS: 57016.2 W NULL 14955.5 909.117 17.063 0.066
OBS: 57018.2 W NULL 12405.1 776.935 17.266 0.068
OBS: 57020.1 W NULL 10884.3 691.711 17.408 0.069
OBS: 57022.2 W NULL 9700.63 643.292 17.533 0.072
OBS: 57024.3 W NULL 7726.81 555.099 17.78 0.078
OBS: 57026.5 W NULL 5765.01 451.33 18.098 0.085
OBS: 57028.8 W NULL 5199.96 502.881 18.21 0.105
OBS: 57030.8 W NULL 3805.4 466.152 18.549 0.133
END:
