SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: LSQ12gdj 
IAUC: UNKNOWN
RA:   358.680500 deg
DECL:   -25.676110 deg 
RA_HOST:   358.688210
DEC_HOST:   -25.673140
MWEBV: 0.020100 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.029911 +- 0.000103 
REDSHIFT_CMB: 0.0288624 +- 0.000103 
VPEC: -175.7151 +- 250.0
HOSTGAL_LOGMASS: 6.8042 +- 0.083
FILTERS: BNUVWX
SEARCH_PEAKMJD: 56249.2
NOBS: 73
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 56243.9 X NULL 4703.27 450.515 18.319 0.104
OBS: 56246.2 X NULL 6075.75 526.022 18.041 0.094
OBS: 56249.2 X NULL 6075.75 531.618 18.041 0.095
OBS: 56252.1 X NULL 5306.4 483.85 18.188 0.099
OBS: 56255.2 X NULL 4341.1 423.82 18.406 0.106
OBS: 56258.7 X NULL 3416.65 374.475 18.666 0.119
OBS: 56261.1 X NULL 2789.97 323.777 18.886 0.126
OBS: 56264.3 X NULL 1477.75 238.185 19.576 0.175
OBS: 56267.3 X NULL 1125.12 223.836 19.872 0.216
OBS: 56270.8 X NULL 859.014 204.125 20.165 0.258
OBS: 56243.9 N NULL 3657.63 343.618 18.592 0.102
OBS: 56246.3 N NULL 3837.07 356.942 18.54 0.101
OBS: 56249.2 N NULL 4429.96 399.854 18.384 0.098
OBS: 56252.1 N NULL 4145.72 374.198 18.456 0.098
OBS: 56255.2 N NULL 3438.75 329.389 18.659 0.104
OBS: 56258.7 N NULL 2975.77 323.413 18.816 0.118
OBS: 56261.1 N NULL 1928.41 250.435 19.287 0.141
OBS: 56264.3 N NULL 1624.8 230.46 19.473 0.154
OBS: 56267.3 N NULL 946.237 198.706 20.06 0.228
OBS: 56270.8 N NULL 662.522 174.519 20.447 0.286
OBS: 56243.8 W NULL 23878.1 1517.49 16.555 0.069
OBS: 56246.2 W NULL 29430.7 1789.04 16.328 0.066
OBS: 56249.2 W NULL 27848.4 1718.5 16.388 0.067
OBS: 56252.1 W NULL 22803.4 1449.19 16.605 0.069
OBS: 56255.2 W NULL 16278 1109.45 16.971 0.074
OBS: 56258.7 W NULL 10646.3 813.868 17.432 0.083
OBS: 56261.1 W NULL 7620.79 631.711 17.795 0.09
OBS: 56264.3 W NULL 5665 526.984 18.117 0.101
OBS: 56267.3 W NULL 3483.37 423.496 18.645 0.132
OBS: 56270.8 W NULL 2486.57 354.983 19.011 0.155
OBS: 56279.4 W NULL 1222.36 302.85 19.782 0.269
OBS: 56243.9 U NULL 65705.2 3691.52 15.456 0.061
OBS: 56246.2 U NULL 86696.2 4232.06 15.155 0.053
OBS: 56249.2 U NULL 98446.4 4714.97 15.017 0.052
OBS: 56252.1 U NULL 92725.7 4440.98 15.082 0.052
OBS: 56255.2 U NULL 72110.7 3852.15 15.355 0.058
OBS: 56258.7 U NULL 52287.8 3034 15.704 0.063
OBS: 56261.1 U NULL 39737.5 2342.37 16.002 0.064
OBS: 56264.3 U NULL 28002.7 1753.82 16.382 0.068
OBS: 56267.3 U NULL 17963.9 1273.99 16.864 0.077
OBS: 56270.8 U NULL 11365.8 900.273 17.361 0.086
OBS: 56279.4 U NULL 4554.07 604.002 18.354 0.144
OBS: 56286.3 U NULL 2644.84 475.018 18.944 0.195
OBS: 56293.4 U NULL 2739.05 580.234 18.906 0.23
OBS: 56300.1 U NULL 1818.03 540.852 19.351 0.323
OBS: 56243.9 B NULL 20248.8 1156.29 16.734 0.062
OBS: 56246.2 B NULL 30422.9 1653.21 16.292 0.059
OBS: 56249.2 B NULL 38406.1 2051.65 16.039 0.058
OBS: 56252.1 B NULL 38904.5 2042.45 16.025 0.057
OBS: 56255.2 B NULL 38512.3 2057.33 16.036 0.058
OBS: 56258.7 B NULL 35974.9 1921.78 16.11 0.058
OBS: 56261.1 B NULL 32628.7 1743.03 16.216 0.058
OBS: 56264.3 B NULL 26497.2 1464.29 16.442 0.06
OBS: 56267.3 B NULL 20682.4 1200.1 16.711 0.063
OBS: 56270.8 B NULL 13957.3 861.292 17.138 0.067
OBS: 56279.4 B NULL 5839.83 510.975 18.084 0.095
OBS: 56286.3 B NULL 3647.54 403.141 18.595 0.12
OBS: 56293.4 B NULL 2779.71 432.676 18.89 0.169
OBS: 56300.1 B NULL 2657.05 423.372 18.939 0.173
OBS: 56243.9 V NULL 21066.9 1455.25 16.691 0.075
OBS: 56246.2 V NULL 30563.3 1942.34 16.287 0.069
OBS: 56249.2 V NULL 34324.2 2118.12 16.161 0.067
OBS: 56252.1 V NULL 36274.4 2205.06 16.101 0.066
OBS: 56255.2 V NULL 37393.8 2273.11 16.068 0.066
OBS: 56258.7 V NULL 39156.2 2380.23 16.018 0.066
OBS: 56261.1 V NULL 36643.8 2227.51 16.09 0.066
OBS: 56264.3 V NULL 32628.7 2013.49 16.216 0.067
OBS: 56267.3 V NULL 28681.4 1875.57 16.356 0.071
OBS: 56270.8 V NULL 23184.6 1622.89 16.587 0.076
OBS: 56279.4 V NULL 15834.3 1283.39 17.001 0.088
OBS: 56286.3 V NULL 11502.7 1101.82 17.348 0.104
OBS: 56293.4 V NULL 9638.29 1083.02 17.54 0.122
OBS: 56300.1 V NULL 6943.84 984.91 17.896 0.154
END:
