SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: 2007cv 
IAUC: 2007cv
RA:   159.439170 deg
DECL:   -27.082500 deg 
RA_HOST:   159.447710
DEC_HOST:   -27.081690
MWEBV: 0.060900 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.009974 +- 0.00015 
REDSHIFT_CMB: 0.011133 +- 0.00015 
VPEC: 147.3693 +- 250.0
HOSTGAL_LOGMASS: 6.7238 +- 0.021
FILTERS: BNUVWX
SEARCH_PEAKMJD: 54287.1
NOBS: 91
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 54281.8 X NULL 1131.36 193.816 19.866 0.186
OBS: 54283.8 X NULL 2011.87 255.714 19.241 0.138
OBS: 54285.1 X NULL 3206.27 342.558 18.735 0.116
OBS: 54287.1 X NULL 3815.93 365.518 18.546 0.104
OBS: 54288.9 X NULL 4647.29 445.153 18.332 0.104
OBS: 54291 X NULL 3473.76 380.735 18.648 0.119
OBS: 54295.9 X NULL 1991.59 486.095 19.252 0.265
OBS: 54297 X NULL 2443.43 308.316 19.03 0.137
OBS: 54298.1 X NULL 2034.23 228.579 19.229 0.122
OBS: 54299.1 X NULL 2333.46 287.992 19.08 0.134
OBS: 54301.1 X NULL 2075.87 277.232 19.207 0.145
OBS: 54303.1 X NULL 1397.01 307.52 19.637 0.239
OBS: 54305.1 X NULL 822.621 187.9 20.212 0.248
OBS: 54308.1 X NULL 685.488 126.903 20.41 0.201
OBS: 54311.6 X NULL 927.257 145.186 20.082 0.17
OBS: 54314.1 X NULL 573.324 129.9 20.604 0.246
OBS: 54285.1 N NULL 735.868 231.116 20.333 0.341
OBS: 54287.1 N NULL 776.247 215.2 20.275 0.301
OBS: 54288.9 N NULL 1122.02 272.822 19.875 0.264
OBS: 54291.1 N NULL 1234.81 205.852 19.771 0.181
OBS: 54292.5 N NULL 1326.78 294.505 19.693 0.241
OBS: 54298.1 N NULL 1318.26 214.906 19.7 0.177
OBS: 54299.1 N NULL 1445.44 322.174 19.6 0.242
OBS: 54301.1 N NULL 953.235 287.094 20.052 0.327
OBS: 54305.1 N NULL 859.805 145.711 20.164 0.184
OBS: 54281.8 W NULL 5053.59 553.889 18.241 0.119
OBS: 54283.8 W NULL 10356.2 858.456 17.462 0.09
OBS: 54285.1 W NULL 14763.9 1115.04 17.077 0.082
OBS: 54287.1 W NULL 17864.9 1250.52 16.87 0.076
OBS: 54288.9 W NULL 19516.4 1402.07 16.774 0.078
OBS: 54291 W NULL 17171.2 1296.85 16.913 0.082
OBS: 54293.7 W NULL 12752.6 810.447 17.236 0.069
