SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: 2010gn 
IAUC: 2010gn
RA:   259.457920 deg
DECL:    40.881110 deg 
RA_HOST:   259.458580
DEC_HOST:    40.881280
MWEBV: 0.026200 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.03136 +- 6e-05 
REDSHIFT_CMB: 0.0312313 +- 6e-05 
VPEC: -70.0449 +- 250.0
HOSTGAL_LOGMASS: 7.9065 +- 0.021
FILTERS: BNUVWX
SEARCH_PEAKMJD: 55387.6
NOBS: 50
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 55385.2 X NULL 935.837 217.208 20.072 0.252
OBS: 55387.6 X NULL 1080.44 231.863 19.916 0.233
OBS: 55391.5 X NULL 1129.28 245.464 19.868 0.236
OBS: 55393.6 X NULL 1037.53 228.388 19.96 0.239
OBS: 55396.8 X NULL 684.857 208.787 20.411 0.331
OBS: 55397.8 X NULL 755.092 214.203 20.305 0.308
OBS: 55385.2 N NULL 740.628 217.604 20.326 0.319
OBS: 55391.5 N NULL 724.436 233.531 20.35 0.35
OBS: 55385.2 W NULL 4442.22 470.515 18.381 0.115
OBS: 55387.6 W NULL 4808.39 491.585 18.295 0.111
OBS: 55391.5 W NULL 3647.54 450.174 18.595 0.134
OBS: 55393.6 W NULL 3467.37 421.551 18.65 0.132
OBS: 55396.8 W NULL 2556.23 374.346 18.981 0.159
OBS: 55397.8 W NULL 2253.2 363.173 19.118 0.175
OBS: 55399.6 W NULL 1836.54 345.069 19.34 0.204
OBS: 55401.5 W NULL 1208.93 317.337 19.794 0.285
OBS: 55403.7 W NULL 1157.71 309.224 19.841 0.29
OBS: 55385.2 U NULL 19019.5 1313.82 16.802 0.075
OBS: 55387.6 U NULL 22120.8 1507.67 16.638 0.074
OBS: 55391.5 U NULL 18984.5 1381.35 16.804 0.079
OBS: 55393.6 U NULL 15163.5 1145.22 17.048 0.082
OBS: 55396.8 U NULL 10509.9 909.921 17.446 0.094
OBS: 55397.8 U NULL 9523.57 868.382 17.553 0.099
OBS: 55399.6 U NULL 6911.94 738.471 17.901 0.116
OBS: 55401.5 U NULL 4786.3 687.702 18.3 0.156
OBS: 55403.7 U NULL 3293.06 561.109 18.706 0.185
OBS: 55405.3 U NULL 3253.87 560.425 18.719 0.187
OBS: 55407.3 U NULL 1997.1 494.798 19.249 0.269
OBS: 55385.2 B NULL 13353.7 824.044 17.186 0.067
OBS: 55387.6 B NULL 15995.6 957.611 16.99 0.065
OBS: 55391.5 B NULL 17442.1 1060.28 16.896 0.066
OBS: 55393.6 B NULL 16580.6 977.362 16.951 0.064
OBS: 55396.8 B NULL 14873 904.107 17.069 0.066
OBS: 55397.8 B NULL 13829.3 866.133 17.148 0.068
OBS: 55399.6 B NULL 11471 750.126 17.351 0.071
OBS: 55401.5 B NULL 9187.56 702.35 17.592 0.083
OBS: 55403.7 B NULL 7620.79 568.54 17.795 0.081
OBS: 55405.3 B NULL 6315.39 506.052 17.999 0.087
OBS: 55407.3 B NULL 4786.3 432.018 18.3 0.098
OBS: 55385.2 V NULL 12089.3 1135.73 17.294 0.102
OBS: 55387.6 V NULL 14401.2 1286.61 17.104 0.097
OBS: 55391.5 V NULL 17555 1471.35 16.889 0.091
OBS: 55393.6 V NULL 16338 1354.31 16.967 0.09
OBS: 55396.8 V NULL 15093.8 1306.78 17.053 0.094
OBS: 55397.8 V NULL 14243 1272.47 17.116 0.097
OBS: 55399.6 V NULL 12942 1227.76 17.22 0.103
OBS: 55401.6 V NULL 15275.7 1899.37 17.04 0.135
OBS: 55403.6 V NULL 11481.5 1300.71 17.35 0.123
OBS: 55405.3 V NULL 9444.96 1069.99 17.562 0.123
OBS: 55407.3 V NULL 9506.05 1041.89 17.555 0.119
END:
