SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: 2010gp 
IAUC: 2010gp
RA:   253.239120 deg
DECL:     2.387890 deg 
RA_HOST:   253.245290
DEC_HOST:     2.400920
MWEBV: 0.065300 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.024307 +- 2.7e-05 
REDSHIFT_CMB: 0.0244004 +- 2.7e-05 
VPEC: 74.4935 +- 250.0
HOSTGAL_LOGMASS: 8.3736 +- 0.006
FILTERS: BNUVWX
SEARCH_PEAKMJD: 55406.3
NOBS: 72
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 55401.7 X NULL 1004.62 204.488 19.995 0.221
OBS: 55404.7 X NULL 1233.67 207.935 19.772 0.183
OBS: 55406.3 X NULL 923.847 171.881 20.086 0.202
OBS: 55408.5 X NULL 1041.36 178.397 19.956 0.186
OBS: 55410.3 X NULL 1063.65 183.197 19.933 0.187
OBS: 55412.1 X NULL 1050.99 177.144 19.946 0.183
OBS: 55414.5 X NULL 642.688 142.657 20.48 0.241
OBS: 55416.7 X NULL 429.734 129.031 20.917 0.326
OBS: 55401.7 W NULL 4537.33 539.095 18.358 0.129
OBS: 55404.7 W NULL 4879.78 503.377 18.279 0.112
OBS: 55406.3 W NULL 5365.37 499.111 18.176 0.101
OBS: 55408.5 W NULL 3156.46 375.029 18.752 0.129
OBS: 55410.3 W NULL 3329.66 386.408 18.694 0.126
OBS: 55412.1 W NULL 2937.65 357.149 18.83 0.132
OBS: 55414.5 W NULL 2118.36 304.369 19.185 0.156
OBS: 55416.7 W NULL 1707.65 275.241 19.419 0.175
OBS: 55418.3 W NULL 1168.42 294.867 19.831 0.274
OBS: 55421.4 W NULL 1271.74 279.946 19.739 0.239
OBS: 55429.5 W NULL 705.342 220.879 20.379 0.34
OBS: 55401.7 U NULL 21340.3 1454.48 16.677 0.074
OBS: 55404.7 U NULL 23550.5 1605.12 16.57 0.074
OBS: 55406.3 U NULL 20044.7 1366.18 16.745 0.074
OBS: 55408.5 U NULL 17587.3 1231.09 16.887 0.076
OBS: 55410.3 U NULL 13170.4 1006.82 17.201 0.083
OBS: 55412.1 U NULL 11096.9 889.191 17.387 0.087
OBS: 55414.5 U NULL 8511.38 736.891 17.675 0.094
OBS: 55416.7 U NULL 7304.66 679.512 17.841 0.101
OBS: 55418.3 U NULL 5199.96 675.297 18.21 0.141
OBS: 55421.4 U NULL 4032.74 527.429 18.486 0.142
OBS: 55426.1 U NULL 3290.03 812.102 18.707 0.268
OBS: 55429.5 U NULL 1407.34 377.197 19.629 0.291
OBS: 55432.1 U NULL 1960.65 532.718 19.269 0.295
OBS: 55435.9 U NULL 1568.92 437.843 19.511 0.303
OBS: 55401.7 B NULL 23270.2 1350.26 16.583 0.063
OBS: 55404.7 B NULL 26717.8 1525.69 16.433 0.062
OBS: 55406.3 B NULL 26595 1494.19 16.438 0.061
OBS: 55408.5 B NULL 26013.6 1461.52 16.462 0.061
OBS: 55410.3 B NULL 24188 1381.23 16.541 0.062
OBS: 55412.1 B NULL 21301 1235.99 16.679 0.063
OBS: 55414.5 B NULL 17171.2 1012.18 16.913 0.064
OBS: 55416.7 B NULL 13502.1 845.638 17.174 0.068
OBS: 55418.3 B NULL 12314 850.623 17.274 0.075
OBS: 55421.4 B NULL 8542.8 621.588 17.671 0.079
OBS: 55426.1 B NULL 5866.78 724.07 18.079 0.134
OBS: 55429.5 B NULL 3854.78 386.992 18.535 0.109
OBS: 55432.1 B NULL 2664.4 441.721 18.936 0.18
OBS: 55435.9 B NULL 2427.73 364.471 19.037 0.163
OBS: 55438.7 B NULL 1509.38 357.28 19.553 0.257
OBS: 55441.1 B NULL 1561.71 317.883 19.516 0.221
OBS: 55444.4 B NULL 1457.47 289.954 19.591 0.216
OBS: 55447.8 B NULL 1648.92 340.192 19.457 0.224
OBS: 55450.1 B NULL 1262.41 333.701 19.747 0.287
OBS: 55453.2 B NULL 1747.43 350.859 19.394 0.218
OBS: 55401.7 V NULL 26940.1 1836.15 16.424 0.074
OBS: 55404.7 V NULL 30060.8 2048.84 16.305 0.074
OBS: 55406.3 V NULL 32598.7 2071.69 16.217 0.069
OBS: 55408.5 V NULL 31974.2 2032 16.238 0.069
OBS: 55410.3 V NULL 31275.2 2016.39 16.262 0.07
OBS: 55412.1 V NULL 30255.2 1950.62 16.298 0.07
OBS: 55414.5 V NULL 28209.8 1792.77 16.374 0.069
OBS: 55416.7 V NULL 25049.6 1661.15 16.503 0.072
OBS: 55418.3 V NULL 22490.5 1657.16 16.62 0.08
OBS: 55421.4 V NULL 20248.8 1491.99 16.734 0.08
OBS: 55426.1 V NULL 15374.5 1840.85 17.033 0.13
OBS: 55429.5 V NULL 11901.5 1030.39 17.311 0.094
OBS: 55435.9 V NULL 10148.5 1056.22 17.484 0.113
OBS: 55438.7 V NULL 7805.49 1099.94 17.769 0.153
OBS: 55441.1 V NULL 6205.83 885.946 18.018 0.155
OBS: 55444.4 V NULL 5556.48 798.363 18.138 0.156
OBS: 55447.8 V NULL 4421.81 806.382 18.386 0.198
OBS: 55450.1 V NULL 3351.2 740.776 18.687 0.24
OBS: 55453.2 V NULL 4558.27 785.086 18.353 0.187
END:
