SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: 2011M 
IAUC: 2011M
RA:    75.173120 deg
DECL:    62.244060 deg 
RA_HOST:    75.182120
DEC_HOST:    62.244030
MWEBV: 0.353500 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.017439 +- 4e-05 
REDSHIFT_CMB: 0.0172772 +- 4e-05 
VPEC: -370.7789 +- 250.0
HOSTGAL_LOGMASS: 8.5448 +- 0.007
FILTERS: BNUVWX
SEARCH_PEAKMJD: 55592.9
NOBS: 39
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 55586.7 X NULL 830.998 189.048 20.201 0.247
OBS: 55588.3 X NULL 826.418 184.962 20.207 0.243
OBS: 55590.9 X NULL 1148.15 208.325 19.85 0.197
OBS: 55592.8 X NULL 1027.07 263.925 19.971 0.279
OBS: 55594.8 X NULL 592.652 165.939 20.568 0.304
OBS: 55596.3 X NULL 856.643 196.46 20.168 0.249
OBS: 55598.3 X NULL 571.742 181.675 20.607 0.345
OBS: 55586.7 W NULL 3326.6 364.605 18.695 0.119
OBS: 55588.3 W NULL 4107.71 423.734 18.466 0.112
OBS: 55590.9 W NULL 4207.27 434.004 18.44 0.112
OBS: 55592.8 W NULL 4289.43 438.529 18.419 0.111
OBS: 55594.8 W NULL 3496.23 376.757 18.641 0.117
OBS: 55596.3 W NULL 3822.96 429.572 18.544 0.122
OBS: 55598.3 W NULL 2267.78 338.369 19.111 0.162
OBS: 55600.2 W NULL 2203.94 336.964 19.142 0.166
OBS: 55586.7 U NULL 17930.8 1156.04 16.866 0.07
OBS: 55588.3 U NULL 21737 1441.48 16.657 0.072
OBS: 55590.9 U NULL 24411.8 1596.37 16.531 0.071
OBS: 55592.8 U NULL 21028.1 1413.83 16.693 0.073
OBS: 55594.8 U NULL 19842.7 1315.86 16.756 0.072
OBS: 55596.3 U NULL 15951.4 1175.35 16.993 0.08
OBS: 55598.3 U NULL 13970.1 1042.22 17.137 0.081
OBS: 55600.2 U NULL 10597.4 878.452 17.437 0.09
OBS: 55586.7 B NULL 14941.7 935.803 17.064 0.068
OBS: 55588.3 B NULL 18163.5 1120.86 16.852 0.067
OBS: 55590.9 B NULL 20323.6 1235.43 16.73 0.066
OBS: 55592.8 B NULL 21222.7 1290.09 16.683 0.066
OBS: 55594.8 B NULL 21144.6 1265.87 16.687 0.065
OBS: 55596.3 B NULL 19697 1215.49 16.764 0.067
OBS: 55598.3 B NULL 19142.6 1181.27 16.795 0.067
OBS: 55600.2 B NULL 15360.3 1004.46 17.034 0.071
OBS: 55586.7 V NULL 19879.3 1391.52 16.754 0.076
OBS: 55588.3 V NULL 22100.4 1669.13 16.639 0.082
OBS: 55590.9 V NULL 26717.8 1894.81 16.433 0.077
OBS: 55592.9 V NULL 31535.5 2701.21 16.253 0.093
OBS: 55594.8 V NULL 28497.1 1916.01 16.363 0.073
OBS: 55596.3 V NULL 28183.8 1998.79 16.375 0.077
OBS: 55598.4 V NULL 29107.2 2627.25 16.34 0.098
OBS: 55600.2 V NULL 25680.3 1821.24 16.476 0.077
END:
