SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: 2011eh 
IAUC: 2011eh
RA:   169.632080 deg
DECL:    57.977000 deg 
RA_HOST:   169.650460
DEC_HOST:    58.000000
MWEBV: 0.010300 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.006693 +- 4.5e-05 
REDSHIFT_CMB: 0.0072178 +- 4.5e-05 
VPEC: -257.1932 +- 250.0
HOSTGAL_LOGMASS: 4.7821 +- 0.117
FILTERS: BNUVWX
SEARCH_PEAKMJD: 55774.1
NOBS: 35
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 55764.2 X NULL 1217.87 259.112 19.786 0.231
OBS: 55766.7 X NULL 1357.69 223.835 19.668 0.179
OBS: 55768.8 X NULL 1912.49 255.413 19.296 0.145
OBS: 55774.1 X NULL 1687.33 257.979 19.432 0.166
OBS: 55778.5 X NULL 981.748 221.535 20.02 0.245
OBS: 55780.6 X NULL 911.171 196.377 20.101 0.234
OBS: 55786.3 X NULL 579.162 190.967 20.593 0.358
OBS: 55764.2 W NULL 3262.87 495.861 18.716 0.165
OBS: 55766.7 W NULL 4226.69 459.365 18.435 0.118
OBS: 55768.8 W NULL 6504.29 581.095 17.967 0.097
OBS: 55774.1 W NULL 6362.09 603.55 17.991 0.103
OBS: 55778.5 W NULL 4222.8 513.393 18.436 0.132
OBS: 55780.6 W NULL 4168.69 460.741 18.45 0.12
OBS: 55786.3 W NULL 2212.08 297.46 19.138 0.146
OBS: 55764.2 U NULL 13390.6 1146.99 17.183 0.093
OBS: 55766.7 U NULL 19337.5 1407.03 16.784 0.079
OBS: 55768.8 U NULL 26989.8 1789.82 16.422 0.072
OBS: 55774.1 U NULL 24411.8 1731.28 16.531 0.077
OBS: 55778.5 U NULL 13085.8 1181.14 17.208 0.098
OBS: 55780.6 U NULL 9444.96 913.408 17.562 0.105
OBS: 55786.3 U NULL 6420.96 638.704 17.981 0.108
OBS: 55764.2 B NULL 38229.6 2112.65 16.044 0.06
OBS: 55766.7 B NULL 50582.5 2702.11 15.74 0.058
OBS: 55768.8 B NULL 59703.5 3134.37 15.56 0.057
OBS: 55774.1 B NULL 51191.8 2781.81 15.727 0.059
OBS: 55778.5 B NULL 26717.8 1599.52 16.433 0.065
OBS: 55780.6 B NULL 18063.4 1131.32 16.858 0.068
OBS: 55786.3 B NULL 10636.5 705.356 17.433 0.072
OBS: 55764.1 V NULL 50769.2 3600.53 15.736 0.077
OBS: 55766.7 V NULL 78559.7 4413.73 15.262 0.061
OBS: 55768.8 V NULL 93669.9 5003.84 15.071 0.058
OBS: 55774.1 V NULL 119015 6357.75 14.811 0.058
OBS: 55778.5 V NULL 92982.2 5224.03 15.079 0.061
OBS: 55780.6 V NULL 72912.2 4096.43 15.343 0.061
OBS: 55786.4 V NULL 49294.7 3450.56 15.768 0.076
END:
