SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: 2012hr 
IAUC: 2012hr
RA:    95.410250 deg
DECL:   -59.714060 deg 
RA_HOST:    95.411460
DEC_HOST:   -59.739920
MWEBV: 0.038900 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.007566 +- 1.8e-05 
REDSHIFT_CMB: 0.0078846 +- 1.8e-05 
VPEC: -75.7452 +- 250.0
HOSTGAL_LOGMASS: 0.0000 +- 0.000
FILTERS: BNUVWX
SEARCH_PEAKMJD: 56288.2
NOBS: 72
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 56282.2 X NULL 12022.6 1085.18 17.3 0.098
OBS: 56285.6 X NULL 15247.5 1067.31 17.042 0.076
OBS: 56286.4 X NULL 15388.6 1091.36 17.032 0.077
OBS: 56288.1 X NULL 16687.8 1275.72 16.944 0.083
OBS: 56290.1 X NULL 15205.5 1078.37 17.045 0.077
OBS: 56292.9 X NULL 12858.8 923.784 17.227 0.078
OBS: 56294.8 X NULL 10656.1 775.359 17.431 0.079
OBS: 56296.7 X NULL 8871.56 670.023 17.63 0.082
OBS: 56298.9 X NULL 7502.4 580.437 17.812 0.084
OBS: 56300.7 X NULL 6385.57 505.795 17.987 0.086
OBS: 56302.6 X NULL 5571.86 456.736 18.135 0.089
OBS: 56304.3 X NULL 3883.29 343.358 18.527 0.096
OBS: 56282.2 N NULL 2849.71 711.287 18.863 0.271
OBS: 56285.6 N NULL 5400.08 462.55 18.169 0.093
OBS: 56286.4 N NULL 6510.28 551.65 17.966 0.092
OBS: 56288.1 N NULL 6064.57 698.209 18.043 0.125
OBS: 56290.1 N NULL 6444.66 540.153 17.977 0.091
OBS: 56293 N NULL 5252.91 580.573 18.199 0.12
OBS: 56294.8 N NULL 4755.54 438.002 18.307 0.1
OBS: 56296.7 N NULL 4180.23 404.264 18.447 0.105
OBS: 56298.9 N NULL 3268.89 364.302 18.714 0.121
OBS: 56300.7 N NULL 2940.36 335.813 18.829 0.124
OBS: 56302.6 N NULL 1884.52 262.091 19.312 0.151
OBS: 56304.3 N NULL 2230.49 281.447 19.129 0.137
OBS: 56282.2 W NULL 53259.9 3237.57 15.684 0.066
OBS: 56285.6 W NULL 69310.7 3894.09 15.398 0.061
OBS: 56286.4 W NULL 70469.3 3959.18 15.38 0.061
OBS: 56288.2 W NULL 70534.2 4027.8 15.379 0.062
OBS: 56290.1 W NULL 61546 3514.53 15.527 0.062
OBS: 56292.9 W NULL 49888.4 2894.78 15.755 0.063
OBS: 56294.8 W NULL 39664.3 2301.53 16.004 0.063
OBS: 56296.7 W NULL 33790.9 2022.97 16.178 0.065
OBS: 56298.9 W NULL 27214.5 1654.32 16.413 0.066
OBS: 56300.7 W NULL 22346 1399.54 16.627 0.068
OBS: 56302.6 W NULL 18365.4 1184.06 16.84 0.07
OBS: 56304.3 W NULL 15761.6 1030.7 17.006 0.071
OBS: 56282.2 U NULL 243445 9417.27 14.034 0.042
OBS: 56285.6 U NULL 321810 12152.3 13.731 0.041
OBS: 56286.4 U NULL 323594 12219.7 13.725 0.041
OBS: 56288.2 U NULL 328095 12389.7 13.71 0.041
OBS: 56290.1 U NULL 288669 10900.8 13.849 0.041
OBS: 56292.9 U NULL 229721 8886.38 14.097 0.042
OBS: 56294.8 U NULL 185183 7334.05 14.331 0.043
OBS: 56296.7 U NULL 150245 6088.75 14.558 0.044
OBS: 56298.9 U NULL 117058 4959.45 14.829 0.046
OBS: 56300.7 U NULL 95675.3 4229.77 15.048 0.048
OBS: 56302.6 U NULL 77839.5 3656.33 15.272 0.051
OBS: 56304.3 U NULL 63328.6 3208.03 15.496 0.055
OBS: 56282.2 B NULL 228034 8611.12 14.105 0.041
OBS: 56285.6 B NULL 300331 11064.6 13.806 0.04
OBS: 56286.4 B NULL 309599 11406.1 13.773 0.04
OBS: 56288.1 B NULL 317103 11682.5 13.747 0.04
OBS: 56290.1 B NULL 314775 11596.7 13.755 0.04
OBS: 56292.9 B NULL 287872 10605.6 13.852 0.04
OBS: 56294.8 B NULL 258941 9539.72 13.967 0.04
OBS: 56296.7 B NULL 227196 8370.2 14.109 0.04
OBS: 56298.9 B NULL 189496 7155.82 14.306 0.041
OBS: 56300.7 B NULL 159809 6034.75 14.491 0.041
OBS: 56302.6 B NULL 134029 5184.72 14.682 0.042
OBS: 56304.3 B NULL 108743 4306.7 14.909 0.043
OBS: 56282.2 V NULL 220800 9964.87 14.14 0.049
OBS: 56285.6 V NULL 279254 11059.7 13.885 0.043
OBS: 56286.4 V NULL 296756 11752.9 13.819 0.043
OBS: 56288.1 V NULL 308177 12489 13.778 0.044
OBS: 56290.1 V NULL 316228 12232.8 13.75 0.042
OBS: 56292.9 V NULL 312752 12386.4 13.762 0.043
OBS: 56294.8 V NULL 297030 11763.7 13.818 0.043
OBS: 56296.7 V NULL 287607 11390.5 13.853 0.043
OBS: 56298.9 V NULL 260136 10302.5 13.962 0.043
OBS: 56300.7 V NULL 235939 9561.55 14.068 0.044
OBS: 56302.6 V NULL 212618 8812.28 14.181 0.045
OBS: 56304.3 V NULL 191779 8125.19 14.293 0.046
END:
