SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: 2013Q 
IAUC: 2013Q
RA:   356.782790 deg
DECL:    29.486530 deg 
RA_HOST:   356.770120
DEC_HOST:    29.483440
MWEBV: 0.084800 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.017197 +- 8e-06 
REDSHIFT_CMB: 0.0160515 +- 8e-06 
VPEC: -131.6716 +- 250.0
HOSTGAL_LOGMASS: 8.7270 +- 0.008
FILTERS: BNUVWX
SEARCH_PEAKMJD: 56333
NOBS: 34
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 56326.8 X NULL 1670.32 444.604 19.443 0.289
OBS: 56330.3 X NULL 1307.37 420.244 19.709 0.349
OBS: 56325.1 W NULL 4293.39 624.788 18.418 0.158
OBS: 56326.8 W NULL 5992.39 805.802 18.056 0.146
OBS: 56330.3 W NULL 7798.3 897.813 17.77 0.125
OBS: 56332.9 W NULL 8363.73 978.317 17.694 0.127
OBS: 56334.5 W NULL 8053.78 979.151 17.735 0.132
OBS: 56336.7 W NULL 5818.35 852.065 18.088 0.159
OBS: 56338.1 W NULL 5953.88 833.526 18.063 0.152
OBS: 56340.1 W NULL 4470.95 749.458 18.374 0.182
OBS: 56325.1 U NULL 26668.6 1965.01 16.435 0.08
OBS: 56326.8 U NULL 37085.1 2595.91 16.077 0.076
OBS: 56330.3 U NULL 45248.1 3042.28 15.861 0.073
OBS: 56332.9 U NULL 40253.2 2854.74 15.988 0.077
OBS: 56334.5 U NULL 36711.3 2671.18 16.088 0.079
OBS: 56336.7 U NULL 30817.7 2355.88 16.278 0.083
OBS: 56338.1 U NULL 28893.5 2208.79 16.348 0.083
OBS: 56340.1 U NULL 23463.9 1944.99 16.574 0.09
OBS: 56325.1 B NULL 32779.3 1962.41 16.211 0.065
OBS: 56326.8 B NULL 41495.4 2446 15.955 0.064
OBS: 56330.2 B NULL 47818.9 2906.83 15.801 0.066
OBS: 56332.9 B NULL 47555.4 2803.21 15.807 0.064
OBS: 56334.5 B NULL 44340.4 2654.54 15.883 0.065
OBS: 56336.7 B NULL 40700.5 2474.11 15.976 0.066
OBS: 56338.1 B NULL 37809.4 2298.37 16.056 0.066
OBS: 56340.1 B NULL 31651.9 2011.52 16.249 0.069
OBS: 56325.2 V NULL 46004.5 3643.96 15.843 0.086
OBS: 56326.8 V NULL 43974.4 3240.15 15.892 0.08
OBS: 56330.3 V NULL 55821.3 3804.59 15.633 0.074
OBS: 56333 V NULL 58452.1 4845.27 15.583 0.09
OBS: 56334.5 V NULL 57969.6 4057.79 15.592 0.076
OBS: 56336.7 V NULL 55055.4 3904.51 15.648 0.077
OBS: 56338.1 V NULL 51097.5 3670.88 15.729 0.078
OBS: 56340.2 V NULL 50815.9 3603.85 15.735 0.077
END:
