SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: 2013cg 
IAUC: 2013cg
RA:   141.736540 deg
DECL:   -24.783220 deg 
RA_HOST:   141.735960
DEC_HOST:   -24.783030
MWEBV: 0.074800 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.007745 +- 0.00015 
REDSHIFT_CMB: 0.0088152 +- 0.00015 
VPEC: 85.2876 +- 250.0
HOSTGAL_LOGMASS: 9.0910 +- 0.001
FILTERS: BNUVWX
SEARCH_PEAKMJD: 56421.6
NOBS: 23
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 56421.6 X NULL 7684.22 1189.01 17.786 0.168
OBS: 56422.8 X NULL 8271.8 1264.69 17.706 0.166
OBS: 56425 X NULL 6200.12 1045.03 18.019 0.183
OBS: 56425.1 X NULL 6546.36 1103.38 17.96 0.183
OBS: 56425.9 X NULL 6274.8 1178.98 18.006 0.204
OBS: 56427.7 X NULL 6625.22 1281.43 17.947 0.21
OBS: 56429.3 X NULL 3150.65 931.495 18.754 0.321
OBS: 56431.6 X NULL 2423.26 892.762 19.039 0.4
OBS: 56433.2 X NULL 3584.26 977.164 18.614 0.296
OBS: 56421.6 N NULL 4010.51 1233.74 18.492 0.334
OBS: 56422.8 N NULL 3179.8 834.681 18.744 0.285
OBS: 56425.9 N NULL 3168.11 884.134 18.748 0.303
OBS: 56427.7 N NULL 2553.88 924.418 18.982 0.393
OBS: 56437.4 N NULL 2079.7 748.949 19.205 0.391
OBS: 56421.6 W NULL 34292.6 3411.14 16.162 0.108
OBS: 56422.8 W NULL 33978.2 3505.05 16.172 0.112
OBS: 56425.9 W NULL 25421.4 3160.89 16.487 0.135
OBS: 56427.7 W NULL 18030.2 2939.33 16.86 0.177
OBS: 56429.2 W NULL 13893.1 2456.84 17.143 0.192
OBS: 56431.6 W NULL 12189.9 2368.96 17.285 0.211
OBS: 56433.2 W NULL 7634.84 2179.9 17.793 0.31
OBS: 56435.5 W NULL 7079.46 2086.53 17.875 0.32
OBS: 56437.4 W NULL 5675.45 2033.41 18.115 0.389
END:
