SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: 2013dh 
IAUC: 2013dh
RA:   232.504540 deg
DECL:    12.986920 deg 
RA_HOST:   232.503460
DEC_HOST:    12.989330
MWEBV: 0.033000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.013298 +- 1e-05 
REDSHIFT_CMB: 0.0137808 +- 1e-05 
VPEC: 54.0847 +- 250.0
HOSTGAL_LOGMASS: 9.4865 +- 0.002
FILTERS: BNUVWX
SEARCH_PEAKMJD: 56460.9
NOBS: 19
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 56460.9 X NULL 3815.93 1289.86 18.546 0.367
OBS: 56463.4 X NULL 3777.46 1283.81 18.557 0.369
OBS: 56460.9 N NULL 3763.57 1286.03 18.561 0.371
OBS: 56460.9 W NULL 7543.97 1882.98 17.806 0.271
OBS: 56463.4 W NULL 5942.92 1713.25 18.065 0.313
OBS: 56465.4 W NULL 6086.95 1732.34 18.039 0.309
OBS: 56460.9 U NULL 24434.3 2880.62 16.53 0.128
OBS: 56463.4 U NULL 20379.8 2815.57 16.727 0.15
OBS: 56465.4 U NULL 16657.1 2623.44 16.946 0.171
OBS: 56467.7 U NULL 10874.3 2273.53 17.409 0.227
OBS: 56460.9 B NULL 9772.37 1602.12 17.525 0.178
OBS: 56463.4 B NULL 9963.23 1688.47 17.504 0.184
OBS: 56465.4 B NULL 9549.93 1671.2 17.55 0.19
OBS: 56467.7 B NULL 7892.23 1562.84 17.757 0.215
OBS: 56469.4 B NULL 6008.97 1710.15 18.053 0.309
OBS: 56471.7 B NULL 4025.32 1349.51 18.488 0.364
OBS: 56460.9 V NULL 8774.05 2771.85 17.642 0.343
OBS: 56463.4 V NULL 8629.79 2924.98 17.66 0.368
OBS: 56467.7 V NULL 10375.3 2971.91 17.46 0.311
END:
