SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: 2013eh 
IAUC: 2013eh
RA:   244.038290 deg
DECL:    38.548060 deg 
RA_HOST:   244.039580
DEC_HOST:    38.545860
MWEBV: 0.013800 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.034947 +- 1e-05 
REDSHIFT_CMB: 0.0350862 +- 1e-05 
VPEC: -422.9919 +- 250.0
HOSTGAL_LOGMASS: 7.0292 +- 0.028
FILTERS: BNUVWX
SEARCH_PEAKMJD: 56499.8
NOBS: 30
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 56499.8 X NULL 1570.36 435.354 19.51 0.301
OBS: 56499.8 W NULL 6297.96 783.086 18.002 0.135
OBS: 56502.1 W NULL 5536.05 662.856 18.142 0.13
OBS: 56505.7 W NULL 4103.93 600.998 18.467 0.159
OBS: 56507.3 W NULL 2603.75 513.203 18.961 0.214
OBS: 56509.5 W NULL 2711.44 631.824 18.917 0.253
OBS: 56517.7 W NULL 1390.59 430.343 19.642 0.336
OBS: 56499.8 U NULL 33052.2 2130.95 16.202 0.07
OBS: 56501.6 U NULL 29757.7 1781.51 16.316 0.065
OBS: 56505.7 U NULL 18046.8 1362.98 16.859 0.082
OBS: 56507.3 U NULL 15374.5 1231.96 17.033 0.087
OBS: 56509.5 U NULL 12624.1 1278.99 17.247 0.11
OBS: 56513.9 U NULL 6315.39 785.253 17.999 0.135
OBS: 56515.3 U NULL 5321.08 705.729 18.185 0.144
OBS: 56517.7 U NULL 3505.9 581.23 18.638 0.18
OBS: 56499.8 B NULL 22656.9 1335.54 16.612 0.064
OBS: 56505.7 B NULL 17881.3 1119.91 16.869 0.068
OBS: 56507.3 B NULL 16069.4 1036.03 16.985 0.07
OBS: 56509.5 B NULL 13639.5 1042.69 17.163 0.083
OBS: 56513.9 B NULL 9238.47 740.278 17.586 0.087
OBS: 56515.3 B NULL 7079.46 619.44 17.875 0.095
OBS: 56517.7 B NULL 5219.15 509.544 18.206 0.106
OBS: 56499.8 V NULL 23550.5 1735.26 16.57 0.08
OBS: 56501.6 V NULL 24797 1621.56 16.514 0.071
OBS: 56505.7 V NULL 24479.4 1803.71 16.528 0.08
OBS: 56507.3 V NULL 24865.7 1809.27 16.511 0.079
OBS: 56509.5 V NULL 19879.3 1867.57 16.754 0.102
OBS: 56513.9 V NULL 17394 1537.97 16.899 0.096
OBS: 56515.3 V NULL 13652.1 1320.28 17.162 0.105
OBS: 56517.7 V NULL 14308.7 1278.34 17.111 0.097
END:
