SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: 2013eu 
IAUC: 2013eu
RA:   156.092960 deg
DECL:    78.606530 deg 
RA_HOST:   156.092790
DEC_HOST:    78.609190
MWEBV: 0.021300 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.009266 +- 6e-05 
REDSHIFT_CMB: 0.0093565 +- 6e-05 
VPEC: -234.9212 +- 250.0
HOSTGAL_LOGMASS: 0.0000 +- 0.000
FILTERS: BNUVWX
SEARCH_PEAKMJD: 56522.4
NOBS: 44
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 56518.1 X NULL 2053.05 499.206 19.219 0.264
OBS: 56524.6 X NULL 1833.16 491.325 19.342 0.291
OBS: 56526.5 X NULL 2036.1 493.209 19.228 0.263
OBS: 56528.4 X NULL 1488.68 468.923 19.568 0.342
OBS: 56518.1 W NULL 8226.21 939.501 17.712 0.124
OBS: 56520.4 W NULL 7994.66 898.329 17.743 0.122
OBS: 56522.4 W NULL 5893.86 1395.11 18.074 0.257
OBS: 56524.6 W NULL 7351.91 873.505 17.834 0.129
OBS: 56526.5 W NULL 7311.39 835.021 17.84 0.124
OBS: 56528.4 W NULL 5644.17 769.374 18.121 0.148
OBS: 56532.7 W NULL 4499.87 746.016 18.367 0.18
OBS: 56534.1 W NULL 2596.57 636.147 18.964 0.266
OBS: 56518.1 U NULL 41956.6 2705.04 15.943 0.07
OBS: 56520.4 U NULL 42344.8 2847.07 15.933 0.073
OBS: 56522.4 U NULL 31217.6 3594.06 16.264 0.125
OBS: 56524.6 U NULL 31739.5 2309.42 16.246 0.079
OBS: 56526.5 U NULL 28602.2 2081.15 16.359 0.079
OBS: 56528.4 U NULL 19408.9 1662.49 16.78 0.093
OBS: 56532.7 U NULL 12111.6 1360.93 17.292 0.122
OBS: 56534.1 U NULL 13702.5 1438.73 17.158 0.114
OBS: 56536.5 U NULL 9086.57 1698.92 17.604 0.203
OBS: 56538.1 U NULL 7021.02 1047.59 17.884 0.162
OBS: 56545.8 U NULL 4329.12 793.467 18.409 0.199
OBS: 56518.1 B NULL 48573.6 2684.27 15.784 0.06
OBS: 56520.4 B NULL 63212.1 3143.91 15.498 0.054
OBS: 56522.4 B NULL 62517.3 3915.48 15.51 0.068
OBS: 56524.6 B NULL 52143.5 2929.58 15.707 0.061
OBS: 56526.5 B NULL 48752.8 2739.09 15.78 0.061
OBS: 56528.4 B NULL 42189.1 2448.03 15.937 0.063
OBS: 56532.7 B NULL 30338.9 1956.02 16.295 0.07
OBS: 56534.1 B NULL 26375.5 1749.07 16.447 0.072
OBS: 56536.5 B NULL 20797 1858.01 16.705 0.097
OBS: 56538.1 B NULL 14955.5 1170.83 17.063 0.085
OBS: 56545.8 B NULL 9061.5 826.249 17.607 0.099
OBS: 56518.1 V NULL 60145.1 3656.11 15.552 0.066
OBS: 56522.4 V NULL 86776.1 7592.75 15.154 0.095
OBS: 56524.6 V NULL 82413.8 4857.98 15.21 0.064
OBS: 56526.5 V NULL 85270.7 4947.85 15.173 0.063
OBS: 56528.4 V NULL 82718 4875.91 15.206 0.064
OBS: 56532.7 V NULL 70729.4 4494.95 15.376 0.069
OBS: 56534.1 V NULL 63212.1 4133.65 15.498 0.071
OBS: 56536.5 V NULL 59923.9 5077.66 15.556 0.092
OBS: 56538.1 V NULL 47863 3350.34 15.8 0.076
OBS: 56545.8 V NULL 38370.7 2756.58 16.04 0.078
END:
