SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: 2013gy 
IAUC: 2013gy
RA:    55.570330 deg
DECL:    -4.721810 deg 
RA_HOST:    55.567330
DEC_HOST:    -4.730750
MWEBV: 0.049700 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.014023 +- 2e-05 
REDSHIFT_CMB: 0.0135671 +- 2e-05 
VPEC: -19.5855 +- 250.0
HOSTGAL_LOGMASS: 9.0991 +- 0.003
FILTERS: BNUVWX
SEARCH_PEAKMJD: 56647.6
NOBS: 78
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 56637.8 X NULL 1632.3 224.007 19.468 0.149
OBS: 56641.5 X NULL 5011.87 475.459 18.25 0.103
OBS: 56644.1 X NULL 6194.41 559.116 18.02 0.098
OBS: 56647.6 X NULL 7399.46 620.179 17.827 0.091
OBS: 56650.4 X NULL 6120.68 541.186 18.033 0.096
OBS: 56653.1 X NULL 4533.15 450.92 18.359 0.108
OBS: 56656.8 X NULL 3429.26 379.015 18.662 0.12
OBS: 56659.3 X NULL 2847.08 351.383 18.864 0.134
OBS: 56662.7 X NULL 1407.34 239.799 19.629 0.185
OBS: 56670.3 X NULL 776.247 183.027 20.275 0.256
OBS: 56674.1 X NULL 683.597 181.329 20.413 0.288
OBS: 56678.3 X NULL 734.514 186.717 20.335 0.276
OBS: 56641.5 N NULL 2263.6 300.219 19.113 0.144
OBS: 56644.1 N NULL 2774.6 329.659 18.892 0.129
OBS: 56647.6 N NULL 3050.7 337.176 18.789 0.12
OBS: 56650.4 N NULL 3262.87 348.605 18.716 0.116
OBS: 56653.1 N NULL 2639.98 320.959 18.946 0.132
OBS: 56656.8 N NULL 1400.88 245.149 19.634 0.19
OBS: 56659.3 N NULL 1009.25 231.46 19.99 0.249
OBS: 56662.7 N NULL 693.745 192.967 20.397 0.302
OBS: 56634 W NULL 1143.93 268.668 19.854 0.255
OBS: 56635 W NULL 1884.52 282.92 19.312 0.163
OBS: 56637.8 W NULL 7698.39 609.781 17.784 0.086
OBS: 56641.5 W NULL 19989.4 1344 16.748 0.073
OBS: 56644.1 W NULL 26965 1738.5 16.423 0.07
OBS: 56647.6 W NULL 27593.1 1728.16 16.398 0.068
OBS: 56650.4 W NULL 23099.4 1510.55 16.591 0.071
OBS: 56653.1 W NULL 17123.8 1198.64 16.916 0.076
OBS: 56656.8 W NULL 10725.1 859.399 17.424 0.087
OBS: 56659.3 W NULL 8693.61 776.689 17.652 0.097
OBS: 56662.7 W NULL 5072.24 532.575 18.237 0.114
OBS: 56670.3 W NULL 2475.14 367.03 19.016 0.161
OBS: 56674.1 W NULL 1766.85 353.131 19.382 0.217
OBS: 56678.3 W NULL 1775.01 338.412 19.377 0.207
OBS: 56684.5 W NULL 1218.99 268.333 19.785 0.239
OBS: 56634 U NULL 4450.41 450.888 18.379 0.11
OBS: 56635 U NULL 8669.62 630.816 17.655 0.079
OBS: 56637.8 U NULL 34103.6 2041.69 16.168 0.065
OBS: 56641.5 U NULL 100925 4833.69 14.99 0.052
OBS: 56644.1 U NULL 131099 5795.85 14.706 0.048
OBS: 56647.6 U NULL 139187 6025.23 14.641 0.047
OBS: 56650.4 U NULL 113763 5238.97 14.86 0.05
OBS: 56653.1 U NULL 81133.5 4184.69 15.227 0.056
OBS: 56656.8 U NULL 50026.5 2994.95 15.752 0.065
OBS: 56659.3 U NULL 36008.1 2288.36 16.109 0.069
OBS: 56662.7 U NULL 22100.4 1506.29 16.639 0.074
OBS: 56670.3 U NULL 9727.47 806.34 17.53 0.09
OBS: 56674.1 U NULL 6823.39 678.734 17.915 0.108
OBS: 56678.3 U NULL 5861.38 647.824 18.08 0.12
OBS: 56684.5 U NULL 4238.38 487.962 18.432 0.125
OBS: 56635 B NULL 11449.9 653.834 17.353 0.062
OBS: 56637.8 B NULL 32568.7 1739.82 16.218 0.058
OBS: 56641.5 B NULL 72110.7 3187.99 15.355 0.048
OBS: 56644.1 B NULL 96560.6 4091.04 15.038 0.046
OBS: 56647.6 B NULL 110764 4488.78 14.889 0.044
OBS: 56650.4 B NULL 110662 4484.65 14.89 0.044
OBS: 56653.1 B NULL 98537.2 4084.02 15.016 0.045
OBS: 56656.8 B NULL 73316.2 3241.28 15.337 0.048
OBS: 56659.3 B NULL 56859.1 2723.2 15.613 0.052
OBS: 56662.7 B NULL 37016.9 2011.54 16.079 0.059
OBS: 56670.3 B NULL 15191.5 909.471 17.046 0.065
OBS: 56674.1 B NULL 10666 707.307 17.43 0.072
OBS: 56678.3 B NULL 9479.82 663.574 17.558 0.076
OBS: 56684.5 B NULL 6558.43 483.243 17.958 0.08
OBS: 56635 V NULL 13219 1095.77 17.197 0.09
OBS: 56637.8 V NULL 33296.6 2054.71 16.194 0.067
OBS: 56641.5 V NULL 67050.2 3828.84 15.434 0.062
OBS: 56644.1 V NULL 85192.2 4707.9 15.174 0.06
OBS: 56647.6 V NULL 101953 5446.33 14.979 0.058
OBS: 56650.4 V NULL 107845 5661.75 14.918 0.057
OBS: 56653.1 V NULL 107152 5724.05 14.925 0.058
OBS: 56656.8 V NULL 97185.2 5191.63 15.031 0.058
OBS: 56659.3 V NULL 84957.2 4694.91 15.177 0.06
OBS: 56662.7 V NULL 67112 3770.56 15.433 0.061
OBS: 56670.3 V NULL 42189.1 2486.88 15.937 0.064
OBS: 56674.1 V NULL 34009.5 2130.02 16.171 0.068
OBS: 56678.3 V NULL 24232.6 1696.25 16.539 0.076
OBS: 56684.5 V NULL 17506.5 1289.93 16.892 0.08
END:
