SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: 2014eg 
IAUC: 2014eg
RA:    41.288620 deg
DECL:   -55.738030 deg 
RA_HOST:    41.286290
DEC_HOST:   -55.740580
MWEBV: 0.025700 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.018803 +- 0.00015 
REDSHIFT_CMB: 0.0185114 +- 0.00015 
VPEC: 46.9555 +- 250.0
HOSTGAL_LOGMASS: 0.0000 +- 0.000
FILTERS: BNUVWX
SEARCH_PEAKMJD: 56988.4
NOBS: 50
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 56986 X NULL 3822.96 521.12 18.544 0.148
OBS: 56988.4 X NULL 3031.1 432.72 18.796 0.155
OBS: 56989.8 X NULL 3493.01 456.84 18.642 0.142
OBS: 56991.6 X NULL 3168.11 440.608 18.748 0.151
OBS: 56993.6 X NULL 2637.55 408.117 18.947 0.168
OBS: 56995.1 X NULL 2240.78 383.874 19.124 0.186
OBS: 56997.1 X NULL 2563.3 401.351 18.978 0.17
OBS: 56999.4 X NULL 2072.05 383.594 19.209 0.201
OBS: 57001.4 X NULL 1436.15 350.527 19.607 0.265
OBS: 57003.2 X NULL 1152.39 335.4 19.846 0.316
OBS: 56986 W NULL 15805.2 1179.13 17.003 0.081
OBS: 56988.4 W NULL 15052.2 1192.27 17.056 0.086
OBS: 56989.8 W NULL 15790.6 1221.67 17.004 0.084
OBS: 56991.6 W NULL 13627 1117.03 17.164 0.089
OBS: 56993.6 W NULL 11045.9 997.015 17.392 0.098
OBS: 56995.1 W NULL 10167.2 936.431 17.482 0.1
OBS: 56997.1 W NULL 8031.56 835.9 17.738 0.113
OBS: 56999.4 W NULL 7921.36 853.614 17.753 0.117
OBS: 57001.4 W NULL 5623.41 740.648 18.125 0.143
OBS: 57003.2 W NULL 3400.95 639.007 18.671 0.204
OBS: 56986 U NULL 79140.7 4373.48 15.254 0.06
OBS: 56988.4 U NULL 83714.4 4703.33 15.193 0.061
OBS: 56989.8 U NULL 76559.7 4442.39 15.29 0.063
OBS: 56991.6 U NULL 69438.4 4285 15.396 0.067
OBS: 56993.6 U NULL 58505.9 3718.13 15.582 0.069
OBS: 56995.1 U NULL 51522.9 3369.26 15.72 0.071
OBS: 56997.1 U NULL 41802.3 2887.6 15.947 0.075
OBS: 56999.4 U NULL 39482.1 2800.05 16.009 0.077
OBS: 57001.4 U NULL 27925.4 2211.94 16.385 0.086
OBS: 57003.2 U NULL 23078.1 1976.78 16.592 0.093
OBS: 56986 B NULL 42228 2800.32 15.936 0.072
OBS: 56988.4 B NULL 46644.5 3050.24 15.828 0.071
OBS: 56989.8 B NULL 49888.4 3170.48 15.755 0.069
OBS: 56991.6 B NULL 48083.9 3100.09 15.795 0.07
OBS: 56993.6 B NULL 48083.9 3100.09 15.795 0.07
OBS: 56995.1 B NULL 45750.9 2991.81 15.849 0.071
OBS: 56997.1 B NULL 43092.3 2857.64 15.914 0.072
OBS: 56999.4 B NULL 36509 2555.58 16.094 0.076
OBS: 57001.4 B NULL 33296.6 2422.72 16.194 0.079
OBS: 57003.2 B NULL 28287.9 2188.54 16.371 0.084
OBS: 56985.9 V NULL 58613.8 5290.56 15.58 0.098
OBS: 56988.4 V NULL 58290.8 4617.15 15.586 0.086
OBS: 56989.8 V NULL 63387 4845.67 15.495 0.083
OBS: 56991.6 V NULL 63973.5 4890.51 15.485 0.083
OBS: 56993.7 V NULL 65644.8 4957.81 15.457 0.082
OBS: 56995.2 V NULL 67670.6 4986.15 15.424 0.08
OBS: 56997.1 V NULL 71252.5 5184.45 15.368 0.079
OBS: 56999.4 V NULL 60757.5 4756.58 15.541 0.085
OBS: 57001.4 V NULL 56389.7 4570.44 15.622 0.088
OBS: 57003.2 V NULL 51238.9 4341.74 15.726 0.092
END:
