SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: 2015bp 
IAUC: 2015bp
RA:   226.375290 deg
DECL:     1.634000 deg 
RA_HOST:   226.364540
DEC_HOST:     1.634810
MWEBV: 0.045100 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.004069 +- 1.7e-05 
REDSHIFT_CMB: 0.0047061 +- 1.7e-05 
VPEC: 153.2969 +- 250.0
HOSTGAL_LOGMASS: 5.9150 +- 0.039
FILTERS: BNUVWX
SEARCH_PEAKMJD: 57108.8
NOBS: 81
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 57101 X NULL 2403.26 265.618 19.048 0.12
OBS: 57106.6 X NULL 24842.8 1555.91 16.512 0.068
OBS: 57108.8 X NULL 29566.5 2042.38 16.323 0.075
OBS: 57111.2 X NULL 29566.5 2015.15 16.323 0.074
OBS: 57112.4 X NULL 26399.8 1823.63 16.446 0.075
OBS: 57114.9 X NULL 19391 1410.92 16.781 0.079
OBS: 57121.5 X NULL 8896.11 786.587 17.627 0.096
OBS: 57124.4 X NULL 6798.29 644.93 17.919 0.103
OBS: 57133.8 X NULL 3865.45 477.068 18.532 0.134
OBS: 57139.4 X NULL 3107.42 397.824 18.769 0.139
OBS: 57144.6 X NULL 2151.79 336.918 19.168 0.17
OBS: 57152.8 X NULL 2068.24 352.409 19.211 0.185
OBS: 57157.2 X NULL 1933.75 363.334 19.284 0.204
OBS: 57100.9 N NULL 1274.09 186.583 19.737 0.159
OBS: 57106.6 N NULL 19642.6 1248.32 16.767 0.069
OBS: 57108.8 N NULL 22698.6 1505.25 16.61 0.072
OBS: 57111.2 N NULL 22532 1473.45 16.618 0.071
OBS: 57112.4 N NULL 19054.6 1281.15 16.8 0.073
OBS: 57114.9 N NULL 15332 1073.22 17.036 0.076
OBS: 57121.5 N NULL 6760.83 622.695 17.925 0.1
OBS: 57124.4 N NULL 4269.73 542.694 18.424 0.138
OBS: 57133.9 N NULL 3725.63 459.812 18.572 0.134
OBS: 57139.4 N NULL 3019.95 383.844 18.8 0.138
OBS: 57144.6 N NULL 2376.84 337.129 19.06 0.154
OBS: 57152.8 N NULL 2278.24 354.619 19.106 0.169
OBS: 57157.2 N NULL 1811.34 342.003 19.355 0.205
OBS: 57101 W NULL 8076.07 580.19 17.732 0.078
OBS: 57106.6 W NULL 84566.8 4517.56 15.182 0.058
OBS: 57109.3 W NULL 103753 5829.15 14.96 0.061
OBS: 57111.2 W NULL 94275.8 5296.7 15.064 0.061
OBS: 57112.4 W NULL 82794.2 4727.89 15.205 0.062
OBS: 57114.9 W NULL 60869.5 3588.03 15.539 0.064
OBS: 57121.5 W NULL 28418.4 1910.73 16.366 0.073
OBS: 57124.4 W NULL 20989.4 1507.89 16.695 0.078
OBS: 57133.8 W NULL 8855.23 880.845 17.632 0.108
OBS: 57139.4 W NULL 7677.15 770.73 17.787 0.109
OBS: 57144.6 W NULL 7191.18 755.058 17.858 0.114
OBS: 57149.6 W NULL 5749.1 683.07 18.101 0.129
OBS: 57152.8 W NULL 4906.82 650.786 18.273 0.144
OBS: 57157.2 W NULL 4516.48 665.573 18.363 0.16
OBS: 57101 U NULL 32779.3 1902.03 16.211 0.063
OBS: 57106.6 U NULL 305633 11541.4 13.787 0.041
OBS: 57108.8 U NULL 350590 13562 13.638 0.042
OBS: 57111.2 U NULL 346099 13388.3 13.652 0.042
OBS: 57112.4 U NULL 326287 12621.9 13.716 0.042
OBS: 57114.9 U NULL 240769 9757.27 14.046 0.044
OBS: 57121.5 U NULL 94102.2 4853.6 15.066 0.056
OBS: 57124.4 U NULL 54802.5 3432.29 15.653 0.068
OBS: 57133.8 U NULL 22803.4 1848.24 16.605 0.088
OBS: 57139.4 U NULL 16519.6 1430.22 16.955 0.094
OBS: 57144.6 U NULL 13267.8 1270.89 17.193 0.104
OBS: 57149.6 U NULL 11449.9 1202.21 17.353 0.114
OBS: 57152.8 U NULL 9162.2 1097.03 17.595 0.13
OBS: 57157.2 U NULL 8669.62 1133.87 17.655 0.142
OBS: 57101 B NULL 31477.5 1652.53 16.255 0.057
OBS: 57106.6 B NULL 182138 7045.71 14.349 0.042
OBS: 57108.8 B NULL 239442 9041.9 14.052 0.041
OBS: 57111.2 B NULL 273401 10324.3 13.908 0.041
OBS: 57112.4 B NULL 279512 10555 13.884 0.041
OBS: 57114.9 B NULL 255859 9661.83 13.98 0.041
OBS: 57121.5 B NULL 143351 5809.36 14.609 0.044
OBS: 57124.4 B NULL 89371.7 3951.09 15.122 0.048
OBS: 57133.8 B NULL 30088.5 1856.74 16.304 0.067
OBS: 57139.4 B NULL 20663.3 1351.24 16.712 0.071
OBS: 57144.6 B NULL 17378 1200.43 16.9 0.075
OBS: 57149.6 B NULL 15892.8 1258.85 16.997 0.086
OBS: 57152.8 B NULL 13803.8 1067.96 17.15 0.084
OBS: 57157.2 B NULL 14374.7 1138.61 17.106 0.086
OBS: 57100.9 V NULL 34994.5 2191.72 16.14 0.068
OBS: 57106.6 V NULL 185866 8217.07 14.327 0.048
OBS: 57108.8 V NULL 238781 10776.4 14.055 0.049
OBS: 57111.2 V NULL 288935 12507.6 13.848 0.047
OBS: 57112.4 V NULL 306478 12984.7 13.784 0.046
OBS: 57114.9 V NULL 303669 12865.7 13.794 0.046
OBS: 57121.5 V NULL 218172 10047.2 14.153 0.05
OBS: 57124.4 V NULL 180468 8809.51 14.359 0.053
OBS: 57133.8 V NULL 86457 5255.57 15.158 0.066
OBS: 57139.4 V NULL 57438.1 3703.17 15.602 0.07
OBS: 57144.6 V NULL 45164.8 3203.07 15.863 0.077
OBS: 57152.8 V NULL 31217.6 2645.23 16.264 0.092
OBS: 57157.2 V NULL 25142 2477.76 16.499 0.107
END:
