SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: 2021pit
RA:   56.12569 deg
DECL:   -44.63252 deg
RA_HOST:   56.133 deg
DEC_HOST:   -44.64483 deg
MWEBV: 0.014 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.003876 +- 1.3e-05
REDSHIFT_CMB: 0.0036588 +- 1.3e-05
VPEC: -55.3501 +- 250.0
FILTERS: BNUVWX
SEARCH_PEAKMJD: 59384.1
NOBS: 47
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59376.5991 V NULL 614893.6385 24841.197 13.028 0.043
OBS: 59376.6198 U NULL 363747.4856 14346.701 13.598 0.042
OBS: 59376.6206 B NULL 572268.7092 21476.3381 13.106 0.04
OBS: 59377.5059 U NULL 479071.13 18895.2242 13.299 0.042
OBS: 59377.5072 B NULL 715154.7047 26838.6231 12.864 0.04
OBS: 59377.5108 V NULL 727109.8032 28678.2105 12.846 0.042
OBS: 59378.0425 U NULL 575970.1813 22165.8985 13.099 0.041
OBS: 59378.0456 V NULL 750930.9425 29617.749 12.811 0.042
OBS: 59379.6358 U NULL 735190.6921 28293.4131 12.834 0.041
OBS: 59379.6391 V NULL 920449.5718 35423.0001 12.59 0.041
OBS: 59380.7008 U NULL 844111.8556 31678.1807 12.684 0.04
OBS: 59380.7052 V NULL 982652.5828 37816.8491 12.519 0.041
OBS: 59384.1517 B NULL 1093452.6967 39991.1262 12.403 0.039
OBS: 59384.1554 V NULL 1142878.3348 42890.4134 12.355 0.04
OBS: 59388.5398 U NULL 852707.3373 32000.7555 12.673 0.04
OBS: 59388.5411 B NULL 1062673.8654 38865.4441 12.434 0.039
OBS: 59388.5447 V NULL 1160913.8701 43567.2584 12.338 0.04
OBS: 59390.0036 U NULL 766302.0723 28758.1028 12.789 0.04
OBS: 59390.0048 B NULL 980844.136 35872.6644 12.521 0.039
OBS: 59390.0085 V NULL 1196740.5313 44911.7763 12.305 0.04
OBS: 59393.0215 V NULL 1085425.4493 40734.2976 12.411 0.04
OBS: 59393.2876 U NULL 523359.3652 19640.8479 13.203 0.04
OBS: 59393.2888 B NULL 792866.3749 28997.7055 12.752 0.039
OBS: 59394.6766 U NULL 432115.6545 16629.7355 13.411 0.041
OBS: 59394.6779 B NULL 693106.5451 25349.1636 12.898 0.039
OBS: 59394.9775 V NULL 999079.39 38449.0258 12.501 0.041
OBS: 59396.5062 B NULL 578628.7388 21715.0199 13.094 0.04
OBS: 59396.5098 V NULL 933254.3008 35915.7832 12.575 0.041
OBS: 59396.9713 U NULL 336976.7986 12968.3684 13.681 0.041
OBS: 59398.793 U NULL 258226.0191 10432.1187 13.97 0.043
OBS: 59399.0551 B NULL 449158.8901 16856.2216 13.369 0.04
OBS: 59399.0588 V NULL 800202.6771 30030.3388 12.742 0.04
OBS: 59400.0315 V NULL 763484.1052 29382.2697 12.793 0.041
OBS: 59400.1517 U NULL 219583.6501 9714.2091 14.146 0.047
OBS: 59400.4219 B NULL 397008.6781 14899.1068 13.503 0.04
OBS: 59403.0049 U NULL 162181.0097 7799.8416 14.475 0.051
OBS: 59403.0062 B NULL 294577.7902 11336.6657 13.827 0.041
OBS: 59403.0098 V NULL 666806.7692 26299.7759 12.94 0.042
OBS: 59406.8536 U NULL 103181.0635 5862.491 14.966 0.06
OBS: 59406.8549 B NULL 203798.0386 8233.273 14.227 0.043
OBS: 59406.8585 V NULL 533580.5618 21556.2156 13.182 0.043
OBS: 59409.1819 U NULL 87821.328 4904.3463 15.141 0.059
OBS: 59409.1831 B NULL 167186.0357 6754.1783 14.442 0.043
OBS: 59409.1868 V NULL 461317.5746 18636.8504 13.34 0.043
OBS: 59412.4307 U NULL 74473.1974 4521.8747 15.32 0.064
OBS: 59412.4319 B NULL 135145.0054 5589.3084 14.673 0.044
OBS: 59412.4355 V NULL 409637.7764 16941.7424 13.469 0.044
END:
